@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
negative,'chalya of course i know m while'
negative,'chamada so i won t be bumping into you again have a fantastic trip '
negative,'chamallow sorry to hear that good luck '
positive,'chambernic me too we d get a long very well '
positive,'chamberswashere oh'
negative,'chamcircuit im going try your comp but as im drawing it all i don think it will be ready i will send it though of you wen finishd'
positive,'chamcircuit is th top dance amp electronic album on amazonmp but what s even better is it s above stupid dizzee rascal amp n dubz win '
positive,'chamcircuit so how was up '
positive,'chamelledesigns quite the opposite i m sure it was all part of the plan masterchef'
positive,'chamillionaire go to lakewood like me tomorrow and get prayed up '
positive,'chamillionaire http twitpic com sfqb yea man i love meat xoxo '
positive,'chamillionaire lol someone brought stash mag to a party to proof to the security he was a rapper before '
negative,'cantoresteele i have no idea '
negative,'cantoresteele i sent you an email but it came back reasons user invalid amp rule imposed mailbox access '
negative,'cantrewind floatnsink awwww someone cant handle their tequila '
negative,'cantyahermala you make me jealous '
positive,'cantyka hallo juga thanks ya udah di follow anak mana '
positive,'cantyka thanks for following '
positive,'canuck you look like you had a really great time congratulations'
positive,'canuckblondie find whatever means necessary '
positive,'canuckblondie watched phones never ring'
negative,'canuckflack but it was a long line and i was bored sigh '
negative,'canucklehead ca aw mate just saw this really sorry really '
positive,'canucklibrarian well'
negative,'canuckskickarse and just do the twitterverse is up to date i did no receive breakfast in bed this morning '
negative,'canvasxyz isn t it though i ve been waiting for the new cd forever'
negative,'canyoudecodeme i tried it but it doesn t work thanks anyway '
positive,'caoili diversity were amazing the clip might be on youtube '
positive,'caoili you re coool '
negative,'caoimhecoyle http twitpic com pm s awwww'
negative,'caoimhetracey why drained '
positive,'cap ne get followers a day using www tweeteradder com once you add everyone you are on the train or pay vip '
negative,'capatomyc that link isn t working for me for some reason '
negative,'capcomms it was buckfast brain just went blank '
positive,'capecodgurl am surprised brosnan s friends let him do that part '
positive,'capecodjoe that was my ringtone for like half of senior year haha '
positive,'capemaybooks i see kitteh fwendz at the bunday celeration '
negative,'capeterson aww onyx what kind of dog do you guys want to get '
negative,'capeterson ohhhhh i am going to miss him spark must be so sad ps i bet your new puppy will be smarter than spark haha '
positive,'capetown check out our webiste www freshlyground com or our check out facebook for all our event updates '
negative,'capetown kfm just reported beached whales '
negative,'capital m hugs honey i wish i was going to one of the shows this year it does suck a lot at least nowadays we got youtube lt '
negative,'capitaln newkicks flyleaffan he s already dead anybody got anyone else to target spyring '
positive,'capitaln just being me rest well and dream happily i need some z s '
negative,'capitaln not good at all '
negative,'capitaln see my note from this morning about the smelly guy i had to crawl over on bart '
negative,'capitaln sure'
negative,'capitanawesome oh'
negative,'caplady oh yes please share i haven t written in sooo long '
negative,'caplinrous bummed i was offline for the rodentjeopardy will keep an eye tomorrow '
positive,'capman i just found you yesterday amp followed hope alls fine and dandy with you '
positive,'capminiatures you re welcome thanks for responding to my twit on the trip needed a laugh every once in a while '
positive,'chamillionaire spurs will take it next year '
positive,'chamillionaire sry i dont mean label i mean leavel '
positive,'chamillionaire yup who u going for '
positive,'chamithal good luck wid ur new life at work buddy '
positive,'chamorita kiana thanks for following whats up '
negative,'chamoritta thank you so much i am very happy to be here with you as well it was a scary experience and i can t swim haha '
negative,'champagnehearts i m actually feeling worse i have had a headache for more than hours and i m now exhausted'
negative,'champagnemanoir all rain today garden really needs it so not quite so bad '
positive,'champagnemanoir thank you very much'
negative,'champagneontap does it come out with a watermark or anything some of the free to try apps do '
negative,'champagnerdub too much to get into but i m sure you can figure out '
positive,'champagnerdub lol isn t that always the way beautiful gay men best friends and worst torture '
negative,'champagnerdub me too i miss them already '
negative,'champagnerdub the clock is tickinnnnnn for me too years to go '
positive,'champange is helping me start mine its more fun '
positive,'championphts doing good going to take pics of my sidekick in a little bit she is going to prom today '
negative,'championphts lol looks like i m just going to catch a regular season game next year '
negative,'championphts oohh girl we need to go there'
negative,'champions xeuro got some sun after work'
negative,'championstennis great coverage although i have missed some due to revision today last exam tomorrow so after that s fine '
negative,'championstennis oh i totally forgot about the documentary will have to try listen again'
positive,'champlife i m definately doing great '
positive,'champlife thanks hun '
positive,'champnova leisure with office mates '
negative,'chan sopretty awwww feel better is ur eye any better i think u shoulda had a lil more splash in that wine to knock it out '
positive,'chanabelle my dad rules hows you anyway '
positive,'chanc thanks chris'
positive,'chancait http twitpic com tupg once again my two favorites and both looking so hot '
positive,'chance second make a fan page '
positive,'chancedcochran your parents are having a party and i m not invited '
positive,'chancelina it s fun to have many followers but i doubt if mine would reach or even a hundred lol funny abt the college chick '
negative,'chancellorr i miss you even more i dont get to see your beautiful face in school anymore lets chill with bchase and kalaway'
positive,'chanceslost and i vote will '
positive,'chanceslost holy shit kyle and john awww i m so happy '
negative,'chandarenee yo'
negative,'chandav typical '
negative,'chandiecandy yea i promote there every friday lol hope u wasn t that girl that was talkin shit me lol'
negative,'chandlah haha i saw that too '
positive,'capminiatures conjures quite an image so much i ve never thought of '
positive,'capn mactastic i dunno p how d i end up waking up at am it s a mysterious world '
negative,'capn mactastic well that sounds irritating i really love that calvin and hobbes icon btw lt '
positive,'capnkindbud'
positive,'capnmarrrrk i found someone who will come over'
negative,'capooti would love to be able to help out in pinax let us know where we can improve honestly'
negative,'capotribu quot avoiding transformation quot this is so true '
negative,'cappo u went and got inked without me ultimate sad face bae hazel'
negative,'cappouh i am '
positive,'cappypopp lol'
positive,'capric rn yerp'
negative,'capricarms aw man that sucks where do you work now '
positive,'capricci so æˆ åž åœ äº å œå æ çž å tweetup time '
negative,'capricious and ikr i myself am headed out for a meeting '
positive,'capricious and thanks again for coming over best change room evar '
positive,'capricorn haha true i know i got a few of them what would the web be like if it was no spammers haha '
positive,'capricorn i d hope they do follow my advice thank you for the ff mention '
positive,'capsaholic hmm'
negative,'capsfans shame on you feds '
positive,'capt harkness hows your day going hope its better than mines going at the mo '
negative,'captain chrismo thought u were gonna lay down i recommend more hair of the dog '
negative,'captain erika me grumpy because it rainy out and me no know what to do me want to play but me tired of playing trucks and coloring '
positive,'captain erika ooc don t tell the mirror admiralty or they ll get ideas '
positive,'captain ocd i m not going night '
positive,'captain phatass hopefully you re up before '
negative,'captain razzle the unemployment was horrendous apparently i was but a twinkle i finally turned up in '
negative,'captain romana high lol'
positive,'captain yavanna hell yes probably the inventor is mishacollins i d not be surprised if i m right '
negative,'captain yavanna i checked it s red sky at morning vaisseau fantome i t s not worth it i never watched it in french '
positive,'captainandreas gift me please '
positive,'captainass lol '
positive,'captainblubear aaj it was mangshor jhol bhaat ma made mishti doi afterwards i like being in delhi '
positive,'captainblubear i did thanks a ton '
negative,'captainblubear some interesting friends you ve got you must find me so boring in contrast '
negative,'captainboots you re faking it hahaha i kid '
negative,'captainceej feeling good'
negative,'captainfailure well the party this is year was smaller'
negative,'captainfrancooo hope you don t move on a day like today like we did '
positive,'captainfrekkef ah'
positive,'captaingrammar i think it would be a no show cos each one is scared the other s taller via thehoosiersuk haha how very true hehe '
negative,'chandlerdillon i can t go right now but i ll go tonight '
positive,'chandlersimpson do it the mint juleps look pretty tasty '
positive,'chandlersimpson i m not a big fan of either of them so'
positive,'chandlervdw i was going anyway'
negative,'chandleyp definitely i m super sad'
positive,'chandosjoy thats wonderful dawn '
negative,'chandrakumar unable to find the url '
negative,'chandraleigh well i guess i ll only be seein ya on here then i dont really use myspace anymore '
negative,'chandranikcole hey babe didnt see it thanx im still reall sick '
positive,'chandrat of course chan '
positive,'chanel latrice let s layout and swim tomorrow '
positive,'chanel hey if you re at the beat kitchen on saturday and gone off them skittles then i ll be on your level'
positive,'chanelbabe oh thanks i there s no urban outfitters in germany but maybe when i make a visit home '
negative,'chanelbluesatin frist yo hubby and now u doesn t sound good at all feel better enjo'
positive,'chaneldanise http twitpic com ezxe like i said'
negative,'chaneldiane roflmao they need to turn that shit into a real song poor girl she only too and crazy as hell smashing homies '
positive,'chanelgirl so sweet thanx cant believe you got a boobie jobbie im green with envy '
positive,'chanellewang you are an inspiration working soo hard i feel your passion '
negative,'chanellybaby my french teacher said she once chased a rainbow that ended in her field she said they move when you walk towards the end '
negative,'chaneln only u would sing lil mermaid on twitter haha we need to hang out soon i miss my friend nelli '
positive,'chanelraquel no i m not i feel like it will be boring '
negative,'chaneythevp http twitpic com bqjb i can t believe i couldn t go it looks cool '
positive,'chanezon yep will study that with them '
positive,'chang ror hey dude welcome to twitter its seexyyyyy'
positive,'changbekool shut up chang go to sleep lol sidebustin haha jk chang'
positive,'changdice this time i typed changdive taemin and key need chapstick changdice sounds silly'
negative,'change for iran i hope everything tones down over there in iran soon i hate hearing about stuff like this hope your family is ok '
negative,'change for iran my god make them pay '
