@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'alex quievreux soirée sisteract sur w lachaine d'
positive,'dodie senpai panpan tu parles pour toi dans ce cas je comprend mdr p je rigole d oui il faut bien de temps en temps sa ne fait pas de mal d'
positive,'victorsinclair gianluigitrct jeanjejean merci d avoir rappelé cette citation géniale que j avais oublié '
positive,'cedricassana jushni tct je vais t attendre alors '
negative,'luminouroz elliottofficiel je vois plus les tweets non plus '
positive,'xmarie s delphiine la cousine demain soir ne fais pas grand chose '
positive,'lucius insanity tu pouvais pas mieux répondre continues à photographier et à poster tes conquêtes personnelles '
positive,'mrs obb rt mr xti ump me voici donc un objectif être président de la république lol http t co xhfd p rr '
negative,'maxie fg regardez vous le prime de nouvelle star en direct sur d nsnon rednouvellestar http t co fvjrourcqu'
positive,'eva horan j withoutpayne et toi t es trop mignonne tout le temps tu le sais ça '
positive,'doc luc moi j aime tout et j écoute en boucle c est bien mieux que d ou jb http t co dru aryug'
positive,'a mota améeem http t co gxnbbdu c'
positive,'popiit rt tenderlyphc codes gamoniac sont en jeu donc gagnants rt et suis moi pour participer tirage au sort à h bonne chance '
negative,'jrzlo nouvellestar mon chien a un collier qui ressemble à ton bracelet dit '
negative,'gagasmycrush j ai eu un faux espoir une nouvelle interaction j ai espéré un follow de elliottofficiel mais non '
positive,'sofycathrose savourerlethe tit urs lol ohlala j ai l impression d être une débutante de chez débutante dans le milieu du thé je vous suis lol'
positive,'audreychatel kattymartin nan elle arrive dans semaines moi mais j suis parle '
positive,'nicolas latiino viichenzo tevez aussi et nani était plus for gigs et scholes cetais plus jeune '
positive,'mariieplush lolilolro j ai hâte de voir ça amuse toi bien '
positive,'elenarempp taopaipaixx non malheureusement non des connaissances '
negative,'laurapck morganeso non franchement je sais pas sinon j vais inventer '
negative,'leilacrapez en plus il a dit que ju et moi on était des couillones mdr '
positive,'lexidominiquee cocoa pebbles amp fruity pebbles amp honey combs lol'
positive,'lilijess babyeasy demain c la derniere foi que tu me vois lol'
positive,'cyril rogers thejayyaspgm antoinejavelaud alors tonton jay c est pour quelle heure le live dońt starve '
positive,'heardmounir loudautel assieds toi et parle moi sur quoi tes pas d accord le foot c est mieux c est ça p lol '
positive,'ddtclara oneanna il vient de rentrer il est entrain de manger '
positive,'misterieuse psych sick merci oui mais moi je serais entrain de flippee si on le voyait ensemble'
positive,'willy unkown rt dylanmbondo j suis le seul ici qui sais faire le moon walk par devant nan y a moi lol'
negative,'saffouu demain h contrôle d ses '
positive,'sophieleonard assia mais c était tellement drôle je sais pas d où tu nous as sorti cette figure '
positive,'braonmarjorie margotmalmaison fait pas s a tes cheveux sont magnifique '
positive,'mejenniferbunel coucou echange de likes je t en rend si tu m coucou dsl je vais plus trop sur ask en ce moment j http t co gh dptfanb'
positive,'tristanjehannin rt clement florian tristanjehannin tqt garçon à demain '
positive,'dainemusic azma fields duh lol'
positive,'elnguk layouyaya marel yes lt jvous explique demain rien de grave vs en faite pas'
positive,'roto jeuxvideo rien de sur encore quelques jeux indépendants je pense pour le reste je verrais avec les prochaines soldes '
positive,'luciecbx captawesome ya pas assez de mention de moi chez toi p '
negative,'xiqitaconnies super triste'
positive,'sambinasaverino rt justinejou samedi je vais peut être être avec ma sam d '
positive,'nounees sanaeimane mdr lol c toi t écoute coup de coeur de soprano et de kenza farah'
positive,'margotmeckes rt albaanecopin tu sais quoi j men fou de toi et de tes sms pourris '
positive,'aissarynajoua afriicainewomen big boss je dirais même '
positive,'jeanyvespetit rt cecileduflot voilà rt audreygarric lois sur les pesticides et sur les ondes électromagnétiques les verts cartonnent à l assem '
positive,'misscece zitouna raphaelle je rematerai le replay '
positive,'livelovelique hardheadmf stfuu lol'
negative,'maximegrandmt itakelloyd c est des question qui ce pose pas ça bien que que je serai triste '
negative,'sxdnxss empireofdrew pense à moi chaton '
positive,'evehallague rt rubenhallague evehallague je l aime vien textoo tout de suuiittee p'
negative,'nicholsonlucile noemiechazelle tu vas manger des sushis sans moi o'
