@relation training_data

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'janwillemtenwol wimsneller lol i had a eerie feeling this is u http t co udrsctujnl'
positive,'takenbyvera p loempiavouwer hahah vreselijk ja '
positive,'oliviereilers wat heerlijk toch ik ben mijn engels idioom boek kwijt '
positive,'lebronsergen loveofire hep gülsek deli olurduk zaten d'
positive,'frankbotter serabc je moest eens weten '
positive,'nan rt fuxkhaneen http t co qngzpsott '
positive,'ezeebenjamin mecasariacon la tv e internet '
positive,'esmeremaan rt hazofficiel mon voisin c est un fdp http t co vl tgtaggv'
positive,'littleangel rt jaymiujworld georgeujworld s last tweet is too cute lol'
positive,'ronaldelzenga gvanopdorp het duurt blijkbaar even na decennia van koude oorlog en navo voor men dit door begint te krijgen ik poog daarbij te helpen '
positive,'omoge gee edo brides are stunning omds comingsoon '
positive,'mallie wentzky eliwoods rofl i had a eerie feeling this is u http t co wtfe nwebx'
positive,'mayelamtzvaldes http t co hoje dnspg'
positive,'asugokce cgrkrhn ee öyle '
positive,'deschanel aloud poor mrs windsor waterlooroad waterlooroad'
positive,'thaliaa x ik weetniet hoor maar zal wel aan mij liggen '
positive,'areen rt esraahijaze areen لا لا d d\rlive laugh love lt '
positive,'zaki chaan axelle castets ouai '
positive,'dianochka cheer olkt увидимся там d'
positive,'eraygrn handanclkk mrve ee suna bak ozel twitmis gidiom ben '
positive,'ellasmid rt xsharonyyx evaroemaat jessetjuhh ella kevin ze mogen kevin niet opeten kevindeduif'
positive,'valeriasopm chestergrey lmfao ellen xd http t co bx k '
positive,'eftelwesley sprookjesvanger raveleijnruiter neh valt wel mee hoor p'
positive,'estebangiirald rt valentinagons yo http t co jad gbp '
positive,'nickie x mirrors justin timberlake '
positive,'noemieclk taytay tqqt demaain jviens si jnegocie bieen '
positive,'ingridoostrom john smits scheelt ons weer in de zorgpremie '
positive,'nereasteinle peero jeetaa xd http t co eoqtzmpris'
positive,'deotten ik mag je wel d waarom zou ik je niet mogen wat is dit d ik snap het niet meer d http t co sgnpxcjhpe'
