@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'nomadoq 落ち込むのと失望は違うんよ だって 落ち込んでても夢や愛は信じとるもん 甲本 ヒロト　 http t co ivvqkmir j'
positive,'ah coz 即決 非売品 ミスド ゴールデンボンバー キティ ステッカー ヤフオク http t co sa rdkcwwj http t co zaciiww ws'
positive,'ratchet tfp bot うっ ぐぅあっ あぁっ '
positive,'honyons rt shiitake いないいない\n\n いないいない\n\n いないいない いる\n\n そうぼくはいる だれにひつようとされることもなくただ いる いなくなればいいのにそれすらもしないで なぜ 生きるのだろう '
positive,'maccha kisk そうですね笑 大学行きますか '
positive,'masa karu nankadeteru クラピカと同じ声なんですね 知識が一つ増えました '
positive,'gojo 厚木サンダースネイク着いたよん http t co wskjtrvrip'
positive,'leopard rrp お嬢先輩がくれましたー ありがとございます美味しいです http t co f ge pal v'
positive,'revolu 人でも多くのaeの方が当選するように明日は 枚で応募すると決断 '
positive,'tomako yui 春魂やるから俺の日程表無駄じゃなかった http t co tvt tul up'
positive,'i taka fuuasaha 気がむけばフォローしてくださいね v'
positive,'maay rt tenkaichi ww まだ座っとけ 初めて立つのはパパとママが揃った時にしな http t co oqxlwtz l'
positive,'kyu a rt abfly 住基カードつくりにきたら 免許ない人は写真付きにすると身分証になると言われてそっちにしたのだが 作るための身分証として免許証必要と言われファ となった ないと言ったら使える身分証一覧見せられてそこに住基カードって書かれててさらにファ となってる 結局パ '
positive,'pink luv ystr 日の金曜日でもいいですか '
positive,'fleurdelisbot waterz ああ いい響きだ　世界は　美しく　あらねばならない　きみも　そう思うだろう　りさこ '
positive,'largo hana macaron わかります もうちょっと幼っ子を手に入りやすくして欲しいですね ω 個人的には 少年も欲しいです 笑'
positive,'cbxcocolo 久しぶりに本読もー 部屋模様替えしよかなー 笑'
positive,'love tamako チョイちゃん ご飯持ってきたよ https t co tvmspzoq'
positive,'sakuma sironananana 解禁はそんなに難しくなかったからすぐ解禁できるかもよー'
positive,'panda rt motomati hmxシリーズを開発したのは藍原瑞穂でもう死去している 直接開発したhmx フィールは太田香奈子に酷似している とかいう黒歴史アニメ'
positive,'utpr s bot 夢がなきゃ　愛じゃない エゴのパトス　分かち　逢いたい　逢えない　奴らも　いたけれど　　dream more than love 黒崎蘭丸 聖川真斗 神宮寺レン'
positive,'kadzuki 最近 よく夢覚えてるなぁ '
positive,'marioryu bot 今週の作品はお客様と僕の夢の いや夢だった作品です'
positive,'yuuyuu ハムタロサアアンww'
positive,'belphegor ngzk asnh nogi なんでや 俺もそんな増えてほしいわ ショボン '
positive,'rei vist 寒くはないんだけど風がやっかい'
positive,'yomirei ldh k rt elichi k 拡散希望\nelly l spark譲ります 即決 即決でセット購入の場合送料負担します メール便の出し方や振込の仕方を理解していて 迅速に責任もって最後まで取引できる方のみ http t co ynh x na '
positive,'follow y 只今 時 分です 相互フォローを希望する方のためのアカウントです 当アカウントをフォローして このアカウントのフォロワーをフォローし フォロー返しを待ちましょう そしてこのツイートをリツイートして フォローされている人をフォロー リツイートすると新規フォロワーが増えます '
positive,'nattun 初見です 可愛いです 前髪のくるりん\n教えて欲しいです mini size メィク http t co tbzyqqs z '
positive,'kz gring msh is god 装備整えてhp 程度無いとタイタンでお荷物なんで hp確保するためにvit振るとか論外なんで '
positive,'chocolat sumomom こちらこそ よろしくお願いします о о '
positive,'favstar ja yumirume ツイート おめでとうございます http t co orrsmoa m '
positive,'sekaowa skow 教えてくれてありがとうございます '
positive,'hhany ゴールドライツ金田さん\nトヨタの購買のやり方は 部品を買うのではなく 企業を見て買う 変化し続ける力を持った企業から買います lean l'
positive,'kure bot igru 彼女がかつて生きていた現実世界にクロはもういない '
positive,'orzakira 俺がお菓子の家を食べてるんじゃない 俺が食べた家がお菓子の家になるんだ '
positive,'follow sougoh 無料レポート アフィリ初心者が実際に 月 万 円をツイッターで稼いでしまった方法 http t co ulo hgurh rt 相互フォロー followback sougo 自動リフォロー sougofollow 拡散'
positive,'rabbit satou fuck とりあえず外してみたよ 今からまたフォローするね '
positive,'bell おお ついに俺修羅 巻でるんや '
positive,'assn hq 日向 まだ 死んでないよ '
positive,'mb 久しぶりに灘中のカウントダウン聞いたな 懐かしい '
positive,'tarbobike みんなで細川 小泉街頭演説をyoutubeにアップしよう '
positive,'chiahiro aa nh aa 今のところいないいな\nいいないいない ちひろも頑張るー お疲れ様です 笑\n\nそれはないから ω '
positive,'forza 腹減ったから飯食おうと思ったけどまだ 時なのか'
positive,'orwrock piino え わざわざ気使わなくていいのに 楽しみにしてる 最強にうざい奴 ww'
positive,'tsk sete gc yui mf eym メシアって範囲狭いんですよ'
positive,'totea lle wattaildragon ね 家族が買ってくるのを密かに待ってるんだけど一向に買ってくる気配がない もう買ってしまうかな ω とりあえずアニメ見たいから探す '
positive,'cat miysis sat スタッフkameのなんとも隠せないヲタ ｹﾞﾌﾝｹﾞﾌﾝ '
positive,'yo shi やったー 給料だー '
positive,'ryu x semimaru 明日学校きますかー o '
positive,'hosukehoo しごおわからの散髪ｽｯｷﾘ ｪ '
positive,'king xx マスカレイドミラージュにはなかったけど最後見開き ページ 人がいろいろ書いてる'
positive,'cabayan 眠い 頭ぐるぐるしてきた 笑 早く帰りたーい '
positive,'o a y v toyoya 誰かー今度勉強一緒にしようぜー'
positive,'brbrish madoka この間は朝昼晩 回ずつコンスタントに使ったw'
positive,'s tate 応募期間までに紙出してなかった 笑 終わったなーこりゃ '
positive,'nomde pink rt i keina このコーデどう http t co uybptbqnx nomde officialさんから\n全身デニムだけどちょっと違うからやり過ぎ感無いし 今は寒いだろうけど春でもさらっと日焼け防止できる 笑'
positive,'ikereosan なんかやりたいなーこのまま学生終わるのはもったいない'
positive,'mana rt imadoki rt どう考えてもこれやりたい\n http t co tvtlmzg '
positive,'anaanakasiko rt masada takashi 一条和矢さんが神野について感想を述べておられます http t co hv eqzc mc えー 先割れスプーンさんにも言いましたが 当該キャラのキモさについて悪いのは俺じゃない 絶対 ﾟ '
positive,'a m sae いきたーい '
positive,'kaa バレンタイン作ろうと思ったけどなんかぱっと思い浮かんだだけで 人弱いてなかったことにしようとしてる'
positive,'a yuya jyun ch 下心なんで全然ないですよ 笑'
positive,'sakurann rt isoiso free 期決まったのでfreeクラスタさん繋がろう\n rtした人全員フォローする 相互希望 free 二期ということで繋がりましょ http t co b kf ktg u'
positive,'sorogami ラッキー場所わかりずらいのになんでこんな人来るんだよ 理不尽 '
positive,'tmanys どうしてあんなに可愛いのだろう'
positive,'mmimuraa アントニオさんやないか gt rt'
positive,'don shuka rt g daragon あきかにこれだけ見せたらドキッとするやろなスンフンパパラッチされてるっていったら泣くやろなフッ http t co dx gg j d'
positive,'yousuke サザエさんのエンディングに使用決定 楽天 http t co osg jjfln '
positive,'chiha aa あのバカ女覚えとけよ'
positive,'zxcv a l 急いでも間に合わないじゃないですかーやーだー'
positive,'mganedanshi bot ddffttww クズ ygvuhbijnokmpl 様 おはようございます 眼鏡男子代表として貴方に目覚めの口づけを贈ります ちゅ ん 一度では足りませんでしたか 朝からそんなイヤラシイ顔をして 仕方ありませんね 好きなだけ差し上げます ホラ 口を開けて '
positive,'febe audiobook 社内に綱渡り スラックライン ブーム到来か いま綱渡りが熱いです '
positive,'seyaap rinchaan うらやま 南国うらやま ずるやま '
positive,'kuko bot ajittirc いってらっしゃい お土産期待してる'
positive,'satomi 吉木りさちゃんがタイプなら 定番セキララシリーズを見るしか無いですね http t co ein jsrbvg'
