@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
negative,'quackydacs erbpatulan happy life '
negative,'exofaggotry limeeicecream omg anon how sad we have diff ships '
negative,'janeliewjh rt sassyy janeliewjh youre supposed to be good girl im dissapointed with you '
negative,'milisolaroo https t co q p ttyrpa wow '
negative,'peache samanthajadewo jamesbourne it s not fair '
negative,'nigelcajayon i do really gained weight '
negative,'wilddaria https t co glnourmtwo'
negative,'annzuraigat this stomach pain right now '
negative,'teenteen carlos angelacristia cescaisdaname cesca sorry pa followback uli plss '
negative,'nopublicotweets mi hace falta mi cel '
negative,'tobie i d be covered if tcs suisse had suggested looking into my car insurance instead of pushing to organize assistance themselves '
negative,'hazmanrozaimi it did not turn out very well '
negative,'jasmin vip rt dreamangiedream miss seeing ne our queens winning amp getting all the awards that they deserve ü know what i mean guys '
negative,'peace viki cecil no thats not true '
negative,'dogsgonnab rk rt mamma g you asked don t ignore me beau at the end got their batteries haha martinagourriet http t co yrjla dopx'
negative,'woxanecastwo help http t co jkyx ztlxz'
negative,'short monster my hip still hurts '
negative,'dimmid i don t know how to be something you miss spinnrtaylorswift spinnrph'
negative,'alexa erdos michael clifford of sos my mom only lets me dye my hair red if you ll follow me i love you mikey please follow me xx michael sos '
negative,'ariannemeraki elaineedevane pero seryoso when i see the line up i ll be begging my parents for permission i ll tell them na kasama ka huhu'
negative,'callmerupert rt bienconstantine taylor swift lt seeing you perform live is actually part of my bucket list '
negative,'cmykaren howsueisnow ahh definitely tempting one of my best friends is getting married on so i fear it might be cutting it a little close '
negative,'mattmitovich sepinwall poniewozik now you re reminded me of joe shlabotnik s sad career '
negative,'marcheuberger etsyhelp placed order it hasn t cleared for some reason the seller won t ship and i need this for a gift asap '
negative,'iansuke beachhbummed iansuke i only have chinos '
negative,'jay sws araphernelia u no load '
negative,'xnamtae x http t co rhmhh kyqe'
negative,'querroquerroppi why tanungin ako http t co buuipcdgbz'
negative,'amyelizabethoxo gutted to think i would of been in la this week '
negative,'ayybiebuh rt bizzlescaramel ayybiebuh indonesianproblemsnight no hot boys in your school orz true '
negative,'lejasone walao missing out the sec cca farewell tmr cuz got the sw rep hpb thingy they playing match sia '
negative,'thesilverid rt fajarwahyu s video clipnya bisa diliat pah hari un dong thesilverid gettomoveon'
negative,'gilsonalyssa rt janiegh gt sometimes sadness turns into anger and that s ok adviceoftheday gilsonalyssa'
negative,'taecbae boo rt jralxzander taecyeon emotional scene in wonderful days still cut kdrama http t co g dhjnzxzh'
negative,'jessephillips hgore can t i say hi mane '
negative,'jemappelle tai midterms week amp here i thought i got off lucky with nothing to do '
negative,'marianelaariass hoy tenemos ingles y matematicas d '
negative,'bitethbullet whose this lorraine tan you always like on fb i dk any lorraine tan http t co yyz blkp g'
negative,'zsofi horan allthewayniall my mom was the same but now idk why she hates them '
negative,'mariaaira rt prcstrvl can we go back to the old days '
negative,'jamesrowell hraymond yeah i swear this is gonna be the death of me '
negative,'pennyykv pennyykv it s owkayy sweetie i ve always loved you '
negative,'pinksquintwins teganandsara please come to europe '
negative,'quicke u t warner brittany valdez i miss you guys '
negative,'shlyl i ve done half of my speech for law gotta find case studies as examples next '
negative,'tn izt englishjer i want this '
negative,'banapaul alyssacleo alexandrapscl '
negative,'love poopey miss the xfactor days '
negative,'secutecxniff my phone is chipped '
negative,'giselycolin aii mds medo de tirar sangue aicmofobia belonofibia'
negative,'perrieismylolly suesma hee asq fahahsjshha sinavarw var qiremiyom '
negative,'sullivan not feeling it today '
negative,'styiesdobrev toffeekissharry millie no '
negative,'dy 댛니 아직 아파요 ㅠㅠ jinhwan ma baby still sick daehyun gotta wait need to take care of him first '
negative,'naza don t used hmm amp '
negative,'feelawaremod yo a veces '
negative,'tosinajimobi oh my god everybody sleep is important dx'
negative,'chrispetersbitw datashh i can t help it'
negative,'insurgent rt wingless oh shit they reached it first votetris http t co lrep ppm '
negative,'dollydo at papparoti with hoyda and her friends and it feels pretty awkward cause they re all talking about architectural stuff lol'
negative,'marian cp bramblelovecp i have to go i m really sorry bye '
negative,'jaime hemmings hate getting jealous so easily '
negative,'mielcanelashop circus trained beaten animals of course if i were an elephant i would b busy being one take up art https t co tqenzzvo i'
negative,'bossladydims everyone going to florida but me '
negative,'ryanmdougherty i guessed the national championship score correctly but not the winner '
negative,'xcypheric i just hope no one ever takes away that smile from him i want the best for my baby '
negative,'jerrycole i m not sure how to take that doe o'
negative,'imonlymartin what is physics c'
negative,'briancharles o o o this had me goin real str flat line lmfao v v v v v http t co xvqgya kd '
negative,'stephneh suppose i can t complain there always had to be some kind of catch because nothing is that perfect without there being a problem d '
negative,'thenamesbahja car porn will have you wanting certain cars more than you want your brother s life to continue sad truth '
negative,'drlbtrzvdy how do you cheer someone up when you re feeling down aswell '
negative,'iicodecll erinnlovex bother me when you re paying a portion of your parents finances sob'
negative,'mastuhmanny just want to go back to sleep '
negative,'craxy mofox keleighoned yup '
negative,'fvckldotsdot crunxnotdead it s a recurring thing already i m gonna be a fragile old person '
negative,'matoshooter tiwy ah '
negative,'mariamsherif '
negative,'esther loh i am hungryy '
negative,'notworth enuff if only math was after recess damn '
negative,'lilbill rapper rt dadditaughttme i m in the air but u can t tell http t co dskgnbvtv'
negative,'whot ylor rt louis tomlinson is old '
negative,'myclx gxvemeareason non '
negative,'idbe cookieboo twitter was down on my phone for the longest while '
negative,'beautfulmnster fritzfelizardo yes pls namiss ko tuloy himym puta tedmosby http t co z brcd ypn omg'
negative,'jeriwb redeyeinsomniac in college i worked summered on yellowstone as a room inspector i caught room attendants not changing sheets '
negative,'jongdaegirls will post the handwritten note tomorrow okay my internet now was so suckss c'
negative,'killuminati kushiody thats not even my snapchat haha'
negative,'hotkyannpepper why is my twitter trying to make itself look like fb update fail'
negative,'freerunnering rt stroughtonsmith with the same projects it s an order of magnitude slower than on a era android phone running at higher res '
negative,'raisasanguyu blowfishprince we have puppies again '
negative,'adhitals rt adelladellaide rt amrazing it s not the distance that kills it s the jealousy insecurity and your ego '
negative,'komal qureshi is it me or anyone else is hating the facebook of twitter annoyed'
negative,'s aisyahamini jombloo o officialalghazl'
negative,'fiedaazman i hide all my problems behind my smile behind my smile is a lot of pain '
negative,'rexieallan night '
negative,'narrymashcake follow me ily calum sos http t co bdzsng tx'
negative,'justbetterefc sad news breaking tho can t find confirmation that sandy brown has passed away at the age of rest in peace http t co xeswhpbv a'
negative,'inancy tareas '
negative,'dwshhp ponds and roses awh thank youu ily lt '
negative,'leevoguee shainesepeg i m so sorry nareceive mo message ko '
negative,'jococomendador the pain is back '
negative,'cigbreakliam d domination ah shit '
negative,'bioprxda rt zouisftsex partayniall this is why i think i should get the account http t co lupx hv yc'
negative,'leon das rt wickdlol i hate that every time league patches i need to mute the client again stop killing my ears riot '
negative,'lukeyboi kowetasbolas danlesac scroobiuspipyo itchsspeeches o jelly'
negative,'gremoriie oh shit what should i do yare ako nito '
negative,'nicoief angelapascual angela dm please i need to talk to you '
negative,'princexzxcreamo i need a hug because i m totally broken lt feeling broken'
negative,'ni colinmorgan merlin amp arthur hurt poor merlin colimorgan http t co xuqlgkxr h'
negative,'ihatemariaxo dm s aren t working '
negative,'blackbloodlouis coollike but i live in america '
negative,'fyeah imcool verniceng me too nehii '
negative,'stephen ntw jaynecowan what happened to the philosophy of encouraging people to use public transport annoyedoverthis '
negative,'alexa erdos michael clifford of sos my mom only lets me dye my hair red if you ll follow me i love you mikey please follow me xx michael sos '
negative,'acidickhemmo rt thezayniggas luke sos luke please refollow me\n\nsomeone hacked me and blocked ur follow\n\ni am so sad pls luker efollow me x '
negative,'ensine rt kiranks take a pledge on rama navami day to save cows and their helpless calves we live in a barbaric world today http t co gstx '
negative,'bobibelgrade lmao annartee lmao dudes imgifted ugly girls like prime number nothing would go through them except themselves '
negative,'ilovelukehemmo luke sos please follow me luke im trying so hard to get your follow but your not following me '
negative,'jassmoe my throat hurts '
negative,'dongwoosrn myungsoosrn i think you have nonexistent boobs now you are not traumatized by them and you think gyuna is erotic nice myungie otl'
negative,'youngxcoming rt trussme need some new batteries for my beats '
negative,'dhevifee i can be survived right mom why so painful mom '
negative,'designarhyme steve does sound familiar with that cast but any other recollections long since passed s'
negative,'calumshxnds idk if i should just give up on getting my luke follow for the night maybe he will just magically follow me aayyee'
negative,'victoriaatwl michellekheww i wish i could share the joy with you '
negative,'heeysheeby haven t seen kayyhall in a fast minute '
negative,'whatbehaviour sciencegurlz ouch i hate imminent unemployment no potential jobs on horizon '
negative,'kittykaran i follow too many truthanators and not enough karanics '
negative,'kyla rayner wheeler whitney emilyraneyduh same mine aren t either '
negative,'buioppa crazyyjinkook yess they need it so badly '
negative,'nicayds eman megreply '
negative,'lyndseyabel rt nobodykatie begging lyndseyabel not to go to school miss u already http t co ie rd bd'
negative,'chachox rt paoliitah chachox pss te entiendo pss iio pense mucho tambn '
negative,'mrs bieber aya rt armyofacm vacation almost over you see the happyniss right c http t co alodjxbwnu'
negative,'ashtonxirwn luke sos luke you promised you d follow me at the newcastle signing please be my i love you alott x '
negative,'ninmkrtichyants as http t co cwkk ac '
negative,'tktastic just hate how everyone s watching my idol s films now amp none of their films r airing on tv here today right let s get kuch naa kaho out'
negative,'matherineann waiting '
negative,'richardc ugh wish pizza hut and dominoes delivered '
negative,'chicosinmemoria rt ingenler no hay nada más triste http t co bbhcgjtfdl'
negative,'princessadbc no new downloaded movie to watch '
negative,'x secondsx http t co xfxqlgzlwb'
negative,'merlytweets aryansarath so true '
negative,'selinayanak rt ozgeatky niallofficial i love you lt '
negative,'discovery spectredetector metrouk haha i hope he skipped lunch and didn t opt for the spaghetti bolognaise tea '
negative,'shintadamay pengen kwetiaw deh at shinta s home https t co kv otlavdt'
negative,'zoxby jakobcapes joshuathursby your fault for going on holiday we had our time it was nice but i just don t see a future for us '
negative,'georgiaellen if i want to wear dresses this summer i m going to have to lose weight '
negative,'albeyabeyy thatsfoodporn oreo ice cream cake http t co fj yfyf of rapsa '
negative,'danielmineault brookebanner hope the pain stops quickly you go back to your natural cup size '
negative,'emadenimuchtar bored '
negative,'infamousdelsin rt mancmaniac desprate to order second son amp lego hobbit birthdays coming up and had strict orders not to buy games playstationuk '
negative,'ruselizrosax i m so over the cold weather man '
negative,'ianakristine i want to go to six flags '
negative,'lauracorbyy wanna go to a beach party with music and an awesome time '
negative,'charlotte lacey i need a ticket for bakery tonight plz anyone '
negative,'omgbeccaisgay i wish i was able to freely hold my girlfriends hand in public without having to worry about what society thinks '
negative,'soul l idonmyth صدقت '
negative,'denisehoranx niallofficial ashton sos i ve been trying for ages to get a follow make my dream come true please love you so much xx '
negative,'p i feel bad for cutting ties with some of my old tlist but most of them have changed uns now '
negative,'notsorocknroll i m sorry for spamming luke but well it s the only way to get his follow so '
negative,'lovelyfaith justmefrancism followameagain '
negative,'thr erbody got problems but i prolly got the most '
negative,'dolo mrgip siona cash out my party not till but i work that day too '
negative,'batmankilljoker i don t get this shit http t co lmcny jgx '
negative,'rsllpln luke sos i would be the happiest girl if you d follow me back pleeaase thanks for being my source of happiness ilysm x '
negative,'samanam can t stop watching haha so adorable can i finish this overnight reply '
negative,'kindofabig dill chasemiller rylan has a doctors appointment so i won t be there '
negative,'cindycecilia must be sincere '
negative,'iamemmc jillianadrias sfynclvzcrr miss u babe '
negative,'shadyreg woahh hope its photoshoped o http t co mqrtu dbr '
negative,'ultraviolince deadlylana why did you unfollow me '
negative,'megsilog my body clock is really fucked up '
negative,'zamaira blanco ilsemusic follow your heart always even if it hurts '
negative,'miniberry rt k nemesis miniberry เจ บนะ '
negative,'edcelog oo nga what just happened '
negative,'sirhansharr o globe pics this is what a black wolf hybrid looks like http t co qbhjdijse '
negative,'theredgrrl sazza jay indeed it does '
negative,'hanifananda rt adelladellaide rt amrazing it s not the distance that kills it s the jealousy insecurity and your ego '
negative,'neonjungletr i am very happy to be your fan you are my reason to smile love you i wish i could see you but this is impossible '
negative,'selenaskylie just got home omg maths test went shit it was a grade and it s so hard omg i definitely failed '
negative,'bhushkam rt valmikii shuksrpcol muslim women want to break the shackles but our kavita krishnan is against giving them rights choutapelly '
negative,'prettypunkluke ﾟ ﾟ calum sos\ndear calum hood\ni ve been spamming you for\nso long gdi be my pls ily\n ﾟ ﾟ wjss'
negative,'mr meestar theehalfapple huh but a bit sad leh your mum got scold anot hahahah'
negative,'claugasol heard lebron s freestyle over the fuckwitmeyouknowigotit beat bron uses a strep throat monster voice and spits censored kidz bop bars '
negative,'bunnyjs rt sinyii kmh ehh actually they are not jonghyun yonghwa or jungshin the one standing is a girl http t co ydmdp xkg'
negative,'faizan raja rt eternity n tum yahan se chaley jao kaptaan heart touching http t co xg fog f '
negative,'pupaezad rt ikpikpz มึงง คือมันใช http t co icvdgey '
negative,'siffatmey lah wes nutup i lawang e harah o rt rvndvz budal nang omahmu rt siffatmey enyoh med haha rt rvndvz cont http t co v s sznfce'
negative,'sandrosdj adamcrest you re posting too much '
negative,'selubeach thebeijingbitch i know sighs didnt get to read it c'
negative,'nataliab i can t stop eating and i need to look good for this holiday '
negative,'iamcauzo i dont want to sleep i want a crying shoulder '
negative,'footy jokes mungkin yu diss percaya gak ht ini bakal jd ttww parischampionsjustadreams footy jokes '
negative,'projectbiebsvnz rauhlshearts hey babe can u follow me please i need ur help '
negative,'twinkiingstyles luke sos please follow me luke you are making me real sad '
negative,'davissarah hate hate hate the orthodontist '
negative,'jesxicajxng snsd tiffany hello tiffany o why did you send me romantic picture of soofany my heart is hurt '
negative,'azzurrilfc katieelfc it s okay i m yet to get over it as well '
negative,'candy kissesxox grr free ma hitta psycho '
negative,'hallowhaven why do i have spring break less than a month before summer break '
negative,'cwt plungeclunge wow bry how haven t you had modelling agencies queueing up to sign you o you are like perfection'
negative,'eshaahmad nak pergi friday within temptation ff '
negative,'inciteinsight roryireland sobering indeed buh well at least they didn t actually call it a dead man s switch '
negative,'vaniachristyr angelslbn kezsiaw ichadaw bellaohyeah edenisepane thx you oya kingofheaven is tmsingers best performance yet and i miss u badly '
negative,'priyamandil rt abelwest my mum gets more phonecalls than me '
negative,'lilalyssax x caitlynmahone im sorry '
negative,'tathirug rt williecolon no pude dormir anochee http t co stmzqliehu'
negative,'harryirwins disguisedluke already tried it it doesn t work '
