@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
negative,'i m freaking out i got something to admit '
negative,'im fukin bored im goin on gs a bit'
positive,'finally awake '
positive,'finally catching the new episode of college hill '
positive,'finally finished now i can sleep peacefully '
positive,'finally friday '
positive,'finally got twitter trynna see what the hype is about '
negative,'fine i just wanted to share with u the greatness of baby soup and how it contributes to a cannibal society '
negative,'fine i ll watch it i am so f king rad '
negative,'finished watching friends so sad'
positive,'finishing up this stupid project then off for fun sundress'
negative,'firefox will not start or uninstall i hate it sometimes '
negative,'first time in a long time wikipedia has failed me'
positive,'fishing today go away rain '
negative,'five in the morn and am awake wiv a migraine '
negative,'flash lost my frisby on a roof sad days lol'
negative,'fml today sucks i just hope the dance will bring my soul up i pray'
negative,'folk taking about me at morning break day'
positive,'folllow me'
positive,'food '
negative,'for a minute there i was all happy thinking it was this tuesday we finished '
negative,'for the first time ever'
positive,'for trish sa right side ng reply ko'
negative,'forgot about them science exams tbh n '
positive,'found her jrm icons '
positive,'found my bberry in the office'
negative,'foxtell is so depressing'
negative,'freaking out about the exam '
positive,'french test oh gawdd lol fashion show tonite come watch lt '
negative,'frenchies cheering sod hurts my soul '
positive,'fresh out the shower i wanna go to the movies tonight '
negative,'fuck it all'
negative,'fuck you '
negative,'fun time so tired train to boston soon '
positive,'funny cold nose'
negative,'funny how quick yr mood can change '
negative,'gaaaahhhhh if i started all this '
negative,'g bye fl crew until dragon con '
negative,'gerd is acting up fml '
negative,'gettin a divorce str ng r n my h us '
positive,'getting my battlestar fix '
negative,'getting rid of the z camaro its a said day if anyone wants it'
positive,'gimme a hug thats soooo cute p'
negative,'girlfriend is in surgery'
negative,'gloomy outside pajamas all day sounds like a plan to me '
negative,'gmail isn t connecting on my iphone is gmail down '
positive,'gnight to all oh'
positive,'go amp try the yummo amp super hot plecing kangkung ayam bakar taliwang sexy food from exotic country'
positive,'goin to dadsssssss'
negative,'going home we all knew i would have to go home some time '
negative,'i m getting sick that s not good with salkehatchie on saturday '
positive,'im giving it all to ya'
negative,'i m going back to sleep '
negative,'im going to bed hopefully'
negative,'im going to go cry myself to sleep '
negative,'im going to miss my prissy but i m happy she s with elvis again'
positive,'i m gonna go be grumpy and read comics later'
negative,'im gonna miss all of the peeps in the play smgt '
negative,'im gonna miss my psychology sociology teacher'
negative,'i m gonna pull an all nighter hopefully i won t fall asleep cause i m pretty tired i want a mocha bk joe '
negative,'i m gonna twit someone on a random time and day so they ll have a chance to reply '
positive,'i m happy and content'
positive,'i m happy went out for dinner at a posh place and food was wonderful i love it when food is wonderful '
positive,'i m having fun with this '
negative,'im hungry but there s no food at mah house '
positive,'im in neet magazine again in the global fashion section http www neetmagazine com '
positive,'im in science class with mt beautiful lauren listenin to my ipod mariah carey of course'
negative,'i m just having one of those nights where you feel hopeless '
negative,'i m missing f r i e n d s amp instead watching dora the explorer i prefered mickey mouse '
negative,'im never sleeping again fuck my life '
negative,'i m not gonna be here when the new transformers comes out i ll be in colombia '
negative,'i m not sorry at all i wont be sorry at all '
negative,'i m not tweetin much today'
negative,'i m not used to instantly not getting it twitter is hard '
negative,'i m not yet ready school time lol'
negative,'im now free tonight dinner got cancald downer'
positive,'i m off to take a nap'
negative,'im officially sick'
positive,'i m real happy'
negative,'i m really annoyed about this telstra bill'
negative,'im really gonna miss talking to all my tweeps but'
negative,'im sad about that'
negative,'im sad i turned into a whole different person bottom line dont ever get me pissed '
negative,'im sad my relationship isn t doing too well but we gonna make it '
negative,'i m sick'
negative,'i m so bad at assassinating people '
negative,'i m so depressed kimhoward were sadd'
negative,'im so going to fail chem tomorrow but its okay'
negative,'i m so going to fail law'
negative,'i m so ill after getting wet in the rain for three days xd but i don t regret it was awesome x '
negative,'im so sadd and confusedd'
negative,'im so sorry iheartrachael ill tell him to stay for you '
negative,'i m so sorry neda'
positive,'gnite gmornin therealnobody'
negative,'god bless us everyone'
positive,'god i love this tune http blip fm u d'
negative,'goin to start stuyding now gutter help me '
negative,'going back to houston'
positive,'going for stroll in sunshine sending out love vibrations all good things welcome xo'
negative,'going home miss him already'
negative,'going on holiday weeks today nooooo '
positive,'going somewhat out of town x visitng uncle boyet amp famm '
positive,'going to bed goodnight amazing twitters '
negative,'going to bed to end this day'
