@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'clevercatsknit re gnome hat was the problem the finished size or the pointy top your mama w still love you travel safe to lex '
positive,'clevercatsknit saw linnes bakery but thought it not too veggie friendly don t worry we ll find food off to bed see you in the am '
positive,'cleverdaisies i would love to '
negative,'cleverick evidently not '
negative,'cleverindie this spine thing sounds no good back exercises are no fun'
positive,'clevermonkeys but after you hit up the magnolia to see anvil the story of anvil and the band playing a small set shortly after'
positive,'clevermonkeys only seen a boot on a car in movies goodthing i m a vegetarian i will only be eatting beans until the end of month '
positive,'clevertitania good morning we have rain and thunder here '
positive,'clewis u so glad i m not there then '
negative,'clexisepic i mss you sad cookie'
positive,'cley you re just looking to start something '
negative,'clg my babies but i may have to change http mypict me gs'
positive,'clickbangkat really wow ok '
negative,'clickdagger yeah'
negative,'clickercloi no long story you '
negative,'clickflutehead but'
positive,'clickjow depois tu pode ver outras sï ries te indico two and a half men e the big bang theory bem diferentes de comï dias '
negative,'clickkachang sorry i got off msn'
positive,'clickmomukhamo no he s not a bad pilot dm me for my reasons so we won t post spoilers '
negative,'clicknspark i wish im not rich anymore u cum here '
negative,'clicksforandy how are you feeling i wish i could see ur face haha is it swallen '
positive,'clicktokill hahaha to sleep you ll feel better when u wake '
positive,'clicktokill is it on touchflo most htc phones have that interface '
positive,'clicktokill next thursday are u suggesting l d ill be free from onwards '
positive,'cliff forster yeah'
positive,'cliffc my boyfriend is predicting good grades'
negative,'cliffordwhansen yeah'
positive,'cliffwilliams welcome to the buffy cult follow along and relive the show one tweet at a time '
positive,'cliffysmom ahem '
positive,'cliffysmom http twitpic com tvjt wow i love it how sweet '
positive,'cliffysmom you re welcome '
negative,'clifto i need your macbooking help '
positive,'cliftonsnotes all you have to do is score lol '
positive,'climber i ll check them out for sure'
negative,'clinamen no job market awful for really good administrators been referring all the ones i know to shared backroom idea http bit '
positive,'clinch i figured months was long enough to talk about it ha ha '
positive,'clint nite clint '
positive,'clint thank you to'
negative,'clintcatalyst you re engaging in haiku with other people i thought i was the one '
positive,'clinterior happy weekend that is great about your father good morning yet from our side of the globe '
positive,'clintfredericks ps this is stephanie jackson eskelsen s husband '
negative,'clinthumphrey we were there from tues and thurs too bad we missed each other we spent all week in san antonio '
positive,'chicago just noticed i wasnt following you but now i am '
positive,'chicago goodnight '
positive,'chicagobites muis importante frosting must be huge '
positive,'chicagoblues i m great hope you are too'
positive,'chicagoblues i m enjoying the evening here how about you '
positive,'chicagoblues its so great to have a prez'
positive,'chicagoblues you are quite welcome sir '
negative,'chicagobound dang we don t have sonic here '
negative,'chicagocali so sad amp my broski hittin me tlkin ish on the blkbry messenger'
positive,'chicagocali i love ur new pic it makes me wanna party '
positive,'chicagocarless is that an invite '
positive,'chicagodiane nice i think my soccer team as a kid was called the yellow team '
positive,'chicagomonica into my arms please i miss you what s wrong '
positive,'chicagonerd goodnight'
positive,'chicagoradio thanks '
negative,'chicagored hey sweetie monday again '
negative,'chicagorock i tried to pick up the reissue of quot reckoning quot at my local bestbuy and they didnt have it i have to order it online '
positive,'chicagosane yes'
negative,'chicagosoul we don t get free tickets or food '
positive,'chicagosoydairy wow the doughnuts look great wish i lived close enough to help you taste test them '
negative,'chicagostyle someone replied to me it got cancelled '
positive,'chicagostyle thank you i m particularly pleased to have katriord as company '
positive,'chicagostyle yes'
positive,'chicagostyle you re welcome '
negative,'chicagosweather clean me '
negative,'chicagotoystv thanks for the follow i haven t figured out how to do that yet catching up '
negative,'chicajones yeah too bad i can t be the man in seattle on monday '
positive,'chicalit the construction lookd familar'
negative,'chicalta yeah i think i will make that sandwich tho i m sleepy amp nobody will write me back on yahoo messenger i must be a lame lol '
positive,'chicawest good morning sunshine '
positive,'chicbuds hi kailynn just got here you were my first tweet up how was your day '
positive,'chiccraftychick i am surprised i won since i was trash talking lebron i guess they are not sore losers '
positive,'chiccraftychick lol that was pretty cute '
positive,'chicgalleria why thank you ps getting my fashion tips from chic galleria blog thanks b '
positive,'chichi rofl for real'
negative,'chichi im excited not sure if i will make the party friday night or night depends on when we leave '
negative,'chichiglacierz lol wtf am i listeningggg to then lmao '
negative,'chichiglacierz u dont have to rub that im pale in damnit im actually tan right now fucker '
positive,'chichisunget ahaha'
negative,'chichitjandra knp gjd '
negative,'chichitjandra my condolences call me when ure home bebeeek'
positive,'babygirlparis http twitpic com rm r so so sweett u are the best couple '
positive,'babygirlparis http twitpic com a s as always arrazando daughter in the photo speak to say'
positive,'babygirlparis http twitpic com b p thats a nice length on you '
positive,'babygirlparis http twitpic com eqo i like your silhouette '
positive,'babygirlparis http twitpic com imb watchin bff now n luvin it new season is huge '
positive,'babygirlparis http twitpic com vo l that is so cute i made a not too bad version of ur house on the sims lol'
positive,'babygirlparis http twitpic com ia what is this '
positive,'babygirlparis http twitpic com ia you definitely know how to fly huge loving it all '
negative,'babygirlparis http twitpic com m wr im so jealose i so want to meet u '
negative,'babygirlparis i cant believe you will be in ohio at sugar bar i live in springfield about an hour away and cant get out during the week '
negative,'babygirlparis i love alll your products i so want all your stuff hhahah'
positive,'babygirlparis i thought tinkerbell was dead congrats on her being alive '
positive,'babygirlparis i use to watch them when they first started here but soon i was lost more than they were '
negative,'babygirlparis i want to be there with you xx'
negative,'babygirlparis i wanted to watch you on the view but they interrupted it with a quot special report quot '
negative,'babygirlparis i m with you on that one i wish i was asleep but can t fall back asleep '
negative,'babygirlparis its such a shame we dont get it in the uk '
positive,'babygirlparis love the gaga ish bow on the preview of next week s bff looks so cute onya '
positive,'babygirlparis nice pic paris'
negative,'babygirlparis no super star has ever spokin to me sad '
negative,'babygirlparis oh'
negative,'babygirlparis omg lost is amazing best show ever it s so frustrating that we have to wait till next year xoxo'
positive,'babygirlparis paris please follow me lt i got britney spears following me'
positive,'babygirlparis paris rocks did you know the first hilton hotel was in my city el paso'
positive,'babygirlparis party babyyyyy i m jelous lets party when you re back in la '
positive,'babygirlparis please be my friend abd follow me and i will sing you into sleep joe'
positive,'babygirlparis plz give me a shout out'
negative,'babygirlparis shitty i have a real job and have to work '
positive,'babygirlparis so romantic i hope you both have an amazing time and paparazzi don t follow you you need more privacy with doug xoxo'
positive,'babygirlparis sweet dreams beautiful '
positive,'babygirlparis thanx paris i ll check it out have a super night ok '
negative,'babygirlparis the president came on and we missed your interview will catch it later '
positive,'babygirlparis to use your man'
positive,'babygirlparis uhm come visit us at h amp m we were just right beside that church crazy you were right there '
positive,'chicintuition haha psssh no way it s not that'
positive,'chicisimo wow'
negative,'chicityenvy no'
negative,'chick oh bugger bum poo '
positive,'chickadii enjoy '
positive,'chickalette art i like your style as well and i am following you and thank you very much for your follow '
negative,'chickbammbella hope u feel better best call me if u need anything ill call u on my way to chk on ya '
negative,'chickbammbella guess so sucks ill be lonely for frickin everrrrrrrrrrrrrr'
negative,'chickbot you have my sympatheties i get them too and the only thing that can stop them is medication '
positive,'chickdrummer yes'
positive,'chickelit phlegmisch j s ppl in transylvania still speak saxon dialect that strongly resembles both flemish and pre norman quot english quot '
negative,'chicken cookie hope it sorts itself out'
positive,'chicken hunter maybe you could give us some links please '
negative,'chickenbrutus try getting a new pair my last ones were second hand and didn t last too long '
positive,'chickenfoot eagerly awaiting your new album congrats with great weeks on the billboard chart '
negative,'chickenfootjoe cool i saw you at quot the stone quot squares and billy satelite'
negative,'chickenfootjoe it s all good the album is awesome btw'
negative,'chickengifts sorry only just seen this '
negative,'chickenofthesea i m jealous have fun '
negative,'chickenroyal uh might have to re point the things then '
positive,'chickenryy yea pretty much i saw ur convo w ariana on my newsfeed omgosh do it maybe ill come with and we can learn to spin n twirl'
negative,'chickenstudios i dont know '
negative,'chickenstudios it didn t push it just sent an email '
negative,'chickenstudios ohhh remy foster i have clothes on now '
negative,'chickenykira you know me too well i made that post before i went to try and buy it anyway getting it thurs pokemon platinum is '
negative,'chickgonebad i have no text plan on my phone i ll send the '
positive,'chickie glad you had a good weekend too '
positive,'chickieleighc that was nice i just ordered my mom her gift from me and my sister something different and unexpected '
positive,'chickieleighc yes'
positive,'chickiepants two but one is involuntary so i m not sure it counts '
positive,'chicklet ha we ll let you off seeing as it s you '
negative,'chicklet i knoe buddy i ve been high alert since twitter downtime waiting for some dumbass newbie game there are a couple of signs '
negative,'chicklet its only wednesday for me '
negative,'chicklitgurrl that means i m starting from scratch insert pouting i know i just dislike i didn t think of this before midway'
positive,'clintincredible its date night anything but sushi had that last night'
negative,'clintlamberth haha where are you they call it both soda and pop here as well i m actually catching myself call it soda now '
negative,'clinton kelly nick arrojo doesn t use twitter '
positive,'clinton nice looking camera they have screen protectors for cameras here'
negative,'clintonfitch yes but not yet i ve checked '
positive,'clintonjeff watched that yesterday'
positive,'clintonphoto i m surprised more people haven t mentioned it maybe it s the angle of the photo in any case'
positive,'clintonskakun vincenthunt kurtstarnes you should meet tpr too'
positive,'clintonskakun i hope u will start a good company before u graduate from college '
positive,'clintonskakun yours works on all sizes very clever on the left side name even px can get it winks '
negative,'clintonsparks sorry hear that that s always rough '
positive,'clintonsparks boston got the best looking people in hollywood '
negative,'clintonsparks i told u i tried but said it was late cause the girl i was with took ever get ready they wanted to meet up by '
positive,'clintonsparks what kind of records are you working on stuff for quot last train to paris quot or for a mixtape or looking forward to it '
positive,'clintonwayne u dont need a shopping partner u just need to make a quot list quot lol more good advice '
negative,'clintrevell very cool unfortunately i m rarely allowed to play with things like that any more '
positive,'clintyghost wow'
negative,'clio jlh it s so inexplicable to me that katy gets that treatment they respect kris s faith and adam s bfs'
negative,'clio jlh lol that s a special kind of magic'
positive,'clipper ship double exposure cute '
positive,'clipperkid looking forward to some patron inspired tweets and twitpics have fun '
positive,'clipperkid you like your job it seems like '
positive,'clippernolan is it wrong that my yr old knows that song '
positive,'clipperspaul i will have to try harder at the teasing next time just kidding'
negative,'clipz most of them '
positive,'cliquedecamwa i hear ya so many to choose from can t we just hang out with them all '
positive,'cliquedecamwa omg u met soo many celebs im soo jealous hahahah hope u had fun but im sure u did anyway duh '
positive,'cliquegirlzfans hey add my dear friends please '
positive,'cliqueme i was dying on thurs amp went to my dr he gave me antibiotics and those fuckers are d shit i m back to normal more or less '
positive,'clitracist yeahhmannnn '
negative,'cliuless i m dyinggggggg finally on the nd half of my final paper'
positive,'cliveatkinson lol always thought he wore false eyelashes no mans lashes are that long '
positive,'cliveflint '
positive,'cliveflint is it i m in bedfordshire '
positive,'cliveflint ok'
positive,'babygirlparis wish you good luck '
positive,'babygirlparis yea that movie is great so wat up ur still out and about post more pics lol xox'
negative,'babygirlsomajor clapping for ya happiness'
negative,'babygirlsomajor alaina s bday in roman numerals but tha dude who did it didn t kno i wanted it outlined in black til it was too late '
negative,'babygirlsomajor i tweet don t work for sk s '
negative,'babygirlsomajor me too girl its ridiculous we started a twibe amp amp twitition against it'
positive,'babygirlsomajor my weekend is good my son is on the way back home to me was by his dad'
positive,'babygirlsomajor that s gd'
negative,'babygirlsomajor what s wrong '
positive,'babygodzilla yeah with me '
positive,'babygurlbee thanks mama '
positive,'babyguuuurl awww reunited and it feel soo good '
negative,'babyharoldk i am a little above her and she doesnt even have a pic up why is that vote for me ill hug you so cute love those dogs'
negative,'babyimbadnews so good god'
positive,'babyinthemirror really pleased you are enjoying it '
negative,'babyitssel aww would you like to dm about it i won t tell anyone lt '
negative,'babyitssel yeahhh'
negative,'babyjamazing aww good luck'
positive,'babyjane your so lame sometimes '
negative,'babyjew kill it and kill me i don t wanna deal with cake today'
negative,'babykitty ignored by who hubby i m sorry '
negative,'babylindsay haha'
negative,'babylindsay it s a joke i will go'
positive,'babylonwoerden chillen en dat is nice '
negative,'babylonxcory words can t describe how much i miss you take a flight '
positive,'babylorri ohh well'
negative,'babylove xo lol yeah last day of school tomoz gona miss the memories '
positive,'babylovingmama would love to have you do a review giveaway of zoomalbum dm me with your address and email and we ll get started '
negative,'babymakes idk haven t been sleeping well lately if you remind me around ish ill do it then '
negative,'babymakes it s a damn shame someone as talented and amazing as clark gable has that for his legacy his son was born after his death '
positive,'babymakes yes it does old enough that you know not to fall for cheap gimmics '
positive,'babymakinmachin oh'
negative,'babymakinmachin omg that dream now im realllyyy getting nervous for you lol btw'
negative,'babymakinmachin stressing out about it will just make it later '
negative,'babyminaa aww you alright sweetie '
positive,'babymoon i love you too '
positive,'babynel wow that s so relaxing '
positive,'babynotincluded thanks ff '
positive,'babypatches and i look forward to serving you'
negative,'babypatches it was much cooler there'
positive,'chicklitter wdprescott the stain on my couch per my post last night '
negative,'chickman exactly and we still continue to hold on to ittt '
positive,'chickman there s reasons why i want you to shrivel up'
positive,'chickman things like what good morning btw '
negative,'chickman yessir classes here start in june goodbye summer to me '
negative,'chickmcgee the nut roll vs payday bit was hilarious'
negative,'chickooiyer sid i didn t know about that '
positive,'chickpea aww cheers babe sorry im uber slack on the tweets back'
positive,'chickswhodunk if you like laugh have a good time follow me its just that simple '
negative,'chickthatbeads i m so sorry '
positive,'chickwithaname lmao define normal '
positive,'chickwriter thank you for following me back xoxox'
negative,'chickybaby you go from living life around nap schedules to living them around school schedules it doesn t end '
negative,'chickybarbwire that s cool i m supposed to go to school today'
negative,'chickylove that was it bella woke me up she knows how to crawl on my bed now i regret having a low bed '
positive,'chicmom every one that will have him '
positive,'chicmom ohhhh yeah lol '
positive,'chicmom well'
positive,'chicmommyusa how old are your babies '
negative,'chicndirty think you and vtn should start quot erol has sexy radio voice quot campaign so he doesn t listen to me and my big nasty mouth '
negative,'chicobonds taking x or x into city tmrw i will be on x at am tmrw '
negative,'chicochan i didn t get to play that unfortunately rob s not the only one who didn t get to see the game early with the rest of the team '
negative,'chicodebarge i guess you re responding to me about dc if that s the case '
negative,'chicodoodoo hey hugh great to see you on twitter i don t have it hooked up to my phone i try to log in daily how s it hanging '
positive,'chicogarcia chico'
negative,'chicogarcia happy bday hope you ll enjoy your day despite you losing your phone hope you ll have a blast happy'
positive,'chicogarcia hi chico you should not juggle your bets too much'
positive,'chicogarcia http twitpic com bw o hi chico scarry missed u morning rush '
negative,'chicogarcia oh no i don t like that'
positive,'chicogarcia oh that s soo cool i should be sleeping by now so that i can wake up tomorrow just to listen to you and del haha nighty '
positive,'chicogarcia thanks for greeting my mom this morning i realized tmro s her bday though she was thrilled when she heard it tnxtnx '
negative,'chicogarcia totoong masakit siya since sa muscle siya tinutusok tomorrow will be worse '
positive,'chicogarcia yeah haha i got surprised when you announced his and my name on air he didn t even tell me haha '
negative,'chiconate there s nothing i d want to do more but it wouldn t make sense from a financial standpoint unfortunately '
positive,'clivewild heh i just need to figure out what to do '
positive,'clivewild you re welcome have a good weekend too '
negative,'cljb yea the sore throat part isn t wuts up all glad to be out nonetheless'
negative,'cllllloneliness ohmygawdclaudelia i haven t watched it yet spoiler alerts next time pleeeaaseee '
positive,'cllrsuetaylor '
positive,'clm that is a form a stealing huh i had a feeling but i brought it back its still there i was just sampling it '
negative,'clmaggart ok where did you find a picture of rod and tjo i haven t had luck yet finding one from last night '
positive,'clmaggart yay then regardless of how the day goes'
negative,'clo ohhh nooo they sent burriss to fresno guess they didn t like his dougie '
positive,'cloakedgerbil its because its awesome '
positive,'clockity coraline it was great '
negative,'clockmice '
positive,'clockwork ctr d aaw i love it'
negative,'clockwork '
positive,'clockworkange i love that movie tom hanks at his finest it really hits all walks of life too good stuff '
positive,'clockworkprune good luck tomorrow'
negative,'cloclo i fell asleeep before it ahh well ive seen it before'
positive,'cloco i can handle i think '
positive,'clocsen thanks'
positive,'clodaghkelly hi clodagh'
positive,'cloeee nah'
negative,'cloeee sorry '
positive,'clogsilk when football comes on'
negative,'clogwog i m going to miss reading you on the db have a wonderful time away'
positive,'clogwog thanks reading it now '
negative,'cloizzle boom boom lol my favourite was character was voice over man'
negative,'clomeist i don t have it x'
positive,'clonecommander everything is better with lightsabers '
positive,'clopin checkin everything out sms '
positive,'cloroks about damn time lol can t wait dear hear anything about ky yet '
positive,'close anangel youre adorable '
negative,'closer fine oh please'
negative,'closer fine okay'
negative,'closer mydreamz oooooooooh i m hungry '
positive,'closetambitions yep'
positive,'closetgeekshow i m sorry'
negative,'closetolove unfortunately not i live in italy and i couldn t go did you go '
positive,'closson sorted your tf account '
positive,'clostar afternoon how s revision going '
negative,'clostar every year'
negative,'clostar i m so so tired'
positive,'clostar mmmm wine yeahhh i think the sun has put me in the mood for white tonight '
positive,'babypea hang in there'
positive,'babyphat http twitpic com qrz no surprise that you look beautiful even while in labor fabulosity what a blessing to h '
negative,'babyphatqueen thats crazy '
positive,'babypianist first you have to get the first kiss'
negative,'babyping yes i want join u shopping but i live too far los angles '
negative,'babyporridge a few weeks back i failed at making a good play doh plane for my y o cousin '
negative,'babypotbelly western s gone hospital was crazy competitive this yr i dnt know if any metro will make rd rnd where s the comm '
positive,'babyrabies thanks i ll take a look clothdiapers'
negative,'babysaffy boo well its nearly the wkend '
positive,'babysag hi take a look in my shop for some ideas www kmtgraphicdesign etsy com '
positive,'babyscratch come on ma'
positive,'babyscratch ha ha fa realz gotta meet up wit the homies in begas real soon'
negative,'babyscratch i want tamales tooo '
negative,'babyshane dude chelseylately is fing hilarious i missed her show tonight cause i m in the bay but that joke was everything '
negative,'babysinead ugh i ve got one too '
negative,'babysitter k i m really going to bed now'
positive,'babysitterdirec i was one of kids we didn t go on many holidays there was too much to organize lol '
positive,'babyspadez so go make us breakfast what you waiting for '
negative,'babystowz yo wats up how u doin day u havnt answerd any of my replys '
positive,'babystray i know one of my fav songs wen he sings it '
negative,'babyswags lol im assuming its that bad '
positive,'babythebear i love you '
negative,'babyvanessa heyy sweetie how re you well i am so sick x'
positive,'babyvibenancy hi nancy your fine till it the baby moves just get out of the house amp do fun stuff early the hardest jump was to '
negative,'babyvtec it hates being in a ponytail so much so it snaps the bands i go through two or three a day '
positive,'babyvtec lol that s what hubby s are there for'
negative,'babyvtec oh no'
negative,'babyxcakes i dunno but we ended up goin to west moor my old job '
positive,'babyxshark breathe '
