@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'mirandaftselena rt davidsimnsez mirandaftselena happy birthday '
positive,'giizeemkoc adam olmayanlarla konusmak nıyee '
positive,'ilyaskadimli rt m s an la ya maz lar\n yalıda oturabilecekken kirada yaşamayı\n kefen parasından davası için vazgeçmeyi\n konyada doğup kenyada ölmeyi '
negative,'denizhoca rt sonkitaplar deniz yengin in yazdığı yeni medya ve dokunmatik toplum kitabı derin yayınları ndan çıktı fiyat lira http t co p '
positive,'kisacamey eekrlr takipte ediyoruz bakıyorumda '
positive,'musicandmiley durgutaysen çünkü sen malsın'
negative,'tweetmafyasi rt byfingers magazin gazetecileri derneği çıkışında ünlü sanatçıların sorularını yanıtsız bırakan basın mensupları ayrı ayrı araçlarla me '
negative,'mutlu rt rt ferfecirsensin yaralı bırakmayacaksın öldüreceksin '
positive,'fxckyasmine bam'
positive,'mylovebitches destekledi̇ği̇ni̇z bi̇ çi̇ft var mi '
negative,'smsmyytn rt emrregungor sevgili kızlarımız yarın karne almaya gideceksiniz teyzenizin kızının düğününe degil kafanıza sim sürüp gelmeyin okula tşk '
positive,'demirkul m rt yenergunes fenerbahçeliler ekran başına nasılyani başladı umit zileli ve gfeyman ın konukları av ali rıza dizdar ile avfaik '
positive,'ates fahri rt seloonn kac zaman oldu ben hala gittiğine inanmadim'
positive,'cagdasbosdan arkadaşım '
positive,'beyazkale oğlumla birlikte keyif ve merakla izliyoruz '
positive,'fatimakotil işaşhaydarbaş işaşhaydarbaş işaşhaydarbaş işaşhaydarbaş işaşhaydarbaş işaşhaydarbaş işaşhaydarbaş işaşhaydarbaş işaşhaydarbaş '
positive,'gs gokhan ibrahimseten picpepe bilemedin birinden biri onursuz haysiyetsz ama kim '
positive,'ajanskamu zihnicakir gezici profa müsteşarlık payesi mi http t co xary wo un'
negative,'esmeerk yeni yabancı dost olurmu sence birbirine '
positive,'voleybolmagazin temsilcilerimizin avrupa kupalarında aldığı sonuçlar http t co flhqie li '
positive,'nejdetergun bana yol vermeyi düşünmeden önce sana yol verdiğim yolda yürümeyi öğren '
negative,'aley gülüşünü ayrı kendisini ayrı seviyorum '
positive,'gokcecng baytaring evet insallah sagol veto beycigim seni de bilgilendirezegim'
positive,'yaprakmertekk pes oynamayi bilmeyen kubi onlayn misjsnsksnjwwmsm'
positive,'karam şimdi takip zamanıda neyi takip edicemi şaşırdım basıyom rte fava arada kaynayanlar kusura bakmayın '
positive,'cukurlufatma rt enigmafatma suriye de namazlar artık vakit sabah öğle cenaze ikindi akşam yatsı '
positive,'salinhoo i̇stifa ediyormuşum gibi çek http t co y rhqov '
positive,'ihsan unlu rt mehmetbaransu ay önce akpdeki istifaları nasıl öngörmüş olabilecegimi unutmuş bu yalancılar '
positive,'gunayaslihan takipedenitakipederim semi̇hvaroltayfailekeyiflitakip seri̇i̇ taki̇pp\n\ngeri̇ taki̇p var geri̇ taki̇pp'
positive,'mahmut rt bilalkarabulutt bir akademisyen olarak anladımki elleri nasırlı bir çiftçi yada mavi yakalı bir işçi sözde entelektüellerden çok daha '
positive,'selinsidelya rt cann nefes aldığını bildiğimiz dostların var oluşu bile huzur verir insana '
positive,'pinarkl sanırım çok sıkıcıı bi akşamm'
positive,'leylatrf kayipkentli saat uzaklıkta çig köftem diye bi yer var ordan'
positive,'baygansalla butik oteller burasıneresi özgürlük heykeli new york a b d'
positive,'sevgisevdasevgi butik oteller burasıneresi özgürlük heykeli new york a b d'
negative,'laflancik butik oteller burasıneresi özgürlük heykeli new york a b d'
positive,'tweettyy rt canberkozer uslu bir çiğköfteci olursan sende bir gün i̇brahim tatlıses i görebilirsin '
positive,'yinekapatma rt muhammeduurkara tek ümmet tek bayrak tek devlet raşi̇di̇ hi̇lafet suskunluki̇hanettir'
positive,'kenankartum her ne olursa olsun hiç bir savaşın getirisi beşeri hasarı telafi edemez '
negative,'cubbelitwithoca rt kbbsmile artık gebersende umrumda olmaz'
negative,'selen rt katreimatem asılkumpas yapılck işler tamamlanmış gibi rahat ve rehavete düşmek nekadar tehlikeliyse kuvve i maneviyeyi kırmak da o '
positive,'ag ajans rt braveheart ybelensay doğrudur inanırım bende okuyorum pek yazmıyorum o konular hakkında bu durumlardan çıkabilmenin tek yolu '
negative,'busegidici rt alpsaitjanjan mehmethalitk kankam için seçimöncesibedelli̇müjdesi istiyorum '
positive,'halilozturkci warex halilozturkci bunyamin karakas la tanis http t co v ue xlfg lt konferansda da böyle yapacaklar değil mi '
positive,'justinhasalways ağladın her saniye daha çok yanında olucam sen hayata inanmamı sağlayan tek insansın beliebersarealwayshereforjustin http t co f milqgwu '
positive,'ayseloji sarıldaktan sona üstüne sinen kokusu der susarım'
positive,'neverloves rt iclalaydin i̇nsanın işi kalbini kıranlarla oyalanmak değil kırılan yeri bulmaktır kalp kırılmaz kırılan egodur onurdur gururdur diy '
positive,'ylmaz kl rt engintuna osman hocam mart seninle bahar bir başka olacak dikdurosmanhoca vanseninle'
positive,'neysepekii ya siz baskalarının kıyafetlerine bakcağınıza kendi kişiliğinize baksanız '
positive,'filiz fenerli eydaa '
positive,'iremipekbayrak rt seytanas hee hep iyiliğinizden kaybediyosunuz '
positive,'cemalsezer rt clickbomb allah suriye de bu kan ı döken ve ona destek veren tüm zalimleri kahhar ismi ile tecelli eder i̇nşallah http t co iulrm '
positive,'didemdemiray rt puccaa yemekten kalktim guya aramizda kalsin i izlerken yine yine yine canim ekmek arasi beyaz peynir yesil sogan falan istedi '
positive,'tugbapolatt rt hergunyenibilg bir insanı her zaman canlı ve heyecanlı tutabilecek unsur sevilen iş kötü gün dostu eş vefalı arkadaşlar '
positive,'grkmbsllr e okulda hesabım yoktur adıma açılan tüm hesaplar fake'
positive,'rtecantr rt gizliarsiv dün bitirelim derken bugün dost oldunuz niye çünkü chp kim memleket ve millet aleyhinde ise onun yanındadır diye http '
positive,'busbusozturk hiç bi zararı yok'
positive,'zeynepben takipci kazan ile takipci aninda hediye http t co g rknmobbt takipedenitakipederim'
positive,'sedakozan simaya sarkı soyluyorum sesı mesaj whatsaap dd '
positive,'symbak bazen sevgilimin yanında küçük bir kız çoçugu gibi olmayı seviyorum oda seviyo biliyorum '
positive,'dilarataknsoy rt condalton bazen hayat çok aynen '
positive,'olurolmaz emeklicariye pırlanta mi kaplı acaba'
positive,'mneozdiraz benimsin işte daha ötesi olabilir mi '
negative,'okaraayvaz rt sosyalpencere tarık toros ay önce ihbar edilen rüşvet çarkında dönen kutu kutu dolarları nasıl izah ediyorsunuz asılkumpas http '
positive,'ademircian bedellistiyoruz seçimöncesibedelli̇müjdesi http t co ixhg ttmhi '
positive,'ensonrt rt beyinteri akrep yerine göre sakin yerine göre deli dolu ama hep hayat dolusun '
positive,'tgct bu kadar şanssız olabilirim işte'
positive,'gulevizumit ukalacadi ilkeroul perizatgiray musar bende bi taraftan halkarenasi izliyorum oldukça güzel tavsiye ederim '
positive,'cerenmetin en güvendiğin kişinin gözündeki değerinin bile düşmüş oluşu '
positive,'meric hamza akpartiyidestekliyorumcünkü akp li basbakan kumarhane cikisinda yumruk yemedi henuz '
negative,'gozdekullac trabzoni̇syanda ben de isyandayım ama trabzon a hala gidemediğimden ötürü '
positive,'gunesibekleyeen rt ruhcinel aslında tek kusurumuz fazla hayal kurmak '
positive,'swagpiremsesi tek bir kadina ait olmayi goze alabildigin zaman erkek oluyorsun'
positive,'ogrenciyim ben yemin ederim eklemedim nerden cikariyosun gunahimin alma lütfen'
positive,'elif bedir yarin okulda ki kızlar ınsallah dugune gelir gibi gelmezler amk dd'
positive,'aksiyasihukukii güdülen amaç tartışmaısz ak parti hükümetını yıkmaktır dedi'
positive,'oquzhanakay rt numaraorg aziz yıldırım cumartesi günü kadın voleybol takımımızın vakıfbank ile oynayacağı maça gelenlerle de orada görüşürüz '
negative,'cantchangemee rt naberkankag anası mezar dikecekmiş diye bir ipucu cümlesiyle yetiştirilen insanların normal olmasını beklemek hata olur '
positive,'ilkim kado unluferhat tvnethaber ozelistihbarat paralel yapının mağdur ettiği tüm polis memurları ve diğer memurlar için geniş kapsml disiplin affı'
positive,'agac rt cb macpherson eski abd büyükelçileri çok sert bir yazı kaleme almışlar wp da erdoğan üzerine http t co lidjkdtzf'
