@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'chrisburdick thanks for the ff have a superlicious saturday '
positive,'chriscabrera go on www blurb com and then pick out the size and download the the device '
positive,'chriscanal how crap are we '
positive,'chriscandy ilivewithian thanks guys'
negative,'chriscarnall you are too kind amp very encouraging actually rather depressing seeing how little impact lots of hard work actually had '
positive,'chriscarroll in addition to catching up on the other stuff i ve ignored for days '
positive,'chriscat dopeeeness '
positive,'chriscataluna vegas niice it was pretty aweome but now its back to school p'
positive,'chriscathcart yes please'
positive,'chriscavallucci you just discovered that they have had it for over a year '
positive,'chriscavs happy b day ya old bastard '
positive,'chriscavs omg chris you have got to try the fried ginger ice cream at yosaku simply the best '
positive,'chriscavs what a beautiful day for a birthday happy b day chris '
negative,'chriscendana sorry chris i wish i could go but i m gonna be in indiana this weekend for a giggy gig gig i miss you tho'
positive,'chrischamcl itï s pm here iï m flattered'
positive,'chrischats twitter seems to be making the world smaller '
positive,'chrischeatham can you let me know what that service is when you find out sounds useful '
positive,'chrisclarkson thanks for the recap on who won chris '
negative,'chriscmuir kazito mixxalot to avoid crush with several other cars i took my car out of the street and hit some trees down hill '
positive,'chriscolfer link plz if there s a performance it s almost as good if you re saying the gang are tackling wicked'
positive,'chriscornell yogimusic petethorn wish you a great show tonight try a quot bratwurst quot with ketchup amp mustard and a quot radler quot beer yummy '
positive,'chriscornell billie jean baby aloha god bless hiya bro'
positive,'chriscornell don t worry it s awesome enough already that you let us have some sort of contact with you this way you re the best lt '
negative,'chriscornell glad you like it in ddorf it s super grey outside today though'
positive,'chriscornell hey'
positive,'chriscornell http twitpic com u gq that pic is awesome love it '
positive,'chriscornell http twitpic com foqs great gig sorry bout the slanty stage '
negative,'chriscornell i cant believe youll b here in portugal next month and i dont have any money now to go to lisbon and see you '
positive,'chriscornell i prefer the pink one actually '
positive,'chriscornell just checked out your hp hey'
negative,'chriscornell link not working '
positive,'chriscornell loved hearing preaching the end of the world'
positive,'chriscornell loving the hair by the way '
positive,'chriscornell man show last night was savage'
positive,'chriscornell of course it is you are in the flow happy full moon madness to you amp vickycornell see if you two can moon connect xo'
positive,'chriscornell see you in ten days at xtra '
positive,'chriscornell what does a french ghost say boo la la snort '
positive,'chriscornell will you go to scotland this summer '
negative,'chriscornell you re lucky we re getting snow '
negative,'chriscorrell speaking of which im watching the awards again right now as we speak but i still cant get my hands on the trailer '
positive,'chriscov i m contemplating listening to your advice but a bit busy today '
positive,'chriscuomo definitely something to be proud of '
positive,'chriscuomo do i see a monday morning miss next week '
positive,'chriscuomo do not do it i ve seen enough movies to quot know quot that something terrible will happen lol'
positive,'chriscuomo great pics enjoy the trip and safe travels but mostly enjoy '
negative,'chriscuomo hope she feels better soon not fun when the kids are sick '
positive,'chriscuomo i m in to christian bale'
positive,'chriscuomo kids are good for our soul'
positive,'chriscuomo pls tell bella congrats on her shoe and her bike i remember my st bike it was cerulean blue amp black from montgomerywards '
negative,'chriscuomo unfortunately '
positive,'chriscuomo yay made the flight woo hoo '
positive,'chriscuzzy now'
positive,'chriscuzzy go for it it sounds like a really good idea '
positive,'chriscuzzy hope everything slows down shortly take care and goodnight '
positive,'chriscuzzy nothing planned today come see me'
positive,'chriscuzzy so glad all went well aftersun cream and loads of it lol xx'
positive,'chriscuzzy someone wanted a quot cuzzy quot memorabilia '
negative,'chriscuzzy sorry you re up so ear y when you d rather be sleeping has your sunburned tanned over yet mine hasn t '
positive,'chriscuzzy what you said before sounded much more interesting less clear'
positive,'chriscuzzy you too '
negative,'chriscynical aw that is sweet i was glad too i still miss him like crazy weeks to go '
negative,'chrisdashrob poor baby i love you '
positive,'chrisdavis maybe if you were at home with me you would be in excellent shape '
positive,'chrisdawson thanks dude '
negative,'chrisdcox i m going to disown you you stopped tweeting '
positive,'chrisdelta but the plan is going to be aired this year also omg toaster brains '
negative,'chrisdevaney you changed your background harssshhh'
negative,'chrisdevaney i know its hard not to be '
negative,'chrisdispanurat i helllllla wanna watch up but i m broke '
negative,'chrisdjmoyles what happened to the live feed '
positive,'chrisdjmoyles hi chris big fan of the show only thinkg wrong with ya u support leeds o well'
positive,'chrisdjmoyles http bit ly mj z check this vid out you ll piss yourself laughin '
negative,'chrisdjmoyles ah its a lovely day but bbc weather lady tells me that it s not going to last is this true moyles above weather lady '
positive,'chrisdjmoyles enjoyed your extra half hour this morning was a great addition to jo s show'
negative,'chrisdjmoyles exaggerated or completely untrue i hope it s the nd'
negative,'chrisdjmoyles get some rage against the machine on the go perfect monday morning pitty i don t have a radio on my phone ipoo '
negative,'chrisdjmoyles have a great day chris im very very very jealous always wanted go silverstone for gran prix '
positive,'chrisdjmoyles hello chris did you know that the genuine amp validated cheggers is on twitter thekeithchegwin '
positive,'chrisdjmoyles hi chris i hope your goping to be updating your page as well today come on a talented chap like urself can keep accounts '
positive,'chrisdjmoyles http twitpic com bian that s not the fincham surely he s yummy whoever he is and you look lovely too chris '
negative,'chrisdjmoyles i feel zombified haha'
negative,'chrisdjmoyles i hate that my bodyclock wouldn t let me sleep any later '
negative,'chrisdjmoyles i have history and french gcses today '
negative,'chrisdjmoyles i live in singapore so listen to show day late it s monday for me now but video ruining gordon smart would be brilliant '
positive,'chrisdjmoyles i was then but i m not now mornin '
positive,'chrisdjmoyles i would put some money on him if i was you '
negative,'chrisdjmoyles i would say so after what has been said say it aint so '
negative,'chrisdjmoyles i m not excited as i live in wales '
positive,'chrisdjmoyles i m taking the kids to the park its hot and sunny here in scotland '
negative,'chrisdjmoyles jammy bugger'
negative,'chrisdjmoyles live feed is down so missing you '
negative,'chrisdjmoyles me too i don t wanna go to work pls don t make me '
positive,'chrisdjmoyles monday mornings may be rubbish'
negative,'chrisdjmoyles morning not good as it s my first day back at work after weeks of '
positive,'chrisdjmoyles moyles bono'
positive,'chrisdjmoyles nah chris'
negative,'chrisdjmoyles oh damn was last guess pleaseee tell me lol'
positive,'chrisdjmoyles please don t ever leave the breakfast show it s bad enough when you re off on holiday '
negative,'chrisdjmoyles please please please send my brother a birthday tweet forgot his present his tweet is benkelly '
negative,'chrisdjmoyles shame stoke is so far away from me '
negative,'chrisdjmoyles sorry to spoil it but he didn t this time '
positive,'chrisdjmoyles straight to the beer garden is it moyles '
positive,'chrisdjmoyles there s probably something more wrong with a sweaty person watching a sweaty person in pain lt gt '
negative,'chrisdjmoyles wow my red button doesn t work god dam rubbish digital tv switchover in a few weeks so reduced reception '
negative,'chrisdjmoyles wtf have brawn done tojjenson s car it s like he s trying to drive a shopping trolley '
negative,'chrisdowling it is the two part finale '
positive,'chrisdriggers yup'
negative,'chrisdude everywhere i look there is a conspiracy unfortunately '
positive,'chrisduhamel i can give you some cold weather if you give me some of that sunshine very cold here '
positive,'chrisduhamel it s an exciting fast paced game'
positive,'chrisduhamel yeah'
positive,'chrisdumas oh how cute'
positive,'chriseatworld nope i dont drink alcoholic beverages '
positive,'chriseatworld oh thanks you so much love it'
negative,'chrisefs haha defo love it gotta go back to work now tweet laters xx'
positive,'chrisefs u were right as always x'
negative,'chrisefs haha hello you x its raining here i bet its lovely there x'
negative,'chrisefs i tryed that the other day but they werent giving up what they were using '
negative,'chriselian lol yeah kathy pwnd my nuggets '
positive,'chriselrod you are such a kind man '
negative,'chrisemanuel sorry'
positive,'chrisettefan hhaha kewl dude but if u dont know amp he does have a reason well thats another story mhmhmh does he '
positive,'chriseyb i do believe that the color of jealousy is yellow '
positive,'chriseyb i hope you enjoy the cheesecake n cookies '
negative,'chriseyb ur lyin attention besides its ur bday '
negative,'chriseyb why is your alarm going off so early that stinks '
negative,'chrisfabbott what is it i can t open it '
positive,'chrisfabiguti i didn t watch it fortunately i was catching up re the swine flu news not that it really makes a big difference lol '
positive,'chrisfahey that s a good one yeah let s go with that explanation lol '
negative,'chrisfarber damn sorry to hear that '
positive,'chrisferan thanks and you re right technically i ve been for half an hour '
positive,'chrisfl http twitpic com qi do we get a clue as to where here is '
negative,'chrisfocus quot the most interesting man alive quot lol nigga i played hands last night i passed out and woke up gas '
positive,'chrisfoley thank you fascinating btw'
positive,'chrisfontes i m impressed that you noticed '
