@relation training_data

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'nlblsk rt pear supitchaya เริ มปีใหม กับสิ งใหม ๆแต ใจเหมือนเดิม พวกเราจะขอเป นเส นขนานที อยู เคียงข างและไม ห างไกล happydewaonday dewmayer '
positive,'khunsor rt brown sucre ดูอีกทีก ชอบ คุณสามีกำมะลอที รัก นะ นางเอกเจอปัญหาดราม ามาก งานแต งล มมีผญ คนแย งเจ าบ าว แต นางมีสติ เพราะครอบครัวเ '
positive,'qthetiich anny โอ ยย กำลังซึ งกินใจ หาเรื องโดนซะละ '
positive,'luvlymimi ploylilith เรื องต อไป ชานไคใสๆแน นอน ขอเสร จเรื องที มีก อน'
positive,'richart miyer rt armmatichon พบกล องขนาดเล กติดด านหน ามอเตอร ไซด และวิทยุสื อสารของผู ต องหา มีชื อเขียนว า ดาบติ แกนนำเก บไว ตรวจอีกครั ง http t '
positive,'chanya ip มีความคิดจะลด นน แต ตอนเย นกูชวนแม กินชาบู คงจะผอม ขอวันสุดท าย พูดทั งปี'
positive,'pxfam px lh มาสเรียนหนัก มาสการบ านเยอะมากเลย ล ะก ขี เกียจเข าไลน ด วย '
positive,'numwhanpantita rt mutmeethimpiga อวยพรพี กันหน อย ขออำนาจสิ งศักดิ ทั งหลาย จงดลบันดาลให พี อาบน ำสระผมบ อยๆ กากให น อยลง แต น ารักแบบนี ไปนานๆนะคะ '
positive,'ryuhollow kuramaza แหม xd ก อดกับโดมอนร างทอง'
positive,'rayyachalala rt mayjunhyuk check ซื อลิปบาล ม อัน ได รูปแรนด อมลายเซ นเมมเบอร ใบ แบบสุ ม คน http t co xwpjppbvu'
negative,'flukepirchfluke rt guplia อยากพิงไหล ใครสักคน แล วปล อยความวุ นวายในหัวออกไป feeling ปวดไปหมด'
negative,'pronwapee rt nattaboat สักวันนึงนะ กูจะซื อภาคอีสานไปไว ภาคใต ฝนไม ค อยจะตกเลยแห งแล งมาก'
positive,'munticha akito nuol ehw ไม รุ สึกตัวอ ะ ขยับหัวหนังสือร วงลงมาครึ กๆ หยั บๆๆ'
