@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'landei zwergkaniinchen du bist die linke oder '
positive,'abh silber ahaus antik sehr schön detailliert für liebhaber http t co fc tyi ab'
positive,'merte rt uweness das öl zeitalter der wahre motor der tragischen geschichte des jahrhunderts phoenix https t co ebrdzmcdnq erdöl '
positive,'pueppi ich liebe motorräder d irgendwann hab ich auch mal ein fs für ein bike und wenn es mit j ist lach http t co r p mixia'
positive,'josieschultz i need buffalo wild wings'
positive,'hussein m heba من زمان '
negative,'bluetrudezwei akatenbush はいそうですねー'
positive,'lichaaderosas un tachero wachiturro'
positive,'friedrichshaink sport onlineshops eine übersicht der besten onlineshops im gesamt deutschsprachigem raum zum thema s http t co fp fsme jy'
positive,'richie b '
positive,'gomtischler ich habe goldmünzen gesammelt http t co r jucbmjfy android androidgames gameinsight'
positive,'iblog news logitech powershell für in den usa für in deutschland http t co uuns xo '
positive,'bbrandtnero matstrolz na geh bitte michelreimon nicht wieder negativ kampagnen auf twitter liegt mir von nrw noch im magen gt övp spö usw '
positive,'ll tweet babasaadhb so wie traum aus dem libanon oder um uns herum mit jochen auch wenn dafür hoffentlich nichts schlimmes passieren muss peace'
positive,'superrika fckninsomniac kann ich nur unterschreiben '
positive,'macinthemiddle redtube gericht erklärt eigene entscheidung für falsch öh ha http t co umg qx ch via sz'
positive,'tsogtmatt uria b hehe yunch uurtuu itgeltein lol'
positive,'isiilabert iwieisa sicher '
positive,'avontheatrebaby bieberbucksnl ohmybieber thiis '
positive,'danielabenitez d'
positive,'verplantesetwas xsecretsense ja wahrscheinlich '
positive,'denisanimal sstephanie lt '
positive,'itselke anzen abahm '
positive,'deutschamwe bdg anmutige zahra danke dir süße '
positive,'niederrh in rt about sumosushi stolpern meine benachrichtigungen schon wieder über misdy ich drück mal auf folgen '
positive,'louisxhaferi michyeun du hast kann geschrieben glück gehabt uch seh auf fotos noch beschissener aus als ich es eh schon tu '
positive,'honeymale rt douniaslimani solltet ihr mein video mit sprinkleofglitr verpasst haben dann schaut doch hier vorbei gt http t co hx s fzp z '
positive,'biebeurh rt kidr uhl biebeurh stay strong '
positive,'maltegoetz lexluthorisrich wie ist denn dein username bei quizduell dann könnte man dich mal herausfordern '
positive,'freilieb js hs yeah 上千啊 '
negative,'mkren ichigopan ピンク '
positive,'trueffi chiefjudy ich fürchte das ist schon die nächste runde '
positive,'itzellrotter me desangro'
positive,'erizcha d bjuny lcu bgt ʃƪ '
positive,'beliebers swag drwuhlz scrr vc errou o user'
positive,'schomerus bauabzugssteuer freistellungsbescheinigungen jetzt überprüfen steuertipp http t co r x eisc g'
positive,'vongalma faz net sinkende beschäftigung jede dritte stelle in der solarindustrie ist weg http t co mdqffmsq r faz'
positive,'nordstadtradelt ich wette mit euch wäre andere fahrräder unterwegs gewesen hätte sofort irgendwer angehalten '
positive,'natrahlautner broken hearted'
positive,'fiyaes gerade noch in der schule gewesen und jetzt zuhause '
positive,'sternverdunkler rt knabberkeks lieb dich ist nicht das gleiche wie ich liebe dich weil fick dich ist ja auch nicht das gleiche wie ich ficke '
positive,'florianbrill so sieht übrigens der winter in hamburg aus lt http t co d r xtjlci'
positive,'planetinspace rt inuido der kompass wird seit von piraten gemacht bringt parteithemen aber unabhängig das hat auch was mit freier presse zu tun '
positive,'zbanum gslion hayirr sinav deil second interview birdhunterbh gs che ssozen '
positive,'nskd eighter 拡散ありがとうー '
positive,'tenderise de ojeu notice aalen fotokopier und offsetdruckgeräte stadt aalen lieferung und einrichtung von http t co nuqr jboj'
positive,'menschwert es ist besser unvollkommene entscheidungen durchzuführen als nach vollkommenen zu suchen die es niemals geben wird charles de gaulle '
positive,'mic pla ich sammelte ein kannst du das besser http t co vdd xnbf androidgames gameinsight android'
positive,'funstart zinsgünstige kredite sofort seriös kredit finanzierung online http t co yzq ufgax'
positive,'flyingterra ich hätte gerne mehr schlaf '
positive,'mxoverhere im waiting '
positive,'norbertkunder selbsthilfe gegen drogenkartell mexiko legalisiert bürgerwehren im mexikanischen bundesstaat michoacán dürfe http t co zyifihgkl'
positive,'drescher ich habe im spiel the tribez für android die mission der häupt abgeschlossen http t co mekr xxv r androidgames gameinsight'
positive,'sinaanina mybeautyblog hat s dich auch erwischt muss auch gleich zum doc '
positive,'bsdodih charge '
positive,'lambachinfokus interview mit dieter nuhr ich lebe im ständigen shitstorm http t co nx hzxgia '
positive,'tenderise de ojeu notice hessisch oldendorf medizinische geräte bdk klinik hessisch oldendorf neubau von i http t co umwhqqod z'
positive,'hbachstein ich habe goldmünzen gesammelt http t co gawnhpac android androidgames gameinsight'
