@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
negative,'fuck man i hate this o work suckss '
negative,'fuck you'
negative,'fuck'
negative,'fuck i am an ugly person '
positive,'fucking rur mom'
positive,'fwd good morn'
negative,'gah so much less ok than i was trying to tell myself i was '
negative,'gcse s clearly suck '
negative,'geez chelsea already scored against everton '
negative,'gerald lost a friend idk what to say this is like day of crazy events '
negative,'getting quot goodbye quot e mails from iran iranelection'
positive,'getting a mani pedi with the husband '
positive,'getting a webcam today '
negative,'getting ready to leave for spring city'
positive,'getting ready to watch the sprint cup boys try to tame the concrete monster mile hopefully tires won t be too much of an issue '
negative,'girls girls don t fight you both can have me there s enough to go around '
negative,'gnight my phone sucks bleh'
positive,'g night tweeties lt talk to you all in the am damesmash haha you have work in the am'
negative,'go away migraine you are not welcome '
negative,'go away rain '
positive,'go follow my personal twitter nikkidallasen'
positive,'go wings ftw '
positive,'god i m up early hayley still asleep but today is party day so i m getting stuff ready x'
positive,'going home to see my baby dont be ashamed of your faith '
positive,'going out for dinner with the family '
negative,'going to bed'
positive,'going to bed '
positive,'going to bed '
negative,'going to get piï a colada mix to wallow in my sorrows'
negative,'going to have such a bad day'
negative,'going to lay down fuck tonight'
positive,'going to london expo this weekend can t wait '
negative,'going to master classes without my car i miss you my vw '
positive,'goingg to sleep school '
negative,'gonna miss jesse mccartney s live stream from kiss concert cuz i have to babysit figures they dont have internet klfjhadsklfhk fml'
positive,'gonna wow for a bit later'
negative,'good luck '
positive,'good morning lovely '
positive,'good morning afternoon things will be great today '
positive,'only fe ff tommyblack djksly wordsmithmusic lt ff them tommy chi allday k sly fly juncity manhattan atl owww wordsmith fiyah '
positive,'pageoneresults online reality blogging amp tweets my life on the social media d list'
positive,'paul a smith ooh'
negative,'pj alexjreid s family friend who died is also my old art teacher very sad'
positive,'rabbitroodle i think i ve won the battle over the impending crud enjoy your drive this am'
positive,'rainboweffect crickey can t think that far ahead think getting to followers is pretty ambitious '
positive,'reidstott coffee keeps me running in fact'
positive,'remysoon'
negative,'saharabloom got off lazy bum and did chalean burn intervals i turned a fascinating shade of puce wondered where all the oxygen went '
positive,'samshafer i bookmarked it and will check it out after i get some sleep thanks sam '
negative,'shanedawson i m sad now i leave for hours and u didn t even miss me anywho um i still luv u and whats with getting a frozen turkey '
positive,'shannonherod quot it is always your next move quot napoleon hil http tr im mr u'
positive,'sonjatweet ur hot'
positive,'ssandall that s it removing bots is like weeding a garden not fun'
positive,'thenotoriousjen'
positive,'tjwriter hubby has briso on dvd i haven t seen it all yet but i enjoy it i saw army of darkness and evil dead because of hubs too '
positive,'toothfairyheavn what a considerate tooth fairy you are'
positive,'vangeest we are perfectly on schedule nobody is waisting time today don t mention the sun again dedicated audience'
positive,'yhf my twenties look'
negative,'ymptweet spiral galaxy but so badly no one does '
positive,'zaius if it weren t for unspeakable things'
positive,'bellacullen i ve been ok just got through crying with leah frowns at the thought we were talking about our dead fathers'
positive,'cooking '
positive,'ncis '
positive,'follower wow '
positive,'followers yay '
positive,'makee a wishhh lt goodnight'
positive,'i know what i m wishing for '
positive,'days until the jb concert in milan i m guarding my tickets '
negative,'days of this month left'
