@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
negative,'i need to study harder '
positive,'i needd coke reallyy bad p video ideass '
negative,'i overbaked the cheesecake brownies '
positive,'i presented my script to the production in class and they liked gt lt it s gonna be an interesting shooting '
negative,'i quite like baseball and bball oh and the odd gridiron match that a tiny tiny part of the worlds population calls football'
negative,'i really don t want to go to school'
negative,'i really liked max he was one of my favorites sytycd'
negative,'i really miss you you don t understand how much you really mean to me '
negative,'i really want to go to the katy perry concertt '
negative,'i really wanted her to win lol i kinda guessed diversity were gonna to win anyway '
negative,'i really wanted to meet you and the wonder girls good luck is there any way i can try out to be part of your company it s my dream '
positive,'i rocked summerrs dot dot curve shirt'
negative,'i run all out of people oh well that was a pretty successful hunt haha d now i need a bunch of people to add me so i have more victims '
positive,'i said it i like him teehheee'
negative,'i so dont have enough icon space on lj '
negative,'i so dont know what im doing on here its all so new'
negative,'i spent my sunday arvo'
negative,'i start working morrow there goes weeks of my summer'
negative,'i still cant get twitter on my phone it wont even take my number when i try to set it up '
negative,'i still get teary eyed when i see p s i love you'
negative,'i think he s cheating on me will post story on t t'
negative,'my show today at tavern on the green make music ny is canceled due to rain growl '
negative,'my sis left twilight at her fiances boo k thunderstorm waterfall it is goodnight'
negative,'my son s now in colombia until august i wont see him til then i miss my chu chu but im not going to iraq yesssss '
negative,'my thumb skin hurts coz its not there'
negative,'my thumbs hurt from cutting pappper '
negative,'my tummy hurts '
negative,'my tummy hurtsssss '
negative,'my tummy really hurts now oh noes'
negative,'my turtle food its starving im sorry'
negative,'my tv died tim '
positive,'my video is almost uploaded '
negative,'my video s being weird chuckmemondays chuck '
negative,'my wrists amp arms hurt '
negative,'need for speed high stakes doesn t work with compatibility mode on daamn you ea for making a good game thats to good to be truuuee'
negative,'net won t work'
negative,'never again '
negative,'never waking up late again missed an awesome dress t t'
negative,'new haircut'
negative,'new moon trailer not as awesome as i hoped '
negative,'new sandals were damaged in great fall yesterday '
positive,'nice song http bit ly icmv '
negative,'nick braun s twitter is being blocked i love him this sucks '
negative,'no quot the postal service quot on twitter '
negative,'no follow me'
negative,'no baseball today i hate the rain it is may right '
negative,'no b ball day gyms getting fixed'
negative,'no body will talk me cries '
negative,'no bonfire but maybe venice beach with steph or comedy club with sean'
negative,'no chance '
negative,'no dishwasher'
negative,'no job at target or party city plan c does anyone know how to make money without having to apply somewhere '
negative,'no mms on g iphone why does apple say its a hardware limit when jailbroken iphones can'
negative,'no more arrested development i am sad '
negative,'no naptime being dragged to dinner sigh sleep sounds so good '
negative,'no new anime releases tonight that i watch '
negative,'no new svu for months or so sniffs i m going to be so bored '
negative,'no one is updatinggggggg cry'
negative,'no one responded to my meetup for breakfast this morning at carls jr on nd'
negative,'no one stays up as late as i do '
negative,'no one to have dinner with '
negative,'no ones talkin to me my baby boyfriend is asleep d d im sad'
negative,'no otalia today'
negative,'no phone call'
negative,'no room for standby flight now i gotta be here for more hours '
negative,'no swimming today'
negative,'no they are not stupid changes why they did last year and not this year '
negative,'no transformers today my ride stood me up can u believe this crap'
negative,'no work or school'
negative,'i think i broke the heater '
positive,'i think i finally figured out how to twitter on my phone '
negative,'i think i have a cavity '
negative,'i think i pulled a nerve in my back putting together a shelf for bd would that be neuralgia '
negative,'i think i m going to be sick'
positive,'i think it would be fun'
negative,'i think i ve killed my laptop'
negative,'i think people get out of bed in the mornings wondering how they can piss me off '
positive,'i thought it would be like pm by now '
negative,'i thought we might see real greggutfeld tattoos redeye'
negative,'i told my dad i love him this morning and he just said bye '
negative,'i took the blame for everything that happened the other night part bc i don t want any in trouble'
negative,'i wake up to something i did not want to read '
negative,'i wanna be at encounter blah '
negative,'i wanna go sleep but i cant tear myself away from bb '
negative,'i wanna go home'
negative,'i wanna go to the apple store and get a free ipod from ryan leslie '
negative,'i wanna play dodgeball '
negative,'i wanna play scattergories at jean grae s left outttt '
positive,'i wanna write some reviews of films amp music releases'
negative,'i want my mcfly album back '
negative,'i want a fob tee '
negative,'i want a happy day'
negative,'i want a hug now '
negative,'i want a regular day'
negative,'i want all my friends back '
negative,'i want it back now http bit ly pp wz'
negative,'i want kisses'
negative,'i want linesvines and trying times now '
negative,'i want some change hos '
positive,'i want the sims soooo bad '
negative,'i want to go on facebook i can feel the notifications piling up i don t like it shit '
negative,'i want to puke they have stolen my blood ï '
negative,'i wanted the shiny shiny fa cup berba can go away now'
negative,'i wanted to go cinema '
negative,'i wanted to win but its allll good lol'
negative,'i was more interested in good python port for net rather than java re http ff im jg'
negative,'i was suppose to be mentality prepared for this but can t help it get to me'
negative,'i went to the store i woke up early and everything they didn t have it yet omg i am so beyond pissed right now '
negative,'i wish ruebluestar was online right now so i could talk to him before i have to leave hint hint '
negative,'i wish he would talk to me and have a real conversation '
negative,'i wish i could do somthing amazing no tallent that i know of apart from lame jokes'
negative,'i wish i could forget '
positive,'i wish i had my tablet pen c '
negative,'i wish i lived in atlanta'
negative,'i wish i wasn t on my way to work right now '
negative,'i wish my bestiebytch was here and not dead leaving me all alone rip amiee i hella miss her'
negative,'i wish my bf realized how great i was'
negative,'i wish my mom didn t cancel cable '
negative,'i wish someone was here to watch this movie with me sucks watching titanic alone haha depresing '
negative,'i offically dnt like eyeliner ughhh im so hungry '
negative,'i only min lunch break today stupid dead filing'
negative,'i really don t even know what todo '
negative,'i really don t like my new haircut it s too short '
negative,'i really need a hug'
positive,'i really wanna watch the david cook and archuleta concert sooo hott '
negative,'i sad right now '
positive,'i said i get a summer flu not the swine flu but now bilions of swineflu tweeters are following me '
positive,'i sang early tonight'
positive,'i see you babes follow my boy realtalk msmariag butterscotchbre cheeksgreatbarz'
negative,'i seem to have lost followers today should i take that personally am i really that boring '
negative,'i seriously hate this assignment sigh and i got no mood to do other assignments also coz i m worrying too much abt this one grrr '
positive,'i shine through my smile'
negative,'i shouldn t even bother watching the mmva s'
negative,'i so wish my head would sort itself out'
negative,'i spoke too soon '
negative,'i still can t make videos '
positive,'i think i did good in the math test i need to write nao words '
negative,'i think i have the handwriting of a little kid probably because i type so much and write so little http twitpic com ijsv'
negative,'i think i m developing an anger problem'
negative,'i think i m getting sicker everyday '
