@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
negative,'bgarnettlaw i m still afraid to upgrade the g '
negative,'bgarrett damn and morrow i could be up north in less than hrs why did i have get sick now and no cinco de mayo in vegas '
negative,'bgblogging sorry caught a nasty stomach flu last night been in bed all day will have to be next time '
positive,'bgbreyes oooo normal now hahah well i would hope so now that tax season is done lol so when we going on our trip hahah grabs my flips'
positive,'bgdtcoaching so how are you going to build your confidence today '
positive,'bgeek it s like that s fad for s prog rock bands to have an orchestra record their hits yet i still find myself wanting to hear it '
negative,'bgermainx my phone went swimmin wit me '
negative,'bgfilly yeah'
positive,'bggrice nice one bill gates will be working for you soon '
positive,'bgirlshorty sonfan lyfe and i will blow up his twitter until he steps up his ning game '
positive,'bgirlshorty i m coming to see you guys in houston first time for me yay '
negative,'bgirlshorty jealous'
positive,'bgirlshorty looking pimp in those jerseys hope ya ll had a blast '
positive,'bgirlshorty lucky hahah you all have fun '
negative,'belledame i don t understand why socialist is a dirty word in your country'
positive,'bellelumiere so i could just do my own thing without having to live up to any expectations '
negative,'bellemorda i miss you get back on soon '
negative,'bellentina but tix r so expensive boo'
positive,'belleonearth very sweet of you thank you yes i was lucky to have a beautiful dress that evening actually '
negative,'bellerenee i hope you feel better sick vacation the worst '
positive,'bellerissa we ll have to play catchup '
negative,'bellesimple belle i miss you soo much char drama pod tinuod bitao '
negative,'belleslife im spewing poh got out she was my favorite '
negative,'belletragique i wish we would hang out like we used to '
negative,'belletrist aaawwwww hug hopefully the experiment turns out better asap snap '
positive,'bellewedding also my services are super affordable '
positive,'belliestobabies i have two too i just don t know how people survive winter without jungle gyms at home '
positive,'bellissimatina you can do it '
negative,'belllareow yes '
positive,'belllareow yes'
negative,'belllareow aww'
negative,'belllareow awwwwwwwwwwwh belllakins what s wrong '
negative,'belllareow i dont think i am i wrote back to all the texts i got from you though babe ilyyyy'
positive,'belllareow it was so so so amazing '
positive,'belllareow nooo'
positive,'belllareow woo yahhh i cant wait to see you guys again at swaysway it shall be epic misssyouuu too pirncess ball was heaps fun '
positive,'bellowbelle or you could just get rid of if since i haven t seen it in two years and you need to make space '
positive,'bells you do i love surprises '
negative,'bells never been to the usa before it would be great to the cruise tour next year whatever it is its gonna be a blast'
negative,'bellscullen im so bored '
negative,'bellscullen wanna come hunting i feel i need to runs off think you can catch me ooc my hand is hurting bbl '
positive,'bellsyjayne oh me its the way we roll '
negative,'belltowncrime i hope it was the guy that attacked me in january in that area so he is put behind bars '
positive,'bellvsbell i wasn t recieving all my tweets tty tomorrow '
positive,'bellvsbell lmao'
positive,'bellware that s why they introduced replies i like discussion on twitter'
positive,'bellware well let me know when you start raising the flag and marching i m very sure few people will gather behind you pandamonial '
positive,'belly ur so sweet thanks sooo much foe the flowers miss u my orlando cupcake game thurs lovveee uu '
positive,'belly maternity tooth fairy is coming to ur house tonight '
negative,'bellysbride they are super expensive only want it for hollys room so want to keep it cheap'
negative,'bellz hey we re suppose to go to the gym later today '
positive,'belnbst or superpoke ur coworkers bf irl '
positive,'bgirlshorty wow'
negative,'bgirlshorty yay though hi has been raining '
positive,'bgkahuna ok'
negative,'bgleeson yes it sure looks nice outside too bad the office windows don t open enjoy your time here '
negative,'bgodwin awww pers feel better i miss u right now '
positive,'bgrantpaul heh once in a while mr years old gets a hold of my twitter account '
positive,'bgrapes i m on at work all day'
negative,'bgreennicole i really want to see transformers tonight too bad i have class early tomorrow boooooo'
negative,'bgreentwe lol nothin forreal i guess imma b eatin pizza bolis '
positive,'bgstrowger also please note that as you had guests'
negative,'bgt why would i want a clone '
negative,'bhabb that s cool cubbies we only have a aaa team here in portland going to a game tomorrow '
positive,'bhaddad amp without my crucifix just imagine how many vampire attacks i would have suffered '
positive,'bhaddad or maybe abba that would be really great '
negative,'bhaddad thanks but i know it ll be worth it in the end '
positive,'bhaddqlamour you aree too dumb but i lovee yu lol amp diqqin it odee lt '
negative,'bhajk haha i m left with the rd posting as well finishing off sm questions today so i can start memorizing the points '
positive,'bhalash hmm build your own d game engine '
negative,'bhambo i thought it was stagged i suspected they were doing it for ratings '
negative,'bhangaleashish thoughtspeaks sania gone '
negative,'bhanks aww'
positive,'bhanowe got the steps already keknya sih bisa'
negative,'bhanowe i think its impossible'
negative,'bhanuadhyatmoko oooh really well'
positive,'bharat sharma i m working for assembly member jim beall'
negative,'bharathyellapu u r looking a job wasn t i the one supposed to ask that ques damn am nt jealous of u anymore '
negative,'bhargavkapadia aren t they always remember the college the private connection used to block everything good '
positive,'bhargavsaikia thanks'
negative,'bharrisn i dunno that adidas has that kinda marketing ability its a sad day '
negative,'bhartling http twitpic com i vu forgot to add my ewwww '
positive,'bharvey i love fishes cuz they re sooooo delicious '
positive,'bhas get something small like a quart or something '
positive,'bhaskar priya good news finally '
negative,'bhaswati m gettin so damn bored yaa i really dunno wot to do with this boredom '
positive,'bhaugh hrm'
negative,'bhaven'
positive,'bhavishya its got better in london village'
positive,'belolats cool now where to meet '
positive,'belolats wonder what happened to chigs'
negative,'belovedless i wanna go back to sleep damn job '
