@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'andreafiamberti mate'
negative,'andreafosho yes '
negative,'andreagillies exploitative quot sp quot it didnt work '
positive,'andreagillies of course you re right about triumph it just seems so empty when you need to struggle for the conquer every time '
negative,'andreagogofasho its really cool here im coming back for fathers day'
positive,'andreahamilton should stop by singapore and perform once again at the esplanade '
positive,'andreahgal allergies acting up'
positive,'andreaj i sent you a friend request from facebook '
positive,'andreaj well'
negative,'andreajijon iknow i feel like i m going back to homeroom tomorrow yoo was that u in a black car'
positive,'andreajo is that right you re over in palm springs guess you can see it on local news i m still watching game again can t get enuff'
negative,'andreakidd ouchies'
positive,'andreakobayashi it s the best cafe in asakusa tokyo very small but serves the best coffee '
positive,'andreakoeln heeey tonight is the night no sleeping like we do that at night loll '
positive,'amandafclark it is when you add the hammock '
negative,'amandafortier i am so happy with all the fun you are going to have and bummed i will not be there this year nhltweetup'
negative,'amandafortier ahhh yeah kinda i tweet from the berry'
positive,'amandafortier errr'
positive,'amandagcortez i ll do whatever i have to to make sure you are there tonight '
negative,'amandagore the post office thing is so frustrating isn t it my local is always packed and they ve just reduced saturday hours '
positive,'amandagravel i am good my friend just plugging away looks like you are keeping busy eh '
negative,'amandahaneline i wish least you have the beach option i m stuck in the desert i hate vegas '
negative,'amandahasbeen no'
positive,'amandahaven its okay if i do ill just send you a picture of my wrist '
positive,'amandahesser thanks i couldn t have done it without you '
positive,'amandahnk hey there amanda '
positive,'amandahol britains got talent just gets better every week '
negative,'amandahqtpie christy had her first death tonight on her shift '
negative,'amandahqtpie she answered dm sounded like a rough night '
positive,'amandahqtpie u mean love songs yeah it s the only one i have '
positive,'amandaingraham but how can you hold out now that you know that such totally awesome tweeps are here '
positive,'amandaisacult thanks it feels good to start the week off right '
negative,'amandaisaturd omg i know'
positive,'amandaisfiesty find a phone and contact me now thank you '
negative,'amandajansson do you wanna see the mcfly video that i talked about earlier danny up close i just wish it was me '
negative,'amandajoy why can t you sleep these days '
negative,'amandajoyevans unseentv it would ve been an awesome gig but i can barely speak chinese so i m screwed i wanna do the english part '
positive,'amandajoyevans why don t you just goto melbourne anyway '
positive,'amandakern i may get desperate enough to drive to altamonte but not yet '
negative,'amandalarae so true i couldn t even hear him when i saw him at the kop mall so many girls screaming '
negative,'amandalaur perk up buttercup '
positive,'amandalee yep emailed you back '
positive,'amandalee just sent you a reply email '
negative,'amandalee tried the vid says private '
positive,'amandaleeclark thanks right now it s a pure labour of love'
positive,'amandaleeclark thanks amanda that is really sweet of you i see you are an auntie like me '
negative,'amandaleena i would have liked to have been out on the beach today alas'
positive,'amandaleigh lol lets go yay for dipped cone lol'
positive,'amandaloveshbk guess that means randy will be keeping his title '
negative,'amandaloveshbk i understand needing money been out of work years '
positive,'andreakoeln i listen it right now so much fun no i just have to get it somehow'
negative,'andreakremer i d give it a try but i haven t seen it yet not sure when that might be rectified either time trv continuity probs rule '
negative,'andrealg you are soo lucky i am in hamilton visiting my parents and i only saw a single rainbow '
negative,'andrealmj hi andrea'
positive,'andreamaree haha you really are getting onto the iphone arent you hope i see many more twitters from you '
negative,'andreamariexoxo booo i got woken up early but the day is great anyway so hhiigghh p'
positive,'andreamariexoxo goodnight '
negative,'andreamate i seem to miss all the fun lately '
positive,'andreameyer you re very welcome yout tweets and insights make me happy and i hope the rest of the world can experience that '
negative,'andreamj i don t have a key to my pool '
negative,'andreamona it was today thanks for noticing '
negative,'andreamonique low blow'
positive,'andreamv thank you for your comment about my artwork have a lovely week '
positive,'andreanguyen jake ï hh jake ryan marry tracy d something'
negative,'andreanichole woo hoo cept i can t read for the rest of the day cause i have a killer headache '
positive,'andreanjos i can t wait to see it '
negative,'andreaonfod won t work for me either '
positive,'andreaonfod aww andrea'
positive,'andreaonfod right back atcha shirley '
negative,'andreaonfod yes '
negative,'andreaparsons ok i ll check it out'
negative,'andreapatola and danaledesma guys super sorry i couldn t go yesterday if it s any consolation i was stuck at home '
positive,'andreapetrou i think simon has been without a cigarette for three weeks now'
