@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'quot got love to kill quot juliette amp the licks julian wilson s section in stranger than fiction so amazing '
positive,'quot got that super soaker'
negative,'quot got the news today'
positive,'quot grandma just gave you the dirtiest look i ve ever seen in my life quot haha '
negative,'quot gravity is not always convenient quot mr donde lol i just dropped my phone but i thought of this saying '
positive,'quot ha ha quot to the premature psp go reveal sony must be up in arms also'
negative,'quot hahah your just jealous your not as thin as me you fat bitch'
negative,'quot lesbian'
positive,'quot mileycyrus i wanna perform with lady gaga one day quot my world would def be rocked '
negative,'quot thinking about school '
positive,'quot yer as beautiful as the joshua trees in palmdale as innocent as the babys getting kidnapped from their homes out there '
negative,'quot wikileaks is overloaded by global interest quot argh it s been overloaded for over an hour now '
negative,'quot lt monica gt tenk pãƒâ neophos'
negative,'quot quot doing some work quot quot facebook'
positive,'quot quot i m really glad you re in my life quot quot really how come quot quot because you re awesome and you don t judge me quot take notes friends '
positive,'quot begging'
positive,'quot it s such a perfect day quot '
positive,'quot aww'
positive,'quot mandyyjirouxx quot hi mandy you are really pretty i love the miley and mandy show write me back pls '
positive,'quot mileycyrus bugs do suck don t they yuck quot '
positive,'quot mileycyrus quot i love you write me back pls'
positive,'quot mileycyrus quot i vote for you '
negative,'quot mileycyrus quot you are the best i love you can you give me your e mail i want to write with you but i cant '
positive,'quot mom quot where are you that miley write with you i write to miley but miley never answered what am i to do that miley write with me '
positive,'quot patita quot via ronniebebop good morning star thx all the music amp props all these d â http blip fm sxqs'
positive,'quot tommcflythis is amazing i have been properly laughing in my room at this its great http bit ly cqmk quot i sent that to him haha '
negative,'quot years'
positive,'quot all over again quot sounds good '
positive,'quot quot is almost here http plurk com p x lui'
positive,'quot a day without laughter is a wasted day quot laughed alot to day success '
positive,'quot a faulty penis freaks me out lol quot thejlu '
positive,'quot a sound mind in a sound body quot anima sana in corpore sano'
negative,'quot a walk to remember quot made me cry it s so sad '
positive,'quot a well spent day brings happy sleep quot leonardo da vinci good night all'
negative,'quot ã thá c tráº em viá t nam cã n thua thã i lan vã lã o quot nghe ä au xã t quã '
positive,'quot ä t s like we actors have to become soulfish with ourselves to really do what we re doing now quot sandyyy sooo great '
positive,'quot â œtom looks like a hard ass and beckett looks like he has boobs quot meghan via inevermenttobrag i hate http tumblr com xiq q vj'
negative,'quot hairspray quot music is vastly overrated when you have to sing it four weekends straight '
positive,'quot hakuna matata quot it means no worries for the rest of your days '
positive,'quot hand shredded ass meat quot makes me glad to be a vegetarian http syndicated livejournal com engrishfunny html'
negative,'quot hangover quot was a good movie'
positive,'quot hangover quot was by far the funniest movie ever a must see '
negative,'quot har ghadi mujhe jiska nasha hai ek bewafaa hai quot this is my song today '
negative,'quot hardly home but always reppin quot back in sb '
negative,'quot have you found jesus quot quot i didn t know he was missing quot lmao '
positive,'quot having it all quot is babysitting for sick joey amp attending webinar at the same time now'
negative,'quot he beamed at the mention of your name quot fuck'
negative,'quot he has your finger'
positive,'quot he just do what he please quot mm'
positive,'quot he says his name is thank god for beef quot quot who is shia labeouf quot haha'
negative,'quot health care has already been gummed to death quot kevin baker p '
positive,'quot her name is wendy leonnard and her forecasts are extremely accurate quot hahaha david henrie is such a nerd on wizards '
positive,'quot here s another song for the radio quot '
positive,'quot hes everything to me'
positive,'quot he s just not that into you quot dvd was alright i love jennifer connelly brilliant amp gorgeous actress '
positive,'quot he s just not that into you quot sparked some good life advice and personal tales from my stepmom i feel much more enlightened '
positive,'quot he s just not that into you quot lt this movie '
negative,'quot he s the reason for the teardrops on my guitar'
positive,'quot hey jude'
positive,'quot hey girl hey how you doin girl quot hah'
positive,'quot hey ma if you could see me now'
positive,'quot hey there ollie it must be a day off in heaven for an angel like you to be amongst us quot omg squidoo is so polite '
positive,'quot hey'
positive,'quot hi i m ross from spotify quot hi ross '
positive,'quot his a super human moron quot haha twilight comentary '
positive,'quot his last name is bigwood quot i hope it s true quot haven t found out yet but still hoping '
positive,'quot history remembers only kings'
positive,'quot homa quot going on at home my parents th wedding anniversary on st so this is for that '
positive,'quot ã åÿã dã ysen ã zerine google earth quot re http ff im ss z'
negative,'quot acting stupid'
positive,'quot adverse side effects abnormal behavior quot damn i m out on the first one even before taking them '
negative,'quot after seven decades'
positive,'quot age is strictly a case of mind over matter if you don t mind'
positive,'quot ah'
positive,'quot all apps are up to date quot pfft want twitterrific now '
positive,'quot all that we are is the result of what we have thought quot buddah so think positive fabulous twitterverse '
positive,'quot all the rainbows in the sky start to weep'
positive,'quot all the small things quot about you just can t help but get my attention quot '
positive,'quot all those other girls'
negative,'quot all we can do is keep breathing quot invadã tu privacidad perdã n en serio i m so sorry '
positive,'quot all women become like their mothers that is their tragedy no man does that s his quot oscar wilde happy mother s day'
positive,'quot allah kareem quot album is out run to the stores and buy your copy now album is also available too at wassoufbook com congrats all '
negative,'quot already gone quot kelly clarkson '
positive,'quot alright'
positive,'quot am i on a way or am i there already quot typically my mind '
negative,'quot american pie quot is so funny its on da part where their goin da lake damn a commerical '
negative,'quot an existing connection was forcibly closed by the remote host quot doesn t sound to good '
negative,'quot and i breathe you into my heart and pray for the strength to stand today'
positive,'quot and i don t know how it gets better than this you take my hand and drag me headfirst fearless quot t swift '
negative,'quot and i miss you and i need you'
positive,'quot and iâ ll be there to hold your hand'
positive,'quot and i m clinging to the promise'
negative,'quot and in the end the love you take is equals to the love you make quot tadinho do justin '
positive,'quot and no it wont be pms rofl quot well i swear brittany it wont haha '
negative,'quot and now my mom and her friend are drinking greatt quot '
positive,'quot and now there s a gun quot such awesome lines this week '
positive,'quot and when i do the dishes i run the water very very very hot and then i fill the sink to the top with bubbles of soap quot '
positive,'still st regis foodie oh this is the asia tour http twitpic com h yz'
negative,'on deck mufuckassssss why i saw a cute chick today but she had ashy toes and corns on her pinky toe fuckeddd it up smh '
positive,'abortiontuesday will it catch on abortion please '
negative,'adamisarockstar b c america is stupid for not having adam on our top radio charts '
negative,'addictedto cursing'
negative,'addictedto the internet '
positive,'adiict bollywood my and my hubbie http tinyurl com pkn g'
positive,'adinarayanap welcome to twitter hope you enjoy the movie at my place '
positive,'ahbl princess jared almost ready for his closeup '
positive,'aion peeps next twitter milestone is followers i ll think of something else than posters to give away for then '
negative,'air france confirms captain amp one cabin crew of af have been identified hope they may have a swift journey home to their families '
negative,'air france my heart just breaks for those families bodies found'
negative,'air france i think they got abducted by aliens '
negative,'airfrace '
negative,'air france nothing yet'
negative,'ajax php just thinking about a concept of autorefresh varun chander made a mistake here '
positive,'ally ally haha '
negative,'amaaquentcr is making me feel old but'
positive,'ampache amdroid android musical bliss soon iron out the bugs and it will be amazing '
positive,'andyclemmensen bradiewebb shaundiviney andyclemmensen bradiewebb shaundiviney andyclemmensen '
positive,'andyclemmensen bradiewebb shaundiviney shortstack '
negative,'andyclemmensen damn it only works of it says somthing else '
positive,'andyclemmensen is my number one '
positive,'andyclemmensen is trendy get it'
positive,'andyhurleyday andyhurleyday andyhurleyday andyhurleyday andyhurleyday andyhurleyday andyhurleyday andyhurleyday andyhurleyday '
positive,'andyhurleyday bcz he s got the voice of an angel '
positive,'andyhurleyday rah rah rah shakes it '
negative,'api testing api doesn t work anymore '
negative,'apprentice kicks off and now the missus wants chocolate if it wasn t chucking it down i may have considered driving off to get some '
negative,'apprentice no way '
positive,'apprentice begining to feel like i want to eat chocolate now '
negative,'ashestoashes nooooo not chris omg i was almost crying with shaz '
positive,'askagent daphneun alcohol will only make it more fun '
negative,'asksteve did you consider lost business when removing krisflyer gold from the clubhouse welcome list my business is now going to united '
negative,'asot hours left '
positive,'asot awesome '
positive,'asot daniel kandi is tearing the roof off '
negative,'asot how much is the rocket ticket to the moon i can t find it online '
negative,'asot i duno how to work twitter haha '
positive,'asot interview time '
negative,'asot odd transition anyone know when the video should be up '
positive,'quot and you never ever let me in quot woooah i just love that song kelsey by metro station '
positive,'quot angels amp demons quot is my current most favorite movie of awesome just watched it with mami litadiarist amp aunt vincamiller '
positive,'quot anvil quot was just awesome and heart warming and it involved heavy metal '
positive,'quot any man who can drive safely while kissing a pretty girl is not giving the kiss the attention it deserves quot albert einstein '
positive,'quot anybody who says they don t is lyring quot kelly clarkson admits she pees in the shower and dares you to admit it too read it in a mag '
negative,'quot anyone wanna follow me out tonight very very depressed and lonely '
negative,'quot approaching quot would have made more sense than quot appear quot '
positive,'quot are you kidding you think chuck could afford her if she was a pro quot haha great line chuckmemondays chuckeu'
negative,'quot are you okay quot asked arkain quot that depends on what okay is quot replied gemma that part always gets me how do you feel about it '
positive,'quot arrange whatever pieces come your way quot virginia woolf h t to slade you re good at making me get over myself '
positive,'quot arsenic and old lace quot is on tv one of my favorite old movies i can t believe it so perfect for bewitching hour '
negative,'quot as soon as we receive these documents an admission decision can be made in as little as two weeks quot i should have taken act earlier '
negative,'quot as we go on we remember all the times we had together'
negative,'quot ask all your followers to follow peterfacinelli he has to reach '
positive,'quot at fedex destination facility elmsford'
positive,'quot at first i was afraid'
positive,'quot baby baby baby quot version belge '
positive,'quot bad words are a crutch'
negative,'quot battery in your leg quot by blur makes me feel sad now especially the live version thanks jessica '
negative,'quot battery fully charged quot '
positive,'quot battlefield quot by jordin sparks'
positive,'quot be mine forever'
positive,'quot be strong'
positive,'quot be yourself'
positive,'quot because i knew you i have been changed for good quot gotta love wicked i own some of the streamers they let off at the beginning of the show'
positive,'quot because there s no such thing as halfway crooks quot mile '
positive,'quot because you can t kill love quot gws e http plurk com p uine '
negative,'quot before the storm quot finished now it s quot burnin up quot '
positive,'quot being confident of this very thing'
positive,'quot hookah is the ghetto form of cigars quot i said that'
negative,'quot hope is a dream of a soul awake quot what am i doing up so early '
positive,'quot horses asshole quot hah my mom is the best '
negative,'quot house quot and holy moly'
positive,'quot how can we fight when im too busy loving you'
positive,'quot how do you like them apples quot is from the movie rio bravo good will hunting make a lot more sense now '
positive,'quot how do you send someone a mail message on this thing still trying to work it out quot lol '
positive,'quot how is this so thick quot you know what to say '
positive,'quot how old are you quot quot twenty seven quot quot i think it s ok that you aren t married yet quot thanks for the unsolicited approval'
positive,'quot how sweet it is to love someone'
positive,'quot how to be happy quot by susanmacd on mahalo'
positive,'quot how to clean your room in ten minutes quot http ping fm i oke emmarileysutton wonderful article '
positive,'quot how s it going quot a rhetorical question often asked without sincerity sincerely answering in great detail is quite an amusing response '
positive,'quot i am a vampire'
positive,'quot i am mclovin quot watching superbad '
positive,'quot i am on a hour champange diet quot sike i m still drinking kool aid '
negative,'quot i am parked diagonally in a parallel universe quot '
positive,'quot i believe that every human has a finite number of heart beats i don t intend to waste any of mine running around doing exercises quot '
positive,'quot i call everything i love redro don t i'
positive,'quot i can givee you anything but lovee quot daniel schuhmacher '
positive,'quot i can tell your future it is you giving me your number quot i know i know'
positive,'quot i cannot believe you have this song on your ipod quot haha '
negative,'quot i can t beeeeelieveeeee what i m feelin for you it s unusualllll quot i miss danity kane already '
positive,'quot i can t help it'
negative,'quot i can t take it any longer i though that we were stronger quot about someone who i thought loved me '
positive,'quot i choose to stand for my generatiooonn quot pick it up by the planetshakers is my perfect moodswitcher '
positive,'quot i don t care what a bitch think amp how a hoe feel cuz aint nay of you hoes payin my bills quot trina got me going this morning '
positive,'quot i don t know how to act cuz i lost my head i must be paranoid quot '
negative,'quot i don t know if i should smile because we are friends or cry because that s all we will ever be quot '
positive,'quot i don t know what i want'
positive,'asot the signing is awesome it s a beautiful day live trance is the best'
positive,'asot twitterers are dying down good more room for us to spam haha go simon '
positive,'asot wow quot hey boy hey girl quot mr sam is mashing the crap out of everything and owning the joint hardhardhard like much '
positive,'astd how do we take the astd comp model amp translate to globalization innovation transformation strategic enablement watch me '
negative,'asterisk meetme does not like me it just does not do what i want'
negative,'asylm haven t seen danneel or genevieve '
negative,'asylm i never knew there was a supernatural convention'
positive,'asylm i m converted i m a jared girl now '
negative,'asylm vids uploaded by zepinklady wtf the j s can t speak for longer than seconds w o fans screaming shut up i can t hear them '
positive,'atv bs just got back from bestbuy got the geforce gt '
positive,'auscert is anyone else spoiling their dinner by eating way too many free mentos mmmmm mentos '
negative,'badsex is when ur pussy is so dry it make the condom burn me rugs burn on ur dick aint fun '
negative,'badsex is when you delete there number out your phone b they leave your room '
negative,'barakatday barakatday barakatday i cant go to bed yet lol stupid myspazz wont let me read my message'
positive,'barcamphanoi with the two last sessions before going to beercamp '
positive,'barcampla looks geekier this time around '
negative,'bb freddie s voice is annoying me enjoying this series so far though '
negative,'bb is in danger of losing me as a viewer'
positive,'bb on e right now live feed idiots http tinyurl com novv c'
positive,'bbq for tea'
positive,'bbxxx yoscottie u shoulda spent less time sucking up robrominxxx speaking of which when did rob add the xxx me no likey porno '
positive,'bcm are any of you planning to keep posting to your twitter after the end of this subject just curious '
positive,'bea tech crash my bb is not working'
positive,'beijing good massage for you amp sexy girl amp real photo w beijing hi'
positive,'beijing good massage for you amp sexy girl amp real photo w beijing hi'
negative,'bfd fail with lots of seats unsold day of show buyers charged '
positive,'bgt i stavros wins i m finishing this bottle off although it may finish me first gt gt '
positive,'bgt grand rofl can t help it bit grandad out of time is hilarious lol good singing from the girl tho good performance '
positive,'bgt nites been pretty good so far most have been a bit dissapointing'
positive,'bgt come on susan boyle you hot mess '
negative,'bgt dcd seniors were good'
positive,'bgt flawless were good i want to see what diversity can come up with '
positive,'bgt haha for diversity l l screw you subo '
negative,'bgt i feel a bit sad for susan boyle now '
negative,'bgt i love grand'
negative,'bgt it s a shame that the dreambears won t get through '
negative,'bgt nice singer not as entertaining as stavros '
negative,'bgt not the best song for her '
positive,'bgt on the box soon'
negative,'bgt or stravros flatley all singers can pretty much sod off to x factor but i suspect a singer will win '
negative,'bgt quite an awkward moment'
negative,'bgt susan boyle diversity britain s got talent shaheen stavros flatley lt go away '
positive,'bgt that kid out of stavros flatley looks like chunk from the goonies '
negative,'bgt their ok but their not gonna win '
negative,'bgt why can t america s got talent be as good as bgt oh yeah'
positive,'bigfanfriday manishamusic'
negative,'biggup to vegas what happens in u'
positive,'bigupz to cbondemand for knowing how to cook '
negative,'bildungsstreik the demonstration against bd education will soon start everybody should go to it but i have to work '
negative,'bing is my new search engine i simply love it no more google '
positive,'bing is out www bing com bing love the video preview '
positive,'bingum com is offering free advertising to it s members for a limited time sign up and message me to get started '
positive,'blacksquadron hide i m already well hidden like a nerdy ninja'
negative,'blink tickets went on sale in phoenix each that is dollars more then new york tickets wtf markhoppus should look into this '
positive,'blog updated link in my profile if you want to check it out '
negative,'bmwland help hit by uninsured driver http tinyurl com ny pek'
positive,'boarding goodbye iad see ya in hours'
negative,'bonktown had some sweet time carbon shoes for euro would have been too big '
positive,'bookparty midnight est am gmt partners friends brain might not appreciate this '
negative,'bootcamp in the rain means cold on the skytrain why didn t i bring a sweater today on a plus note'
positive,'bradiewebb andyclemmensen shaundiviney shortstack bradiewebb andyclemmensen shaundiviney shortstack '
positive,'bradiewebb andyclemmensen shaundiviney ahhhhaahaha theyre in trending topics lt themm '
positive,'brazillovesmcfly and so do i '
negative,'bridgetoterabithia made me cry like a baby '
negative,'bringback my mom doing my laundry lol'
negative,'bringback our last night in miami jrock kofibaby mingdagazette bbc dream hmph i wasnt there i leftt i'
negative,'bringback yr n the most livest yrs from spotlite to flex shows to n older parties wen i ain t no anybody that died '
positive,'britneyspears another great video http bit ly whswz '
positive,'quot i don t like monday'
negative,'quot i don t listen to you much quot thanks sam b tch vindel i was driving today but i didn t see you running sorry'
positive,'quot i feel comfortable using legal jargon in everyday life i object quot elle woods lsat tomorrow '
positive,'quot i felt disturbed when titties were going up and down when he was running quot lmao oh the siblings are back '
negative,'quot i give it my heart my determination'
positive,'quot i got a lot to say to you'
positive,'quot i got bangs my hair is so now quot '
positive,'quot i guess we re gonna have to take control quot truer words never said thank you bobby brown via ghostbusters soundtrack '
positive,'quot i have a long list of things to say'
positive,'quot i haven t been pepper sprayed in an entire year quot line of the night sleeping until'
positive,'quot i haven t had meat in five years quot quot well'
positive,'quot i hear its wonderful in california quot '
positive,'quot i high your goodbyes'
negative,'quot i just want back go your head quot '
