@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'me too ugh '
negative,'medium season finale was tonight storm knocked out cable earlier when i was watching it finally finished it so upsetting '
negative,'meeks what a depressing day'
positive,'might be joining a band '
negative,'might not be able to go to cali maybe canada or shall i bribe my mom to go to london xd'
negative,'might not be able to go to cali maybe canada or sham i bribe my mom to go to london xd'
negative,'mike just called he has to stay and close the salon tonight '
positive,'miley your awesome '
negative,'miley s climb song just came on n the kid next to me singing it alound and her granny started singing it toooo help help '
negative,'miserable day today dont ask story might not be finished '
negative,'miss you boys hope we see us again soon and make party together '
negative,'missed my dads phone call'
negative,'missed the pearl jam tickets'
negative,'misses out of cats tonigggght'
negative,'misses her bby'
negative,'misses mak ani '
negative,'misses the rush of my birthday hates that im back to working and my vacation is up and is very upset that my fish died '
negative,'missing the read meet the team join the team http tinyurl com djlgrt'
negative,'mmmm any one out tomorrow wants to do something but has no money '
positive,'moday is the last day of skool only a half day '
negative,'mommy i wanna go hooome '
negative,'mom s leaving'
positive,'moncton this week sometime hope so gonna see my hunny'
positive,'monday monday'
negative,'more exams noooooooooo '
negative,'more storms god keep us safe refinnyj lt gt mat '
negative,'morning already '
positive,'mothers day'
negative,'mr twitter universe hasnt let me on for over a week now how am i supposed to vote '
negative,'muffins ruined cuz i used baking soda instead of powder by accident and now i want to cry but it s so dumb to cry about muffins '
negative,'mum and stephan are argueing noo'
positive,'music lt haha i need to get ready to walk to the grocery store a mile away oh and clean my house bbl to do more ff stuff '
negative,'must try to raise some funds to get better computer present one like me worn out also need a publisher literary ag http ow ly ejff'
negative,'must wait till wednesday for new phonogram can t wait'
negative,'my year old is taking care of the injured black cat in front of our house'
negative,'my yrold great gma died today but peace'
negative,'my ankle is sore '
negative,'my babe is super sick '
negative,'my baby kitty is going blind my charlotte why can t it be my stupid sister s cat why mine '
negative,'my backrounds not working'
negative,'my bday is almost over '
negative,'my bf left for this sea cadet thing yesterday'
negative,'watching ð ñ ð ð ñœñ ð ðµñ it s really sad '
negative,'watching jon amp kate quot news quot on e tv while on recumbent bike that amp msnbc not into j amp k but'
positive,'watching pushing daisies from last night love the quirkieness of it and lee pace is lush '
negative,'watching the news makes me loose faith in human kind '
negative,'we hurt my moms feelings '
positive,'we just got done role playing'
negative,'we lost but thats ok the series isn t over one more game but we had a really fun time now time to take meds and go to bed'
negative,'well if it makes you feel any better this drive is pretty lame o '
positive,'well i m going again in early july minus my mother get jaime to drive ya ll up here'
negative,'well me seeing you shall be arranged i don t care what i have to do '
positive,'well my might just got made'
negative,'well she is almost two mnths old and we haven t been to the dr about anything else'
negative,'well'
negative,'well'
negative,'well yes and i promised to go out tonight'
negative,'went to the library amp checked out no books for me guess i ll chip away at the mt everest sized stack next to my bed '
negative,'we re fighting he s frustrates me so damn much arghhh about to watch drag me to hell in this awkward silence how fun '
negative,'west indies lost now the final is between pakistan and sri lanka hope pakistan wins '
negative,'whahhh noo '
negative,'what a day i hope everyone is having a better day than me what a mess i seem to make on a daily basis '
positive,'what a great night '
