@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
negative,'andreatunes that makes two of us '
positive,'andreaurbanfox so all pierced and tattooed people are emos whats your problem girl '
positive,'andreaurbanfox good morning hun did you sleep well i didn t as usual '
negative,'andreawhoa awe that sucks i m sorry that you can t go '
negative,'andreawk you need a vacation '
positive,'andreawong nz as a matter of fact i did wifey loved it too you are an amayzeeng chef '
positive,'andreawong nz yep'
positive,'andreayager i am outside and near a plug no smell of fish at all '
negative,'andreayoas you re mean '
positive,'andrebernardo you like little boots too '
negative,'andrecs oh take it easy'
positive,'andredmm was on email later on web when they both started but not a web host or designer i like help creative people do great things'
positive,'andreeaberghea croatia is my favourite going there yearly for the past years going again this summer '
positive,'andreeannee no no no it s not near toronto omg you re soo stupid it s in belleville it is not in toronto and it s not near toronto '
negative,'andreeatea i know no i found it online lol '
positive,'andregidoin ex act ly '
negative,'andreicaaat aww damn i can watch your vid on my bb i feel lazy to go on my pc xd'
negative,'andreiiak how was disecting a frog fun you are so mean '
positive,'andrej jawein yes its keeping me busy right now will he pick you up in caloocan '
positive,'andrelennon me loves brazilian food good night '
positive,'andreleroux morning to you too how s everything'
negative,'andremachler no andrew i cant on wednsaday my mother arrives that day '
positive,'andremartin left long ago well i left france and stopped caring about what happened there'
positive,'andremartin cantonese too '
negative,'andrenavarro oldhat the hours were terrible mind you'
negative,'andrerib oh'
negative,'andresalanjaime from my understanding she was and i sooo agree with you on that but its all good'
negative,'andreslucero haha i hate that i miss twif live those two are so fun podcast later on isn t the same '
positive,'andretti stay away from mario good luck this w e'
negative,'andrevivian it s just gonna be the psp and a few exclusive games '
positive,'andrevr harryharley cool thanks glad i m still visible'
positive,'andrevr glad you liked it thanks for the compliments '
negative,'andrevr heh that i did although i m in a caffeine haze right now '
positive,'andrevr sorry an iphone app for too many naartjies ticklish beards '
positive,'andrevr you and me both except i love my electric blanket p'
negative,'andrew avery weird'
negative,'andrew avery hope i didn t provoke that '
negative,'andrew batman aww bye batman'
positive,'andrew burke awe thanks oh but i do no longer a high schooler as if last night college bound '
positive,'andrew dew you know im sure theres more people out there who think petras challenged'
negative,'brandynz well i think it s worth trying what beer do you like i wish i was out '
positive,'brandystrippers ha did you know you can vote for russell on mr twitterverse every minutes i would if i could xxx'
positive,'brandystrippers how are all you lovely ladies today well'
positive,'brandystrippers oh ive voted twice now i think its a brilliant idea altho i believe a mcfly gf is number coughs cheat coughs xx'
negative,'brandystrippers oh no oprah jumped in front again '
positive,'brandyvirtual omg hey '
negative,'brandywandlover dont want to talk about it babe wanna escape it all how much are flights to mars hows my girl xxxx'
negative,'brandywandlover pp is good'
positive,'brandywandlover haha aww bless'
negative,'brandywandlover i tried to have a nap earlier but everyone started mowing the lawns and it was too noisy yay i ll cook some for youu xx'
