@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'gt i think everyone should pitch in to my quot get me to iowa fund quot '
negative,'gt maths shoot me please '
negative,'gt outside'
positive,'gt gt excerpt from memoirs of a teenage amnesiac by gabrielle zevin '
negative,'gt gt gt iamjunelover lmaooooooo im not a good story teller like u'
negative,'gt gt gt rob rep nah im not goin '
positive,'gt gt gt the tweet them'
positive,'gt gt gt gt gt gt sweet as sin lt lt lt dope poet and gorgeous girlll make sure u show her some follow friday love '
negative,'gt gt and playing the zombie game round woow he is also upset becuase he had followers but can only find and one is a spam follower '
negative,'gt lt i ve been spacing out into nightmares all day i hate when this happens'
negative,'gt lt stomach has been giving me probs since last week and i thought it was juz a minor tingie apparently not '
negative,'gt faisalkapadia dozens of students are still missing in the cadet college kidnapping pakistan'
positive,'gt suchagoodgirl harthanson do you have anything special planned for the th episode amp will we be lucky enough to get a xmas episide '
negative,'gt and you let it go '
positive,'gt kingaussie for some unknown stupid reason the reason is'
positive,'gt waitinq for mii dad to qet back with breakfast lt '
positive,'gt yawn n stretch lt going back to bed for an hour '
positive,'lt is an international amp equal opportunity lover '
negative,'lt miles to go and of course i hit friday rush hour '
negative,'lt minutes from curb to gate including checkin immigration and security course the flight is late '
positive,'lt benni is our daddy gt '
positive,'lt fighting the nwo every day '
negative,'lt g bye second year old self am about to replace my patch '
negative,'lt hates web twitter btw'
negative,'lt i guess burrito lady doesn t go out in the rain '
negative,'lt is being ignored when she sends direct messages it seems '
negative,'lt is crying because the twilight saga audio cd that nicolewilson burned for me won t play in any of my cd players '
negative,'lt is sad he lost his soccer semi tonight maybe tomorrow or thurs will go better '
negative,'lt is very depressed '
negative,'lt just found out there was a blcs going on i m now listening to blcs'
negative,'lt likes to go out on this beautiful sunny day'
negative,'lt no more b day girl '
positive,'lt on the phone with my hannah cheesin '
negative,'squarespace i don t think i ll ever win this contest it is a total waste of my time '
negative,'squarespace i m risking a sick day to post this i need a phone for me and my girlfriend '
positive,'squarespace iphone contest come on baby come to me'
negative,'squarespace jailbreak for iphone'
negative,'squarespace my iphone hates me please give me a new one p s i lost all my phone number '
negative,'squarespace no international winners yet jumps up and down waving quot hello'
positive,'squarespace not long til bb '
positive,'squarespace please '
negative,'squarespace please make my week by choosing me i ve been running a high fever for days and the doctors can t find out what s wrong '
negative,'squarespace qtweeter won t work on jailbroken yet only thing that sucks about big iphone upgrades'
negative,'squarespace shoul dmaybe give me back my real cat she ll eat the iphone if they don t'
negative,'squarespace this is the last time i ask '
negative,'squarespace you broke my heart again today '
negative,'squarespace'
negative,'squarespace'
negative,'squarespace clearly the winner should be me because i ve had a lot of bad luck lately '
negative,'stark and i wouldnt be doing my show without the influence of ed mcmahon'
positive,'starplayer tonight '
positive,'startrek great movie '
positive,'startrek in minutes haven t acquired iphone g yet'
negative,'starwarsday leeds there is a may the th be with you celebration at fab cafe tonight'
positive,'stepupforms on this sunday support a good cause by sponsoring yours truly http bit ly rezut'
negative,'stopthebnp someone has to'
positive,'stuffwotimadeup contact big brother to be a bb voice and you will how fantastic'
positive,'stuffwotimadeup i m the gorilla playing in the air tonight on drums i m proud '
negative,'sushifriday i ve had sushi every day this week i think today will break the streak '
negative,'swineflu jumps to gt cases in vic'
negative,'swineflu now have one confirmed case in nc ugh '
negative,'t india bubbaiye wink wink '
positive,'techdays ca reg is near'
positive,'technight has a google group now to discuss what we should do in next technight'
negative,'tedindia apps opened yesterday btw amp they were supposed to announce tedglobal fellows ysterday'
positive,'tek attendees are expected to write a report on the conference next week and post it on their respective blogs '
positive,'tellmrtweet i recommend paddydonnelly because everyone he has ever met has had a drink with him '
negative,'terminator the sarah connor chronicles has been officially cancelled now '
positive,'tgif having coffee'
positive,'thaipbs '
positive,'theplan stop slacking get moving get to philly for a bbq and come back for more bbq '
positive,'therescue was a success '
negative,'thingsmummysaid you are the result of a broken condom '
positive,'thingsmummysaid quot you know you got that from mommy quot '
positive,'thingsmummysaid quot you wouldn t have chest pain if you don t smoke cigarettes quot '
positive,'thingsmummysaid i ll give you something to cry about '
negative,'thingsthathavebadtiming friends who finally tweet when i have to pick children up from school '
positive,'thisday in '
positive,'tipoftheday get in front of a lens if you want to now how your models feel while shooting them selfportrait but better other photog '
positive,'tnb howarewe on my first stella of the day feeling grand '
positive,'tokio hotel homepage in minutes are we all still alive yes yes '
positive,'tonys orlando la knotted at for those of you who love it all '
positive,'topbios mike wesely has a bio worth checking out '
negative,'torchsong seriously cursed getwellsoonjb et al '
negative,'trackle and squarespace you make me such a spammer '
negative,'traffic m anticlockwise jct stationary reports are jct amp i only got to avoid like the plague '
negative,'trainfail left min early cancelled next train '
positive,'traveltuesday guyngirltravels because their tweets are hilarious lol and they re great travelers '
positive,'travsummit still losing from susan boyle http bit ly hbv u '
positive,'treysongzmusicmonday if you dont know bout trey songz he the mike tyson of r amp b he sings amp raps get familiar '
negative,'trvsdjam morning twitter broadband has run out '
positive,'trvsdjam woo the mixtape is awesome '
positive,'ttl while this cabernet may seem soft to many'
positive,'tts what we will have for lunch '
positive,'turkish grand prix '
negative,'turnoff being on my period when i wanna get some i make it work'
negative,'turnoff lesbians stu deezy cant get it in'
negative,'turnoff lesbians stu deezy cant get it in'
positive,'turnons boys with a lot of tats '
negative,'tuwien library is closed today fallback position freihaus lab'
negative,'tweetdeck crashes way too much and seems to hog processor ram maybe it will run better on the gs '
negative,'tweetdeck for iphone keeps crashing now and again c mon guys'
negative,'tweetdeck keeps starting below my taskbar in vista moving it and closing it again doesn t fix the issue '
negative,'tweetdeck on iphone hanging underos when adding a follower to a group '
negative,'tweetdeck refuses to remember what messages i have marked as read every time i restart the application'
positive,'lt one of my role models growing up '
negative,'lt pants firmly attached to hips '
negative,'lt this is my face nick carter needs to make that shout out to me it was my pooh joke '
positive,'lt tired of elementary tricks on twitter this shit needa be unless u a celeb i m '
negative,'lt tres excited we bought a baby fig tree today richtersherbs no hibiscus or meyer lemons though '
negative,'lt upset'
positive,'lt va ï couter fires of rome '
positive,'lt lt just won the jbuck sweepstakes jbuckk'
negative,'lt lt planet terror lt lt pizza'
positive,'lt lt then get another later in the summer with money from work'
positive,'lt lt tummy s happy had beef noodle n some coconut flesh for desserts '
positive,'lt lt lt lt made up don tyouwish '
negative,'lt lt lt lt lt lt wishes she was in florida with tha norwood fam '
positive,'lt gone to the beach that is me amp brooke with birmingham in the rearview mirror '
positive,'lt it s stuff like that makes me happy to work for rocnation '
negative,'lt is enjoyin sum quality xtothev production as he considers how underwhelming so many of the female vocalists he s heard recently r '
positive,'lt amazinganne pk is h orip sup rnatural srsly thank you for everything just wanted to put that out there '
positive,'lt bradiewebbstack s new banner cuuutttee'
positive,'lt c u all tweeters lt going to c a movie '
negative,'lt elbow to bad pinkpop and lowlands are solded out i really wanted to go this year '
negative,'lt going shopping later after get a much needed nap alch orange pixy dead body '
negative,'lt jill scott'
negative,'lt json'
positive,'lt korn you guys are champions of the world '
positive,'lt lalala i m content this is fun '
positive,'lt lvatt must ve listened to the whole cd times already give or take doesn t get less exciting '
positive,'lt simultaneous sun and moon bathing '
positive,'lt the end of school year private art show my son does for just the family golden '
positive,'lt lt lt cody linely lt lt lt mother fucking cody linely he s so effing sexxii '
negative,'lt lt lt just watched a new episode of pushing daisies sooo happy it s back'
positive,'lt im in such a mcfly mood lol they are so amazing im listening to that girl right nowww'
positive,'lt maroon quot secret quot heehee wedding date scene s got me trippin slippin trrrippin oh how lovelyyy '
positive,'lt s franz ferdinand quot no'
positive,'lt happy mother s day to all out there that are mothers lt hope to join ya some day '
positive,'lt my mum swearing at the tom tom '
positive,'lt s justin timberlake '
positive,'lt ss hot korean boys any day '
negative,'lt bored to death '
negative,'lt feels overworked underpaid and unappreciated time a change '
negative,'tweetmeme won t let me change setting s are people still whitelisted to change tweetmeme to usernames '
positive,'tweezy in one of the edit rooms here at speed http twitpic com gk q'
positive,'twitcon all the blag sales people on twitter '
positive,'twithelp from imdennisthesex i m looking for the right song http tinyurl com p l s'
negative,'twitiq and safari a disastrous combination didn t need to relaunch safari so often '
negative,'twitter twitter please note that someone just sent me a character dm'
negative,'twitter died on me yesterday couldn t go on at allll '
negative,'twitterafterdark have you ever played naked twister i havent got to do this yet '
positive,'twitterchatsession love it'
