@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'quot sanity and happiness are an impossible combination quot so if we want to be happy we got to admit'
positive,'quot scuba steve damn you quot '
positive,'quot second chance quot by shinedown amp quot don t trust me quot by h amp quot migraine skank quot by gracious k '
positive,'quot second in line quot video online tuesday '
negative,'quot seek me and you will find me quot i can t find him what am i doing wrong this is frustrating i want to hold her again '
negative,'quot seperate multiple email addresses with commas'
positive,'quot i came to play quot now i m done'
positive,'quot i can taste you on my lips and smell you in my clothes quot that songs seems appropriate today '
positive,'quot i did not have sexual relations with that woman quot bill clinton hahahaha nightlightnicol great quote don t cha think '
positive,'quot i do it my way'
negative,'quot i do not like plastic grr so silly and bad for the world who is with me quot rob dyer'
positive,'quot i don t have the strength to stay away from you anymore quot twilight haha i wish someone would tell me that but ofcourse it won t happen'
negative,'quot i don t know what to do whenever you are near quot kaya tuloy di kita makilala nang mas husto'
negative,'quot i don t wanna see the end quot tomorrow will be great mcfly concert here we go gnight '
negative,'quot i don t want anything more than to see your face when you open the door quot missing you '
positive,'quot i eat therefore i am quot re tweet and fill in the gaps folks '
positive,'quot i feel better now'
positive,'quot i feel like i m playing scrabble of royalty quot bryan roush'
positive,'quot i feel no shame i m proud of i came from i was born and raised in the boondocks quot '
positive,'quot i got a feeling that tonight s gonna be a good night quot '
negative,'quot i grew up on the street'
negative,'quot i had a good day cause i didn t die or have to wait in any really long lines quot alas'
positive,'quot i had that dream about you again where i wait outside until you let me in and there i stay quot listening to blink makes me happy '
positive,'quot i had the best day with you'
positive,'quot i hear the roar of a big machine quot '
positive,'quot i killed my mother quot tonight at maison du cinã ma with alexiiiiina yeah '
positive,'quot i killed the lights killer quot britney spears '
positive,'quot i killied sirius black quot '
negative,'quot i know if i stay itll just cause more pain but i cant let u go quot veronicabal oh so true '
negative,'quot i know you re here but i still feel alone quot '
positive,'quot i like corny i m looking for corny in my life quot '
positive,'quot i like to think of jesus as a mischevious badger quot hahahaha '
negative,'quot i look at your photograph all the time these memories come back to life amp i don t mind quot i feel like you have been gone forever '
negative,'quot i love being burned by hot glue guns quot me quot why quot lyndsey quot idk quot me minutes later i get a severe nd degree burn from the hot glue gun '
positive,'quot i love knowledge i love thinkin fressshman fressshman quot pellericious math song '
positive,'quot i loveyou'
positive,'quot i may not have gone where i intended to go'
negative,'quot i miss you quot you aren t the same person '
negative,'quot i not need quot http twlol com tw v lol ichc cat still miss mine dang it '
positive,'quot i ready to hear you say who i am is quit enough quot new again '
positive,'quot i see you like herman dã ne and laura marling with good indie taste like that'
negative,'quot i stayed up half the night trying to install vista quot is not a reason for being tired that i ever wanted to give '
positive,'quot i survived a japanese game show quot premieres wednesday july th c abc '
negative,'quot i think i m headed for a big fall i think i m headed for a bad time quot rd day in a row of work '
negative,'quot i think i d feel better if i puked quot usually either means drunk or food poisoning'
positive,'quot i think she will like me quot maddison buzer about taylorswift quote of the day '
negative,'quot i think you should know this he s going to break up with you and i just had to tell you i m sorry i know you love him quot '
positive,'quot i vawnt to clean yer vindows surr quot quot i dont want my fucking windows cleaned quot pmsl i love des '
positive,'quot i wanna i wanna i wanna touch you'
