@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
negative,'i missed the new moon trailer '
positive,'omg its already o'
negative,'omgaga im sooo im gunna cry i ve been at this dentist since i was suposed just get a crown put on mins '
negative,'i think mi bf is cheating on me t t'
negative,'or i just worry too much '
positive,'juuuuuuuuuuuuuuuuussssst chillin '
negative,'sunny again work tomorrow tv tonight'
positive,'handed in my uniform today i miss you already'
positive,'hmmmm i wonder how she my number '
negative,'i must think about positive '
positive,'thanks to all the haters up in my face all day '
negative,'this weekend has sucked so far'
negative,'jb isnt showing in australia any more '
negative,'ok thats it you win '
negative,'lt this is the way i feel right now '
negative,'awhhe man i m completely useless rt now funny'
positive,'feeling strangely fine now i m gonna go listen to some semisonic to celebrate'
negative,'huge roll of thunder just now so scary '
negative,'i just cut my beard off it s only been growing for well over a year i m gonna start it over shaunamanu is happy in the meantime '
negative,'very sad about iran '
negative,'wompppp wompp'
positive,'you re the only one who can see this cause no one else is following me this is for you because you re pretty awesome'
negative,'lt sad level is i was writing a massive blog tweet on myspace and my comp shut down now it s all lost lays in fetal position '
negative,'headed to hospitol had to pull out of the golf tourny in rd place i think i re ripped something yeah that '
negative,'boring whats wrong with him please tell me '
negative,'can t be bothered i wish i could spend the rest of my life just sat here and going to gigs seriously '
negative,'feeeling like shit right now i really want to sleep'
positive,'goodbye exams'
negative,'i didn t realize it was that deep geez give a girl a warning atleast '
negative,'i hate it when any athlete appears to tear an acl on live television '
negative,'i miss you guys too i think i m wearing skinny jeans a cute sweater and heels not really sure what are you doing today'
negative,'meet your meat http bit ly ssci'
negative,'my horsie is moving on saturday morning '
negative,'no sat off need to work days a week '
negative,'really dont like doing my room its so boring sick of doing my wardrobe out cant waiit till i have my walk in one yay'
negative,'sox floyd was great'
negative,'times by like a million'
positive,'uploading pictures on friendster '
negative,'what type of a spaz downloads a virus my brother that s who msn is now fucked forever '
negative,'amp amp fightiin wiit the babes '
positive,'so i wrote something last week and i got a call from someone in the new york office http tumblr com xcn w o '
negative,'enough said '
positive,'do i need to even say it do i well'
positive,'health class what a joke '
positive,'ginaaa lt go to the show tonight'
negative,'spiral galaxy ymptweet it really makes me sad when i look at muslims reality now'
negative,'all time low shall be my motivation for the rest of the week '
negative,'and the entertainment is over'
negative,'another year of lakers that s neither magic nor fun '
negative,'baddest day eveer '
positive,'bathroom is clean now on to more enjoyable tasks '
positive,'boom boom pow'
negative,'but i m proud '
negative,'congrats to helio though'
negative,'david must be hospitalized for five days end of july palatine tonsils i will probably never see katie in concert '
negative,'friends are leaving me cause of this stupid love http bit ly zoxzc'
positive,'go give ur mom a hug right now http bit ly azfwv'
positive,'going to see harry sunday happiness '
negative,'hand quilting it is then '
negative,'hate u leysh t ar '
positive,'i always get what i want'
positive,'i bend backwards '
positive,'i get off work sooooon i miss cody booo haven t seen him in foreverr '
positive,'i hate allergies should i get my hair cut tomorrow i m taking a public poll '
negative,'i love you guys so much that it hurts http tumblr com xkh z us'
negative,'i miss earl'
negative,'i miss new jersey'
negative,'i missed the first hour of sytycd last night'
negative,'i need a u fix now '
negative,'i never thought i d become second choice '
negative,'i think i may be too friendly lol o well '
negative,'i think manuel my basil plant only has days to live '
negative,'i wanna be at home church i wonder wht they are doing '
negative,'i wanna make my own pizza'
negative,'i want a gb harddrive'
negative,'i want a hug'
negative,'i want miley to tour australia'
negative,'i wanted to sleep in this morning but a mean kid through a popsicle stick at me head i wish i could fly away like those squirrels'
negative,'i was too slow to get up tix'
negative,'i will send sunshine to northern ireland'
negative,'i wish i could go to t on the beach would be great to see shontelle layne amp danmerriweather '
negative,'i would be so much happier if the walls of my bedroom were painted white'
negative,'idk wat do who can i trust me im sorry all da pain i have caused nebody ima take dis time out straighten myself out i luv yall'
