@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'amandastratton okay it has to be john lo then i ll wait for him'
negative,'ashric if i m a course marshall does that mean i can t cheer for anyone during the race i guess not that will be hard '
positive,'ashrivas so what made is such a good experience '
positive,'ashsimpsonwentz petewentz aww cute happy anniversary you two '
positive,'ashsimpsonwentz petewentz happy anniversary you two are cute together '
positive,'ashsimpsonwentz hey how are you '
negative,'ashsimpsonwentz http twitpic com qwpn lol look at gogogansters page'
positive,'ashsimpsonwentz http twitpic com uzx haha'
negative,'ashsimpsonwentz http twitpic com pdzd thats just disrespectful not only to herself and body but to her dignity as well '
negative,'ashsimpsonwentz i miss the ash simp show '
positive,'ashsimpsonwentz this confused me a min haha then i realized u were talking about bronx '
negative,'ashsimpsonwentz oh so cute thank you for sharing i haven t heard much from you lately '
negative,'ashsnl they are giving away red velvet again '
negative,'ashsoprecious where were u didn t know u was gone '
negative,'ashsoprecious y i told u what happened fkn wit other ppl and got down there late aww sawwy '
positive,'ashtarte ahh i ll sort out the router this weekend if you like '
positive,'ashtarte just be your usual supportive self right now i m blasting music at my anxiety '
positive,'ashtastic xx i m online now '
positive,'ashthebeliever '
positive,'ashthebeliever ok thanks now i know yes i know seconds to mars and they are great marsiscoming secondstomars'
positive,'ashthemcflygirl getgibackinthelead http bit ly be nb lt vote for gio and post that to help get it into tending topics '
negative,'ashthemcflygirl lol xd shame man '
negative,'ashthon lol'
negative,'ashtonishing the most difficult thing to defend against '
negative,'ashtr braum s is awesome wish we had one here '
positive,'ashtr dude'
negative,'ashtroid i bet i m not doing that this evening i ll probably just stay in my hotel all day'
positive,'ashtsang ephix hahaha woo girl nice '
positive,'ashturp oioi beautiful hows you today i feel rough x x x'
positive,'ashtynvictoria agh i love those things i still eat them atleast once a month '
positive,'ashugreene '
positive,'ashugreene life is good '
positive,'ashugreene yah im happy also '
negative,'ashuhleyx i would but im getting a ride home with my friend and she only has her provisional lisence '
positive,'ashumittal twilightfairy wci hashtag simply isn t dying out anytime soon'
negative,'ashurbadaktu right there with you '
positive,'ashutosh gupta oh'
positive,'ashwack just letting you know i m on my way home '
positive,'ashwee thanks my little crazy child x'
negative,'ashweekay haha i know i was going to go but i don t know if i can handle a full day in a field on my feet prob going to wilkinsons'
negative,'ashwinj what is it surviving on then solar power '
negative,'artkids according to my wife it is time now to go shopping lol'
positive,'artlandis mys shaina weeeeee triangoli alle '
positive,'artlinkgallery thanks so much for followfriday '
negative,'artlovemusic nice it would ve been nice and no'
positive,'artmaker let me know when you re done i ll help promote it '
positive,'artmind got five stars from me '
negative,'artmind i understand i have to clean the bathroom too this morning '
positive,'artmind wow mitsy'
positive,'artnez oh gotcha actually i didnt had deep hierarchy so i was getting same result for both anyways thanks alot '
positive,'artnmeditation keep play the mozart '
positive,'artofasho amp shutup melissa'
negative,'artofdying any chance you might come back to moncton i had to miss the show tonight '
positive,'artoftalk my pleasure the site looks fantastic i think it s great your hosting a show i can t wait to see it '
negative,'artoholicanonms the hour ones have been turning to hour ones '
negative,'artonfire seriously oh my god i remember when spongebob premiered on snick we are so old '
negative,'artoni swindle could probably sell me that fanfic for a quot low low price i never noticed how many innuendos i actually use '
positive,'artpetty ha'
positive,'artransmitte no problem '
negative,'artric i suppose so '
negative,'artrockrebel damn i think i may cry myself to sleep tonight dude '
positive,'artrox hehe glad i could give you a giggle it goes with your avatar '
positive,'artrox these are great internet marketing tips we just need consistency in implementing the ideas presented '
positive,'artrudenko thank you for the followmonday '
positive,'artrudenko thanks '
positive,'artscapes yes it was about the dunes shot '
negative,'artsciencesound i wanna be adam watts '
negative,'artsychic thnx'
negative,'artsyliberal why aren t you feeling to good '
negative,'artsysfvibe mines didn t work '
positive,'artsysoul it was great to meet you face to face last night you are so sweet the magic of twitter works i loved your work talk soon '
negative,'arttherapy heal lol that is old haven t watched ncis for a while '
positive,'arturclancy '
negative,'arturferreira the threaded view of sms doesnt look like chatting it looks like flooding you have to scroll up to see the message '
positive,'arturot but i donot know spanish now'
negative,'artusof its a pain there is a known issue as its happening for all source parameters '
positive,'artvisions rainy sunday mornings are perfect enjoy your time starbucks '
positive,'artyjill i used to sell my prints but have been looking for someone to print my work so i can get more time on my art '
positive,'artykel so whats new with you any cool ideas and when are we gunna get up for coffee '
negative,'amandasue forealll me too '
negative,'amandasunly haha not fair i want to get a pair of nude heels still '
positive,'amandaswigert just texted you '
negative,'amandateaches dude i am sooooo sorry i missed your shower i am an asshole http myloc me zf'
positive,'amandaturner while i do like lb'
positive,'amandavega i m working on it thanks for the suggestion '
positive,'amandaviel good luck '
positive,'amandavp yea i will haha'
positive,'amandawadsley you re a spaz '
negative,'amandawadsley i thought it d go all gooey and like melted chocolate and yum'
positive,'amandawadsley what week do we go back on l loveeee you too '
positive,'amandawheel if this means what i think it means then good luck call me if you need help haha love you wheezy '
positive,'amandawight wine what a miracle worker '
negative,'amandawilk oh'
negative,'amandawormann rachellee everyone seems to be at work or too far away ps rach'
positive,'amandaxoxo omg'
negative,'amandaxrae spennynub i knooooow but i don t have showtime i don t have cable period '
negative,'amandaxrae he didn t steal me you both can use me '
negative,'amandaxrae missed the moment i guess babe heartbroken '
positive,'amanderz hope you re having an awesome time '
positive,'amandick i dyed mine too what color is yours '
negative,'amandinha come do it then omg i m gonna miss you so muchhhh '
positive,'amands sorry for late reply ha oh yeah wear civilian nlang gud hahaha and yah hey '
positive,'amanduhhhhh you can find them on bookmans com or on the same paper schedule in the store phx mesa are listed together '
positive,'amanduhmarshall your so dumb '
negative,'amanduhnicole aww i m sorry i feel like that happens to everyone that s why i m never changing my pic haha'
positive,'amandyyloulou why thankyou haha'
positive,'amani w heii amanii whaz up bug hug'
negative,'amanisfly lucky you i start at however'
positive,'amanisfly the same thing lol going out with someone special today '
positive,'amanofpeace all i know is i was told free concert park tuesday and likely cancellation due to storms '
positive,'amanofpeace hey'
positive,'amanoj taking to complete my mcsa '
negative,'amansharma having tea after facing a quot bad reality quot '
negative,'amara m huggles gently i m sorry '
positive,'amara m eloryj hugs and smoochies right back at both of ya '
negative,'amara m ack'
positive,'amara m do you have someone who can jump in if they fail to post because i could think of a theme in hours if needed '
negative,'amara m i usually prefer scott angel'
positive,'ashwinpande it s funny because it s true '
positive,'ashwins congrats on your new purchase i secretly only like the diy part '
positive,'ashworthedu there have a lot of changes in the past year it has only been weeks for me '
positive,'ashycats lol love that that s your first tweet '
positive,'ashyjonas haha ok'
negative,'ashylbowz oh foa real i didnt really keep up with what was going on too many diff storys n stuff hey wish he neva did it '
positive,'ashylbowz u tweeted yo self '
negative,'ashymae amp gadlikewhoa i need you both right now so much '
negative,'ashymon aww that s horrible one day i was cutting these green vegetable thingys for mam and there was tiny little things in them '
negative,'ashyswiftnas i tried but youtube doesn t accept windows movie maker either it sucks '
negative,'ashyyrawr lol its okay bummer tho who is your favourite '
positive,'asi sharabi was the coffee that strong '
positive,'asiabrands asian rocks lol let spread the asia brand via asiabrands '
positive,'asiabrands thanks much appreciated asiabrands'
positive,'asiabrands thanx alot tyty'
positive,'asiadevinyl hahaha'
negative,'asiahappypills he passed away recently no word yet on circumstances of his death let s pray for him '
negative,'asiakadoodle sadly'
positive,'asialakay sure thing take your time '
negative,'asialyn damn that sounds sooo good i just had taco bell '
negative,'asiamonae hey gurl please don t hate on me i like to keep haters away i have too many thatnks for the mention again love ya muah '
positive,'asiamonet saw your profile and thought of u when i saw this http snurl com jmyg u may know about it already but if not here you go '
positive,'asian panda your moving to cali niceeee'
positive,'asianactress great job'
positive,'asianated get your butt on msn '
negative,'asianchoi don t kill me i ll bring your gauges tomorrow my mom was like watching me get ready i couldn t grab them '
