@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
negative,'no more going out on school days lt '
negative,'o my god this class is tooooo long i still have an hour left and my back hurts '
positive,'ok now i believe what you are saying '
positive,'ontario mills got a good parking spot '
negative,'onti yes i need a ride http snipurl com jl mq'
positive,'osaka eatin some yumnmy sushi with the fam '
positive,'outside in the sun '
negative,'paragon again via facebook '
positive,'paulmac me too if we can find an evening that you re not working'
positive,'pbarone some interesting people in your following list as a result of reading it now i m following too many people '
positive,'perpetualspiral hi'
negative,'peterfacinelli stopping to say good morning i am sorry twitter messed up your bet '
negative,'pezmeister do you have a list of the top mom blogs to follow also'
positive,'plisnoh i hope it s easy'
positive,'polo classic on governor s island '
positive,'polo with daledoh might be going out for some ice cream later '
negative,'ponyp hey '
negative,'pretty mess you missed all the free shots '
negative,'gore that sucks '
negative,'green ranger aww damn you just made me realize my last update was my th i was frustrated on my th lame '
positive,'gregatron good looks '
positive,'handz coolio sounds good '
positive,'handz it was quiet unfortunatly but what the hell it s good the chill out too right '
positive,'happiness get them here http bit ly sy ly amp remember to use the code carol for instant discount '
positive,'happygolucky wasn t meant to be an argument as one said just an opinion '
negative,'happygolucky i m finally up and about my fever is under so i decided to work today thanks for asking and thanks for the fb comment'
negative,'happygolucky pretty disgusted with that story seriously'
negative,'harrykim ooc i know i m sorry '
negative,'harrykim ooc it s okay is everything okay i can only be on for another minute or two '
positive,'harrykim ooc we would need the extra room to make room for the pets '
negative,'harrypotter ooc that stinks maybe i could attack you or something'
negative,'harrypotter ooc your screwed im sorry really i am '
positive,'hayles for sure me too day ok'
positive,'hayles hey babe'
negative,'hayles hey chicken im all good tryn to do my ff to many favs tho il forget sme haha'
positive,'hayles hey huni oh oh oh days til your partyyyyyyy '
negative,'hayles hey lovely hows you not on long just bout to head off got stuff to do our suns away today xxx'
negative,'hayles hey sweetie not bad sore throat'
positive,'hayles lets try russ and see if he can handle us all '
positive,'hayles new but wayyy behind'
negative,'hayles so do i small cheesy biscuits and an apple for lunch '
negative,'hayles thinking of a celeb hollywood fancy dress theme want a marquee but its so expensive '
positive,'hayles yea its cute ud think he could just fit me amp u in there too wudnt u we d be no trouble yess i reckon they ll be a vid soon xx'
positive,'hayles yeh i saw that look repeats im not jelous im not jelous xx'
negative,'hayles yer there must be not sure tho caught it off my brother but got it worse '
positive,'hayley it s ace'
positive,'heatherbailey good luck how exciting can t wait to see what you have coming '
positive,'heatherbailey star trek see it '
negative,'hellzkellz left alone no black ppl would do this'
positive,'holliee is ratherr silly '
negative,'holly eu gosto tbï m dessas don t look back in anger'
negative,'holyshnikes oh no lol what the hell why are we patient with sorta followers never '
negative,'hotmess lol wow i was using ubertwitter but it keeps making my phone freeze up '
positive,'spell lol ohhh ok i gotcha ty got clearing that up for me sweets see where would i be without you '
positive,'spell thank you spell i think it is fuchsia '
positive,'spell you are a friendly and helpful bot so you stay but the rest of the bots must go '
negative,'spikes nopeeee have youu x'
positive,'spurcell its a loooonnnnggg story but now shes talkn to me she said sorry hhaaahaha '
positive,'squeekss haha yeahh '
negative,'stacey rae i really hope it works is the video on the power point omgif this doesnt work im actually going ot freak out yn '
positive,'stargirl i have indeed i ve been to four five next month you '
negative,'stargirl im sorry your dog died'
positive,'starry thanks it was kind of fun turbulence where you stomach gets to fly around a bit'
negative,'stars same i just can t get into them'
positive,'startafire maybe take them out for the interview and get a trim or you could always put retainers in '
negative,'stephhh did david not do waiting for yesterday and my hands tonight '
positive,'stephhh i know it was the special call i made to the phone company '
positive,'stephhh please call me when you can and ill take care of your pic for you '
positive,'stephhh yay i m sure he did '
positive,'stephhh yeah sure whatevs haha you have to admit the sweet and innocent are by far the best and a epic win '
negative,'stephhh yes joe go awayyyyy oh boo he doesn t have it saddd '
negative,'stevefail monday '
positive,'stevewoods good day to everyone to you too u sound chipper day love ur enthusiasm '
negative,'stl i liked the guess ones but nooo they were quot too square quot ugh '
positive,'stripysocks yeah'
negative,'strokemyego i can t just want a baby everyone else has one why the hell not join the club lol'
negative,'studmuffin im shaving my head my barber got booked i fuckin lagged it to long cuz i been hoppin on one foot i think i need goose '
negative,'sugarush yeah looks like i m definitely not gonna do it darn it s of my fave books ever too sacrifices have to be made i guess '
