@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'sara rt losh وانا ليه محد يحط اكاونتي ويكتب عشان الحياه فيها ألاء عيب تقول عنها كئيبه '
positive,'mstr ah صباح الخير يا عرب\n\n نور عثمان المصرية نسخة احتياطية لـ حلا الترك البحرينية الأرض والله صبورة ياخي '
positive,'bounty group عادي جدا اشوف فلم مرات وانا ماعرف اسمه '
positive,'moonlight osoos abdul ziz al pomp ايه هين الطيبة تقوطر منكم '
positive,'saroonh يارب يارب تتأهل '
positive,'aseeralshoog rt nkt m هذا المخيم والا بلاش\n\nhttp t co moymsvtul ابي اهاجر بيتنا وأسكن فية على طول هه '
positive,'faramawy islamazizun لييه ياعم d d انا ليا كلام تانى p'
positive,'hxystsyy محشش شرب الدواء قبل موعده بخمس دقائق سألوه ليش قال عشان أفاجىء الجراثيم d ھھ '
negative,'dodqozy دائماً و أبداً البساطة تضيف على شخصيتك رونقاً يجعلك مختلف كن بسيطاً تكن آجمل '
positive,'shog xd تصميم مبنى غريب نوعاً ما تصميم غرد بصورة http t co rjb htdqu '
positive,'ahmed hilali salmarach حلوه صباح الفل صباح الياسمين عليكي يا سلمي'
positive,'nm aldossri تبقى حكايات الوله احلى الفصول\n اقراه وارجع كل يوم اردده '
positive,'rtr khsa اقول انا برد عليك بدال ابن نحيت في سالفة الربع مدري تخوفه او تستغبي بس الوكاد القصد انتم '
positive,'atheerz اجمل من قصة ذا المسلسل صدقوني مافيه '
negative,'nue إسلمندر مش كاوايس خاولس '
negative,'mada oo ألله يسعد من يسوي رتويت إن شاء الله وجعله من موازين حسناتكم '
positive,'abdwsh دافئة لو انها تحتضنك بشغف عاشقه لو انها تقبلك بخجل وتغمض عيناها للحظة '
positive,'fl اللهم أصلح قلوبنا\n\nوأصلح وأحسن ظنونا\n\nوأصلح ولاة أمورنا\n\nوأصلح ذات بيننا\n\nوأصلحنا وأصلح بنا\n\nواجعلنا صالحين مصلحين\n\n آمين '
positive,'mona wonkyu الحين الاكسوتيك يهايطون عشان التاق حقهم بالترند والتاق عن اكسو كلهم طيب حنا رفعنا تاقات بنفس الوقت وعن عضو واححد تهف القصه '
positive,'ma mod nour rt khaledraya احلم لغاية اخر لحظة فى حياتك '
positive,'mohamad sh salma alessa عقب ما خذوه بره المكتب يقول ما كلمني باحترام وما إحترم شيباتي وهل هذا مبرر إن تسوي هالشو كله لا والله انت الغلطان وبس '
negative,'esraahossam rt marawanhamed ملخص الراحة النفسية في مصحف و مصلية '
positive,'amrography من هو آخر شخص أضفت رقم هاتفه لديك مش فاكر بس هو كان رقم مهم http t co l zvmqhvo'
positive,'roaajonas جلسة عائلية متكاملة بموضوع شيّق ألا و هو علاماتي '
positive,'amona chan luayprince مساؤ\n اجازة يابعدي هه\nدووم يارب xd'
positive,'faskr q الرجل الذي يأخذ رأي المرأة في أي شيء\nليس ساذج كما يقول الأغلبية\nهو يؤمن فقط أن حكمته لا تكتمل إلا بوجود أنثى الي يوافقني رتويت '
positive,'huynh رَبـي lt مآ آمرتَنآ بآلآستغفآر آلآ وآنت تريُد لنـا آلمغفرھ استغفرك ربي واتـوب اليك '
positive,'shhwa y as la كم فولوورز تستحق مليون '
positive,'abk aheebak rt b thrh br مسائكم أنا الموجود ويبغى خاص يسوي رتويت'
positive,'msdmdm الناس اللي تجيب السعاده بالاسك احبكم قد السما '
positive,'fahdd في هالمطر و أجوائه الشتويه\nكلن يصارح بالهوى غاليّه قلوبكم ياهل القلوب الخضراء\nالبرد حاكم و المطر جاهيّه '
positive,'be alzoyd سنكتب على جدار الوطن\nخنقونا نأسك يا وطن نتمنى الهجرة يا وطن '
positive,'nooranader انتوا مش فاهمين اني مسافرة تاني بكرة ف دابل سعادة يعني d '
positive,'moonwolves شوفني من قوه االِصدمهہّ سكتَ ﯙكل تعبيرَ عاِـى ﯙجهيّ حكى لااتواخذنيّ الا مني ضحكت االضحك ااقوى تعاابيرّ البكىَ '
negative,'amna rt ba انا لا انسااكك فلسطين ويشد يشد بي البعد '
positive,'dodyhendfo r ever احنا معاكى يافندم فى كل حالاتك '
negative,'samo oraa حوالي سنة صحوبية d'
positive,'noha azem rt faramawy طيب هو عامةً ايام سودة ديه شرعا حرام عشان لا تسبوا الدهر d اللهم بلغت بقى '
negative,'an لما أتعب نفسي واحاول أساعدك أبي منك فعل مو بس كلام لأنك قاعدة تحسسيني أني مو قادرة أسوي شيء '
positive,'nala rt alrowah أذكار الصباح سبحان الله وبحمده عدد خلقهِ ورِضَا نفسِهِ وزِنُة عَرشِهِ ومِداد كلماته ثلاث مرات إذا أصبح '
