@relation training_data

@attribute @class@ {positive,negative,neutral}
@attribute @text@ string

@data
positive,'Fantastic holiday'
negative,'Terrible weather'
neutral,'Hello world'
positive,positive
negative,negative
neutral,'The brown fox jumped over the lazy dog'
positive,'my beautiful little girl'
negative,'you selfish stupid woman'
neutral,'In the middle of no where'
positive,'mafe arzuaga rt elmer vendo iphone s gigas blanco con un papel protector rosado meses de uso vallelyc todovalledupar valledupar http '
positive,'taamicavs mica me habla de lo que se va a poner en mis dios me pone mas manija de lo que estoy '
positive,'katnissrosety me doy cuenta de que el temor de eithne es su padre no puede haber otra cosa peor que temer a un familiar tuyo y más a clasedcao'
positive,'mebcalidadevida rivefuentes esto está produciendo una desligitimación de la democracia y el estado '
positive,'moya r dani perez me alegra bastante saberlo pero yo dije cr q el de cr subió el mercado n puse nada de bale ahí '
positive,'daaichu rt incredulas geminis estas descuidando mucho a alguien que te quiere ojo con eso increroscopo'
negative,'andersublime si alguna vez te sientes solo come delante de un espejo'
negative,'fabricia biomed pessoa acaba de visitar seu perfil http t co lbpydoxby '
positive,'palomarm todo esto es obra de messi para hacerse con la presidencia'
positive,'saaritaasanchez nada como después de días tenerte cerca jeronimobaena ay ay ay mi campeón '
positive,'marta vigo alexbabucho y lo hice no pois iso '
positive,'azulsinpar señores uno cierra los casos cuando ya les ha dado solución no diciendo simplemente como lo solucionarán '
positive,'tralkan nicoleeth al menos la esperanza tuviste yo ni eso'
positive,'marks valdez llegar es tener oficina propia'
positive,'trafficaracas via cardozod modrusco trafficmiranda imagínate q salistes de tu casa un día cualquiera am y hay cola pero en lo q pases túnel es r'
positive,'jesuslm el hombre que creó una identidad falsa y legal gracias a internet la posibilidad de emplear seudónimos y prog http t co gpmpq zq f'
positive,'pantunfle voz populi alguien se sorprende por ante estas afirmaciones los pufos son incontables y en las videotecas están las pruebas '
negative,'floritobarestb lauti comentó mi estado encima puso te quiero creo que voy a llorar lo extraño '
positive,'sandrallobell m ha sobrat història i m han faltat raons més concretes de dimissió a la compareixença de sandrorosell declaracions llegides molt fluixes'
positive,'florcarabillo que grande pollito en el camion de los bomberos '
negative,'alexgonzalez que grande diego costa '
positive,'agonoude sudán del sur y los rebeldes firman un alto el fuego efe después de más de un mes de conflicto que casi estal http t co flpcwq ok'
negative,'marolintorres yo no te doy sexo yo te hago el amor'
positive,'liliaherrera rt luisiraevies liliaherrera dónde está mario silva el que debería estar preso es diosdado ese si nos ha robado que jode chabestias '
positive,'natilu rt zairana muscarijoseok grimaldiok nunca estes x estar xq llega el indicado y estas ocupado frasesdelnegroalvarez'
positive,'nsnblv rt teamlatinjustin nosotros no lo tomamos como una broma no es un juego libre bizzle libre kalfanzo lil za via instagram http t c '
positive,'elacuyo coatza y si le sacas al marisco una rica crema de frijol y una jugosa arrachera http t co vepes ke i'
negative,'melanie rt cameronrlztgod nombre selene alias cara de concha '
positive,'fbolona erikadlv lo que es la juventud justin sale fresco en la foto que le tomaron a las am y la cantidad de coca que tendría adentro '
positive,'carpediemanton rt ainhoa menudo el justin despues de haber escupido a las fans participar en carreras ilegales borracho y demas le seguis teniend '
positive,'maria rt ortografiatuits escribir mal equivale a hablar vulgar comer sin modales tener mal aliento según sondeos la ortografía hace interes '
positive,'pascacelio odeio ele e ela estarem juntos mas prontos'
positive,'gaonnaelias jajajjaajaja una tarde con razecribeiro y fs carp jajaj te enojas alpedo facu '
negative,'tereit hay canciones que todavia es dificil oirlas sin que te llenen de recuerdos'
negative,'xeilalopez albiita lo mismo podria decir yo de ti que con esa cara que tienes jajajajajajaja yo tambien te quiero amor'
positive,'fanyestefania rt soyelqebuscabas lo que hay en ti es más que suficiente para mi '
negative,'alexaparrab rt angie la reina gente que ni me conoce se preocupa por mi estado de salud '
positive,'craveromariano rt karentoranzo quiero que venga un viento fresco y llueva '
negative,'bmalcobendas previa del bmalcobendas cb chapelaweb balonmano dhplatamasc http t co sb uagudu'
positive,'marisopla rt susanna mga marisopla sea quien sea te ayudo '
negative,'rojiblancodice vaya paradon de herrerin athlive'
negative,'soofiimaldonado con renata y el otro'
positive,'yohann bohler love lovin fun fun radio'
negative,'xflyawayx hoy estábamos viendo una peli y ha salido un anuncio escrito coreano y digo eso es coreano y yo como bitches i m fabulous '
positive,'anadpe michiberrocosa y yo a ti jolin cuando vienes a ver si hacemos skype hoy no puedo '
negative,'catanatablanco alddanasolange como me llamo carolina blanco te llego ver mal voy y te lleno de abrazos y besos'
positive,'congresistas jumaherseg de qué hablamos de michoacán '
positive,'colladoabad tengo lo mejr del mundo '
positive,'lolafriends rt tapiastephany ustedes son buenos pero no sirven'
positive,'rmjes tu amor siempre esta '
negative,'aitanaa sanchez a horitas de tener mis '
positive,'erick rivera rt karinaisosa dice el diputado angulo de arena en su intervención en el pleno q ojalá regresara la policía de hacienda juzguen ustedes'
positive,'soldocampo candela y yo no aparecemos en ninguna foto desaparecidas toda la noche '
positive,'catuu perez hola personita al que sigo inserta frase sígueme e holaa ok esta me encanta y cuando parece que todo http t co khbw ctxh'
positive,'luciavillena rt criscaceres supersarcasmo cómo llevas los exámenes http t co jjbzyvpis meljauregui '
negative,'cantarero rubalcaba claro y con el psoe nos fue mejor verdad alfredo que payasos y que falsos sois todos los politicos sacaos el graduado anda '
positive,'studiofchile rt mtachile studiofchile es una de las marcas líderes en colombia y ya esta en chile conócela en el siguiente link http t co dfc '
positive,'deiviidquintero rosell mi familia ha sufrido ataques directos que me han hecho reflexionar en mi tierra he cometido irregularidades en el fichaje de neymar'
negative,'enlavia traficzona de mimiarriaga cola fuerte para subir al hatillo desde la bomba del cied un camión accidentado llegando a la muralla zona fm'
positive,'marcoslopezvazq heleenadiaaz uu matale a ver si te va a hacer pupita que no estoy alli para salvarte jajaja'
positive,'rooequisde quiero una moto '
positive,'cambustamante agusvera siempre te cruzo asi nomas mal ahi jaja'
positive,'bache rt matiildaxd voy a prender el calefón con un billete de antes de que pierda todo su valor '
negative,'mileyrockit rt damehijosbiebas hmybiebss justin me miró y me dijo no dejes que eso me pase a mi scooter dejaste que le pasará eso y más '
positive,'maripg alexgonzalezact yo tb estoy deseando verlo en el programa aparte de guapo es simpatiquisimo '
negative,'cordobaj el que todo desea con nada se queda'
positive,'jefersomx el psoe acusa al gobierno de amordazar al consejo de participación de la mujer la secretaria de igualdad de http t co rufkngxzi '
positive,'ariahoranmofos sígueme y te sigo sígueme y te sigo sígueme y te sigo solo fandoms pide fback rt'
positive,'daneldesorden rt humbertozion jueves elbaño jamaican party música de djvenanzion daneldesorden pm buena vibra garantizada'
positive,'loveswiftcyrus rt tayftswiftie sí algún día viajo a nashville ese día sabré que he hecho algo muy bueno en esta vida '
negative,'dblackout comenzo maduro con su cursito de historia contemporanea online '
positive,'pilar viso rt controladores fofes me encanta esta foto bintercanarias islascanarias helice emerg controladores http t co v dmhpuub mu '
positive,'riportaminvita rt minajftmiley sigueme y te sigo'
positive,'jaranda dalvismiguel si hay cosas en la que no estoy de acuerdo pero debemos seguir adelante '
positive,'samubarreiro rt guillermoparga lo suscribo via as maroto dimite sólo por la admisión de una demanda muchos otros no lo hacen ni imputados ni co '
