@relation instances

@attribute turnover numeric
@attribute sector numeric
@attribute employees numeric

@data
1652452,44021,8
294732178,44021,644
245992,41002,31
33153814,25031,98
34089492,25072,203
3212935,11005,235
31361575,23002,154
16986665,71022,41
76296345,53053,652
84711,53053,0
2231407,53082,138
27821227,54007,1
102179714,71022,750
1731746,92094,0
3442428,91059,25
33460073,92094,263
125458573,92094,0
16152234,52011,447
515173,52011,2
173046,56016,2
12881334,56016,52
5263384,56078,41
48025521,52011,288
2642468513,21015,16795
3162425,63073,24
126205900,62063,361
3145009,62063,38
47534625,57081,0
3208106,92087,23
12352813,93090,30
3395683,21005,192
238703227,21004,1611
60979,21004,23
77895395,21004,2337
74073,21004,6
17676,21005,9
9465,21004,144
12960887,21004,0
3023087,21016,28
2352860263,21013,38685
67741676,24066,149
36016610,62093,245
836853,61081,6
4910469,13008,76
265003437,62063,892
15119153,62063,91
100037220,62063,1
12945289,81001,91
89189742,81001,0
124380778,11002,0
84088846,11002,0
193245104,13010,671
168593168,11002,486
56529368,31005,146
165716684,31033,361
2641682,31005,83
16196094,38014,48
446587,34022,47
682216,61012,5
2420829,21001,533
4058653,24062,63
43522905,81001,354
52107407,63023,0
77941769,21009,271
56861520,62063,314
39071074,21015,952
37630,56005,0
360407,46021,19
7767068,25112,0
450303,25084,83
1379989,85045,145
33666,82003,0
83558,84043,62
362200,83028,65
992567,91054,69
985710,84010,100
112890,23081,76
1269592,23033,77
1083054,84059,78
433874,84035,63
23006,84075,34
289498,84033,50
296794,83049,26
1642396,62063,11
338478,63023,259
327620,63046,83
5893,93088,149
102754,93014,154
826480,12026,183
23172,25072,314
5629,63020,156
86167,11008,409
33311,31004,302
101544,63049,188
521757,91030,131
895678,91114,175
421,21001,0
523155,33021,181
412658,11052,28
28514632,34022,181
22860,73083,262
2341116,42006,16
5109,25112,0
42165,57064,203
270450123,71022,0
1757672,71016,1005
199660,13044,72
568658,34022,26
1564318,21009,0
166177,51009,278
13246,25044,113
852503,51004,365
5634,25050,115
137771,52010,186
2712,54007,1134
321966,51008,206
14993,25014,461
172467,61024,49
341280,61048,23
104221,61072,191
380546,85007,58
337430,85009,75
739986,85011,59
773885,92094,1605
15983,93010,51
36874,21012,1220
34367,21016,1121
1107341,63003,50
2016195,63076,145
821313,81003,91
202231,81015,51
272880,82009,28
153831,82032,94
643080,83012,140
433687,83013,44
1384301,63040,100
