@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'candacekaru it did feel great u have a great day too '
positive,'candacelynn mmmm shopping '
negative,'candacelynn oh '
positive,'candacelynn you re welcome '
positive,'candacemoon good morning '
negative,'candacerae the link didn t work '
positive,'candacerosee jason rosen fromm honorsocietyyy lt '
negative,'candacevinessb o no i def will '
positive,'candan cheers luv nasilsin '
positive,'candasstds hehe thanks i have no hope in hell of passing'
positive,'cande thanks i will definitely take lots of pics to share with everyone '
negative,'candeeee i think i erased it i ll repost it haha'
positive,'candelacandela your pup is so cute '
positive,'candi b ladyleek patvogue trueblood new season june th '
positive,'candice canadian would just feel too much of a compromise to me no offense to them'
negative,'candice jo naw i freaking can t spell so had to correct the damn thing '
negative,'candice jo ouch i actually winced when i read that sorry '
positive,'candice jo parents computer plz tell me you are not tweeting in their basement in your underwear or pj s '
negative,'candice jo wow'
positive,'candice jo you ll have a drink bc the race is over i m telling you'
positive,'candice '
positive,'candice candice tell me if you get a reply from ashton i loveeeeeeeeeeeeee him '
negative,'candice lol'
positive,'candice '
positive,'candiceangel you lucked out '
negative,'candicecordeiro mrshefcodes haha i d love to jump on a plane and party it up but i have this thing called work'
positive,'candicecordeiro it s only one saturday plus you ll get another day off it s worth it once in a while '
negative,'candicecordeiro yeh i know it was meant for her but i bren looking too '
negative,'candicedlene no im going to three warpeds'
negative,'candicee hahaha rightttt ughhh '
positive,'candicee yeah i am i ve been on i since sophmore year '
negative,'candiceholgate seems like it s any isp'
positive,'candicejarrett http bit ly ydmsj check this game it s fun candice great way to kill ur time lol '
negative,'candicejarrett i didnï t go to school'
positive,'candicejarrett if you havent gone yet'
positive,'candicejarrett i m fine thx for mail i think it s better if you find moderator who lives in us as well sorry for the trouble '
negative,'candicejarrett oh no did i miss it sniff '
negative,'candicejoy i wish my seventy five thousand car had seeeecret compartments oh wait i don t have a seventyfive thousand car '
positive,'candicekanani well come on there s a room for you '
positive,'candicekei haha i know right such a lovely place to be '
negative,'candicekei i can t register even if i put that i was '
negative,'candicekei i hope so i was really looking foward to it i m seeing him in july'
negative,'candicekei i know he always used to make me laugh so much i think i may actually cry at the first date when i realize he s really gone '
negative,'candicekei i m at work till late'
positive,'candicekei precisely hahahaha '
positive,'candicekei yay thanks im so excited now thanks for telling me '
