@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
negative,'ppl tryna get me drunk tonight won t turn down a drink though quot '
negative,'pray for the six people who died in the washington metro train crash '
negative,'prayers for pro golfers phil mickelson wife has cancer and ken green leg getting amputated thoughts are with those guys '
positive,'pregnant couples are my fave'
negative,'prom on wednesday not so excited tbh '
negative,'promise not cried yet no promises tho i wish everyone the best lt lt that btw wasnt a final good bye xx'
negative,'cbc ca slide passed over as quot talked about already quot '
negative,'cfunited okay then'
positive,'charity tuesday diabetes uk'
positive,'charitytuesday comfortdoll take pic of band with comfort doll auction pic on ebay send proceeds to world vision no brainer '
positive,'charitytuesday jessicastrust bullyinguk hearingdogs eczemasupport air ambulance all good causes who need our support '
positive,'chaser was pretty good tonight i miss the old eps'
negative,'chdstaffretreat i m sad chris is lost out there'
negative,'cheapspeakers have everybody at rancho dancing to infectious pop if twitpic was working'
positive,'chesterday '
positive,'chesterday chester get back here '
positive,'chesterday i thought everyday was chesterday'
positive,'chuck follow us at chuckmemondays watch the tango tonight at '
positive,'chuckmemondays chuck is nearly here '
positive,'chuckmemondays not watching'
positive,'civicsummit welcome www thetylerallen com on the content creation team '
positive,'clothdiapers is a trending topic on twitter amazing it s about time '
positive,'cloudforce is the top trend i am surprised but i couldn t have loved it more '
negative,'cnnfail am in new york amp cnn us still showing repeat from last night msnbcfail has repeat of biden on mtp foxnewsfail'
positive,'com we have a quiz again feliza is bugging us again its getting very annoying '
positive,'comcast on the phone told me they do not have m cards but installer did'
positive,'comicon to show dollhouse quot epitaph one quot the unaired'
negative,'comm i am working on the design of my website doing a lot of design in photoshop kind of slow '
positive,'confession i have a crush on a supposed friend eek '
negative,'continuitysummit was a blast ryanlee is such a good guy met with some great minds getting in car to jfk now no sleep till brooklyn '
positive,'cost aroldi is answering some questions now maz is on stage '
negative,'csi just isn t the same without william petersen '
positive,'csi miami walking on footpath '
positive,'css is wonderful said chrispirillo'
positive,'cycling miles out had to get to bike shop now i gotta make it home backontrack'
negative,'damnimiss the groups total'
negative,'ddth bï n host us giï siï u r host ch m quï cï l gi i ki m host lï o quï http tinyurl com lmowd '
negative,'dealbreaker teeth that look like you ve been chewing on rocks ur entire life '
negative,'dearapple where are all my iphone push apps so far i only have aim '
positive,'delongeday magic with sister delongeday'
positive,'delongeday delongeday delongeday delongeday delongeday delongeday delongeday delongeday delongeday delongeday '
negative,'howarewe sunburnt and sweaty '
positive,'humor viccek mobil wc http tinyurl com r jlvs'
positive,'i love the verse quot when i grab your neck'
negative,'i hope i m feeling better by thursday'
negative,'iamontwitter im so lonely nom nom nom good ice cream and bon bons '
negative,'icantstand people that still gel down thier baby hair ahem tyra banks '
negative,'iconfess i wish i had went to college after highschool '
negative,'iconfess we still went on other datea '
positive,'idontlikewhen ppl talk abt other ppl kids all children are precious '
negative,'ie looks ok but doesn t seem to allow feed subs with google reader and delicious buttons seems broke '
negative,'iforum but xenserver make the tea option still someway off '
negative,'iforum cant wait for next set of refreshments am starvin lunch had mushrooms in it yuk '
positive,'ifufromnola you knew it was time from christmas when mr bingle arrived on canal at holmes es '
negative,'ihate that i have a test tomorrow so i have to spend all night studying '
negative,'ihate that they do random drug tests at work no fun for me '
negative,'ikl was going to knit up a tomato baby hat for workmate during question time but left pattern on printer '
negative,'ilhm soul children of chgo sing quot america the beautiful quot iphone battery won t last more hours of updates '
positive,'ilove j s b c he is staying true to ihate smh love your honesty '
positive,'imaddicted adducte ariesvenusstarr '
positive,'imaddicted to suuuusshhhhiiii '
positive,'imperfectangel '
negative,'inaperfectworld quot the wire quot would still be on hbo '
negative,'inaperfectworld biggie amp pac would be alive '
negative,'inaperfectworld dc carribean carnival would not be the same weekend as my beach trip '
negative,'inaperfectworld guns n roses wouldn t have broken up '
negative,'inaperfectworld i could eat anything i want and actually lose pounds instead of gaining them '
negative,'inaperfectworld i could have ice cream anytime amp not have to worry about infected throats oh'
negative,'inaperfectworld i would be able to dance for real '
negative,'inaperfectworld i would be in line for an iphone gs'
negative,'inaperfectworld i would be married to tila tequila '
negative,'inaperfectworld i would have enough money to buy tickets for the jonas brothers and taylor swift concerts '
negative,'inaperfectworld i would have one last chance '
negative,'inaperfectworld i would have time for everything and everyone i love '
negative,'inaperfectworld i would sleep more than hours a day i miss my zzzzzs'
negative,'inaperfectworld i would still be sleeping right now instead of awake amp having to go to a meeting '
negative,'inaperfectworld i wouldn t have dropped my crackberry in the washing machine '
negative,'inaperfectworld i wouldn t have the worse toothaches ever '
negative,'inaperfectworld i wouldn t have to do so many sit ups '
negative,'inaperfectworld i wouldn t have to log onto my computer to talk to my jbfbdb girls they d be beside me in person when i need them most '
negative,'publicly want to retract my statement of dumping my twitter bf '
negative,'pulled a muscle and still doing fucking p e'
negative,'pulled calf muscle but i can see good things in the future'
negative,'qettin in da shower without xraytid kuz he hurt my feelinqz'
positive,'qoinq natural w my hair startinq today '
positive,'r amp r watching my girl'
negative,'radio disney isn t playing anything here wtf '
negative,'rain is gone'
negative,'rain rain rain looks like a weekend indoor god forbid i might even have to invent some housework '
negative,'rawr finals '
positive,'rb annapurna quot mooorning blip crew jakite tubilino looney rodrigolab theclockworkbox zephyrlily quot â http blip fm b gj'
negative,'re rafeal nadal pulling out of wimbleton '
positive,'reading fmls '
negative,'really sad about air france flight my heart goes out to their friends amp family can t believe it just disappeared creepy '
negative,'really upset'
positive,'really ok i ll wait to read it '
positive,'recess '
positive,'redheads always win lol '
positive,'reece your a dog '
negative,'reeeeally needs someone to talk to '
negative,'refrigerator went out have the kids carrying bags of food the neighbor s house hoping these gallons of milk aren t already bad '
negative,'rejection is no fun'
positive,'remembered something while reading quot shut up and hug or i ll hit you both with a tennis racket quot good times i miss it sometimes '
negative,'retweet nbc durham'
negative,'riding horses'
positive,'right back at ya darealsebastian'
positive,'right'
positive,'rim aims to cross categories with blackberry tour reuters geek webtech news http tinyurl com mjpjtx'
negative,'rip allan king canada s film landscape is a lot flatter today http bit ly od iy'
negative,'rip farrah may your hairstyle live forever lt '
negative,'rip shirt '
negative,'rite aid'
negative,'roobbb please come home '
positive,'rosales is cool'
negative,'rt raffertie please don t buy the version of stomping grounds vip that has come out mastering has been screwed up trying to sort it'
negative,'rubbish weather and my phone still hasn t come '
positive,'running out of pulse'
negative,'run s family makes me happy thats a frown because it expresses my emotion better '
negative,'sa what the hell '
negative,'sad about stupid stuff'
negative,'sad because mtv music awards isn t being aired in this country so now i m uber sad tonight'
negative,'sad face '
negative,'sad face i miss my girl friend already i miss u hubby mwuah '
negative,'sad face today no stone temple pilots tix for me '
negative,'sad face i didn t catch the bouquet but at least i got tipsy happy face '
negative,'sad faces it looked like someone died '
negative,'sad miles didn t win that oneee'
negative,'sad times at the mo but im a strong lil lady and i will get through it '
negative,'sad to work tonight but happy i did min of wii'
negative,'inaperfectworld i wudnt hav to choose i cud ha it all ways baby '
negative,'inaperfectworld i d be going to the jb s tour kickoff concert tomorrow '
negative,'inaperfectworld i d go to bed before midnight '
negative,'inaperfectworld i d understand the reason why people act and react to so many things and wished that they didn t bed time take two '
negative,'inaperfectworld muh bunny wabbit wouldn t have been eaten by another animal '
negative,'inaperfectworld my blog wont exist'
negative,'inaperfectworld my car would need no petrol gas and i wouldn t drive an hour to work wait i wouldn t work just make art all day '
negative,'inaperfectworld my husband wouldn t have type i diabetes and would grow his goatee back but that s another story '
negative,'inaperfectworld n ne w uld have b eeeek '
negative,'inaperfectworld niggaz wuldnt act lyk bitchs sorry '
negative,'inaperfectworld there will be no sadness amp desperation '
negative,'inaperfectworld there would be no twitter whores and i would apparently not exist '
negative,'inaperfectworld things would just go the right way for him for the record i wouldn t treat him like this ever guys cry too '
negative,'inaperfectworld'
negative,'inaperfectworld'
positive,'inappropriatemovies who s afraid of virgin woolf '
positive,'indiavotes loved sameer arora s line quot not seeing karat on tv is itself worth points for the markets quot '
positive,'ineedafade if you ve lost an article of clothing in my room and u still can t find it '
positive,'inever had sex w bitches at once ok im lying phaha i love females '
positive,'inmyhead i want to blow this house up k good nite '
positive,'internationalmusicday we need your help so come sign the petition http www vanmusic ca musicday we will all benefit '
negative,'iphone os download was no probleme'
negative,'iphone os upgrade not so seamless itunes upgrade first'
positive,'iphone spotify i m now able to run spotify on my iphone'
negative,'iphone update seems nifty'
negative,'iphone i want to upgrade'
negative,'iphone has suddenly lost all contacts i am using mobileme could that be an issue where it is down this will at not be cool if all day '
negative,'iphone i want one internet everywhere and anywhere'
negative,'iphone seems nuevasync is no longer working but google sync is thanks for the help google '
negative,'iphone in app purchases can only be downloaded once and not transferable between devices aw apple fail'
positive,'iphone gs iphone mine just got a tracking number and has left from shenzhen'
negative,'ipl out damn jayawardene you suck big time u dont know how to play cricket u got yuvraj out '
positive,'ipv summit yes windows os has quot power shell quot weeeee how useless '
negative,'iran jackieripper is this neda on facebook http twitpic com zk k lt '
