@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'boopany you should goto this it s gunna be complex as lampo sez quot an epic audio visual data assault quot wit a digital analog mountain '
positive,'boopsyjam ooh well let me know if you need a place to hide him '
positive,'boosh beast i know simons such a softy '
negative,'booshface lol cooper is cooped up hate those things though i call them jenny long legs xd no idea why '
positive,'booshtukka yay works now that s an epic re dude well done i ll bookmark http regexlib com too i can see it being very useful '
positive,'booshtukka yeah'
negative,'booshybad yalll females want jerks n im cursed wit bein a nice guy ughhh '
positive,'boosta no prob i m so glad you guys had a great time '
negative,'boostpower i feel ya in a meeting spree at work too '
positive,'bootacorleone someone who love off food this is my world '
positive,'bootcoot maybe it s a hint for me to get a life on the other hand'
positive,'bootcoot dannii minogue mmm that would be a result x'
positive,'bootcoot hence why you should buy a mac '
negative,'boothdweller miss themmmm '
negative,'boothie can i please borrow your viva la bam on dvd '
negative,'boothsbird im tired my friend is talking to me again though it stills feels weird i dont want to go to school tommorrow '
negative,'bootinswede its kind of hard to smile moving my sis from hospital to nursing home at pm today not a good day'
negative,'bootnumlock fix is on the blog'
positive,'bootooyoo good luck '
negative,'bootooyoo i hope so too cuz i m really looking forward to the discussion after the fact i ve never gotten jury duty '
negative,'bootooyoo i m feeling homesick enjoy your stay xxx'
positive,'bootooyoo lol don t get me started on waveforms and arpeggiators then'
positive,'bootooyoo lol day two of the adventure begins '
negative,'bootsie rae me too but it was not to be i just love the combination of the horse and rider he raced well and to go in all of the races'
positive,'bootsllanes i wanna visit u and skydive there omg'
negative,'bootsriley cd was easy can t find the vinyl though '
negative,'bootsriley what stores there s no stores left '
positive,'bootsybigfin i wear this hat so that one may do either with impunity '
positive,'bootyinvasion i also changed the name to quot cheeks quot so it s official ob is in the house '
positive,'booyahmicki you can say that again '
positive,'boozby i get that from my manager everyday '
negative,'boozymcmarathon no joke'
positive,'boozysmurf heh quilting'
negative,'bop buf i m lifting stuff and moving things and i just got stuck under my bed '
negative,'bopa i am lost please help me find a good home '
negative,'bopandtigerbeat i love those boys i missed the chat yesterday it was the firts amp only one i ll miss though lt nick jonas lt '
positive,'bopeepsheep it s ok'
negative,'bopeepsheep nah i love the original in vegas but miss grissum and sarah sidal '
negative,'bopeepsheep poor lovie one of the things i m seein me dr about thisavvy is my episotomy scar '
negative,'boprock haven t found any yet '
negative,'bopsicle the sand that i made for mi mic'
negative,'bopsicle yay but i m mad at you '
positive,'bopsicle i bet you could '
