@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'adamgoldston thanks mr goldston ill prob watch a funny movie like billy madison or something'
negative,'adamgonshor no not really i thought i was being funny but i realize i was not '
positive,'adamgoswell welcome '
positive,'adamgoucher the code doesn t lie it sure can in dynamic languages like ruby when you have no idea what hasn t been overridden '
positive,'adamgrahek it d be better if you were watching quot days quot instead sandra bullock is hot lt lt '
negative,'adamhann i lean more toward isolation '
positive,'adamhaynos i actually did watch food network today which was good i invented my own granola'
negative,'adamhenige is there a way i can help may be when you are little less quot angry quot '
positive,'adamhimself awesome '
negative,'adamhoban thanks you re after jinxing the weather for me th june amp its raining that s the back garden out of question '
positive,'adaminker change the water to vodka then it may not be so tedious lol'
negative,'adamirish i dont like being a twitter virgin am i doing it right lol'
negative,'adamisarockstar not trending yet i was sure that adam would be trending by now not for good reasons'
positive,'adamiss thanks for the ff don t really get how it works just yet but still thanks '
negative,'adamjackson d oh nm'
positive,'adamjackson with mcdonald s promoting the mccafe similar to starbucks '
negative,'adamjonesey mmm id love some parma violets right now lol no not yet need to sort out my h d first theres no room for anything '
positive,'adamjury my great parents did pay for it'
positive,'adamkallen it s '
positive,'adamlambertai is it true that fans can meet the finalists after concerts this summer if so'
positive,'adamlambertnews glad c u back'
negative,'adampatterson i know ive attempted assasinating him three times now but only succeeded once '
positive,'adampatterson indeed when i start to feel that way i take a step back and focus on what matters in life friends'
negative,'adamrawsonbrown i feel that your head sounding is partially my fault because of that futon haha sorry jarron '
negative,'adamread i have no one to register '
negative,'adamrebel thanks lol my google phone is waaack i wish i had an iphone '
negative,'adamrebel this whole phone hanger upper business is not the business '
positive,'adamrhodes trying to patch things up are we why didn t you ask us in the office '
positive,'adamrocks socks'
negative,'adamrofer k she s mia boo '
positive,'adamrowley with spotify'
negative,'adamrphoto massive fail on mark moving can t wait for glasto tho got a badass tesco value tent '
positive,'adamrphoto oh brilliant another channel of yours where i can find out about graze discounts '
positive,'adamsandler how s babu doing '
negative,'adamsatayer no ew i just got out of the shower and came into my room and he had one on the floor '
negative,'adamschwabe so sorry to hear that what kind of dog was he it s so hard to say goodbye to a pet '
positive,'adamsconsulting hello how are you doing today hope you are having a great morning '
positive,'adamsconsulting hey u can turn it around and can have sleep while rockin '
positive,'adamsconsulting no problem and great looking forward seeing more tweets '
