@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'brandihutson стихи меларики смешарики книжка с волшебным мелком http t co uwjl ihtsf'
negative,'mvideotc сегодня был клевый день '
positive,'arin sweet ненакрашенный уродец мимими http t co npmrjkxpsk'
positive,'julia ia ты мне не нужен ты мне вообще больше не нужен убирайся с '
positive,'paplic дедушка фрейд не смейся надо мной '
positive,'vasek мяу и ёжик d'
positive,'milasho smile v rot вхаахаха я прост перечитала переписку и поняла теперь сижу ржу xd'
positive,'yfcnru труп за этот год в твиттере посла меня раза я еще не считала в вк и при встрече а так у нас с ней дружеские отношения d'
positive,'aidasydykovak форсаж люблю фоорсааж '
positive,'kpem я написал мужу письмо надо как нибудь отправить '
positive,'katerinakardova когда мы окружаем себя хорошими людьми и добрыми мыслями жизнь начинает меняться в лучшую сторону http t co qd trrgwev'
positive,'orel tipical как знала надо было в черном идти http t co ycrrkozwl'
positive,'wywyzela margulev даешь штурм харьковской тюрьмы свободу единственному мужику в украинской оппозиции d'
positive,'alisa singer бляя китаров такой момент жалко '
positive,'sukhopluev ох чую на этот раз моя супруга от меня всё таки уйдёт на этот раз у неё ни любви ни тоски ни жалости '
positive,'mariontta день чудес '
positive,'african qween уныние и печаль вот я и вернулась '
positive,'vendy a прекрасный веселый день с ralina l наконец то увиделись люблю тебя '
positive,'tommycromwell так странно новая жизнь н http t co qtvem uaf'
positive,'odnakoorg отчёт о ходе работ над фильмом панфиловцев http t co g xx nl odnako'
positive,'cotavi я собрал золотых монет кто из вас сможет больше http t co kwbvkgshru iphone iphonegames gameinsight'
negative,'zzuzka проститутки ставропольский край г благодарный номера телефонов'
positive,'donna juliamayko ой монька в костре подпалила мохнатку теперь же ее новый бой френд забракует '
positive,'ara oo хорошо сидим ксюша и паша нашли общий язык '
positive,'nastya cat у нас лабораторка по физике за прошлую у меня http t co kolkdjdl x'
positive,'jeka проституты мужики'
positive,'jameswonghui раб программа технологии роговцева класс фгос школа россии http t co pyhgopaiyq'
positive,'wackpiece реальные индевидуалки москвы'
positive,'elisabethgardin не ищите идеальную девушку я дома сегодня '
positive,'v vvd tina kandelaki тина к сожалению пока так и есть вороны атакуют но голубь тот спасся'
positive,'vetumtrud vaa и воровать шапки дальше '
