@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
negative,'cupcake seems like a repeating problem hope you re able to find something '
positive,'cupcake arrrr we both replied to each other over different tweets at the same time '
negative,'cupcake ya i thought so '
positive,'cupcake dollie yes yes i m glad you had more fun with me '
positive,'cupcake kayla haha yes you do '
positive,'cupcake kitty i love how you re so live on twitter now when you st came on'
negative,'cupcake nyc boooo hahah ugh this weekend is jam packed nj fun with concert ahhh who knows '
positive,'cupcake nyc sounds good i have some things to chat with you about i know you had a bad weekend i m sorry to hear that ttys '
positive,'cupcake nyc why does yahoo always only take us sales into account '
positive,'cupcake rachel ha ha'
positive,'cupcake you re welcome the gokey gang will always be there for each other '
negative,'cupcake i m just coming straight home'
negative,'cupcake should but won t i m such a masochist blah trudging through the end of this textbook chapter first '
negative,'cupcakebrii good luck i wanted to apply at bebe at my mall too but all the positions were filled so hopefully express works out'
positive,'cupcakecanadian a cupcake would totally hit the spot right now '
positive,'cupcakecartel what a small world yummy cupcakes i looove red velvet ones have fun the audition '
positive,'cupcakecowgrrl annnnd the innernet '
negative,'cupcakee hecks yeah i want to go'
positive,'cupcakegoth i squeek '
negative,'cupcakejar b b b becauseeeeeeeeee '
negative,'cupcakejonasbro jbyoutubesuspended retweet as you have been doing we re going to get it back '
negative,'cupcakekiki it failed im just burnt and omg'
positive,'cupcakekiss poor cat'
positive,'cupcakeloser thankies honey '
positive,'cupcakelovely aw'
negative,'cupcakemafia feel better i am coming down with some kind of funk as well '
positive,'cupcakemafia i wear it with my biking shorts'
negative,'cupcakemafia ouch rest up'
positive,'cupcakemafia thanks'
negative,'cupcakemafia that s awful viparita karani and ginger honey tea and sleep'
negative,'cupcakemafia wull i hate to hear bout an awesome chickie playing hood ornament you doing ok '
positive,'cupcakenicki i could have told you about the swelling too but you still would have done it '
negative,'cupcakeqween i miss you gutsss '
negative,'cupcakeqween lmao i m lost with u and chong mad bored hmmmmph '
negative,'cupcakerehab that s my size '
positive,'cupcakesdlish what time does your hubby s band go on i think i found someone to come with me '
positive,'cupcakesfortwo how are you'
positive,'cupcakesfortwo looking forward to it '
positive,'cupcakesfortwo please go to sleep hon '
positive,'cupcakeskill you are a retard haha bet you re just dreading it without me '
negative,'cupcakestop is right by my office i want to go over so bad '
positive,'cupcate happy birthday '
positive,'cupcate happy birthday have a great day'
positive,'cupcate happy birthday lovely such a beautiful day for it too '
positive,'cupcate happy birthday hope you have a good one '
positive,'cupcate happy birthday what a gorgeous day you re getting have fun xx'
negative,'cupidalaska nope not in ny should be but ya knows i need muchos makeovers my nails are damn awful boy troubles are the worst '
positive,'cupidalaska theme parks are always a fun time so is sleeping in bed '
negative,'cupidboi i saw this one csi i think like miami with this really hot bear guy then i never saw it again '
negative,'cupidshotme the message for the titans hahaha okay but i wanna go that i extinguished the fire too hehe'
positive,'cupiexcake depends on if i can do warped or not this year if so i ll be there '
positive,'cupnoodles tiensoon my indo frend told me there many leng lui also wor '
negative,'cupofbees you got my hopes up and failed to deliver '
negative,'cuppy damn i missed out this time logged in'
positive,'cuppy had i the time to spare'
positive,'cuppy let me know what sims is like please '
positive,'cuppycake nothings wrong bit imy and i hope you re doing goood '
negative,'cuppycake outlook not so good '
positive,'cuppycakee i agree on the star trek movie'
