@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'eattoast puppies are sooo cute but i think i like grown dogs better though they really developed their own character '
negative,'eatyouroates sympathy work in one hour do not want either '
positive,'eavh you perhaps need to help him a bit then is your mail still working '
negative,'eazee awww i didn t know u were having another shindig on sat no one tells me '
positive,'eazee chas was at the door i love her '
negative,'eazee i made enough for but u took too long to hit me and u kno i m greedy '
positive,'eazee i second the conscious rappers fave list plus q tip '
negative,'eazee they suree did and they did show up and play'
negative,'eazee we need tickets my friends are going tryna see keri '
negative,'eazid darn givemecherrypom we missed the fireworks for the billy bowlegs pirate festival they went up friday at pm '
negative,'eazy eron effy breaks my heart '
negative,'eazyacess ur so mean smh '
negative,'eazyedot '
negative,'eazyedot i dnt have cable but i will in weeks ache oh el el aye '
negative,'eazyedot well come baaaaccccckkkkkk '
positive,'eazyedot whenever u ready heheh '
positive,'eazzybabyy lets gooooooo '
negative,'eb enjoy the concert that australia will not get to see '
positive,'eb hi'
positive,'eba but the sun is out you can t have everything you know '
negative,'ebabnailati star gazing would be wonderful if you could turn off all the lights from the mall '
negative,'ebaby sorry about last night who cares about the lakers anyways whats new with you '
positive,'ebain i m taking the quot break with the occasional study quot approach i do think a dbl date dinner break would be fab too though '
negative,'ebanflow '
positive,'ebarthelman perk of being as tall as i am is i can get away with eating more if i stayed in bed all day'
positive,'ebassman can t come to us for the tour so i hope to see you next time in europe we talked a lil in paris xoxox bon voyage'
negative,'ebassman i wish i need a jet see ya in irvine'
positive,'ebassman studying does not sound fun'
positive,'ebassman the uk is with you were excited and waiting for more quot xxx'
positive,'ebassman who is this http twitpic com fi behind me amp stephwbates '
positive,'ebassman quot we are family i got all my twitters with me quot lol '
positive,'ebassman crunchyk giddy up thank you the stage looks awesome and the guys look even better andrea'
positive,'ebassman crunchyk you guys are awesome thanks for the pics '
negative,'ebassman youngq i just missed you guys in the chatroom i watched the archive tho hope to catch the next live one one love baby '
negative,'ebassman ahhh i know you guys are so busy you don t get to enjoy the cities you are in very much '
positive,'ebassman can i get a hug on june th at mohegan sun my friend and i will be wearing these shirts http www twitpic com s mt lt '
positive,'ebassman cant wait to see you few more hours i better atleast get a picture especially after missin you last night '
positive,'ebassman details please '
positive,'ebassman ethan i cant wait til pittsburgh i hope i get a chance to see you layin down that sweet groove '
positive,'ebassman glad it was a good show enjoy your upcoming days off '
negative,'ebassman hey um got the impression yesterday concert you didnt like me too much '
negative,'ebassman hey do u know if it rains thurs'
positive,'ebassman hey ethan x'
positive,'ebassman hey ethan check out bass line on quot stay quot e badu version funky as hell u would kill it '
positive,'ebassman how about counting sheep lol '
positive,'ebassman hug me at jones bech'
negative,'ebassman i didnt get to meet you yesterday '
positive,'ebassman i have become friends w alot of fellow blockheads through the internet some of the best friends you can have '
negative,'ebassman i just got two tickets one for speeding and one for tinted windows '
positive,'ebassman i ll be there in a hot minute'
negative,'ebassman its nice sad to say all i have is my phone '
positive,'ebassman just be carefull that the one whose driving doesnt fall asleep '
positive,'ebassman lol i ask myself the same thing sometimes '
negative,'ebassman mornin sweetie pie have a safe flight today see u in atl lol pssssssh i wish '
positive,'ebassman morning ethan you going to waffel house to jordan is already there join him amp send sum pics lol hope you have a gr t day '
positive,'ebassman ms tattoo is at work'
positive,'ebassman my future baby daddy '
negative,'ebassman not all your twit fans i missed my hug '
positive,'ebassman ohhhhh snap i m telling his little brother dude is quick on his feet and i bet he can mess you up real quick '
positive,'ebassman please have a great show sad i can t see it must live vicariously through others '
negative,'ebassman right here army wife in germany i can t stand that i cannot be there this summer '
positive,'ebassman so dedicated'
positive,'ebassman surprised popping off ethan does that include the army in europe please x'
positive,'ebassman thank you so much for all the pictuers from rehearsal can t wait to see you all in chitown and wichita '
positive,'ebassman thanx for pics http bit ly hhwl amazing base playing d'
positive,'ebassman that really hit me i was feeling so depressed and i came to my twitter friends to cheer me up i feel so much better '
positive,'ebassman the party never ends'
positive,'ebassman travel safely and rock it out in atl '
positive,'ebassman ummm how about some backstage passes '
positive,'ebassman we are very excited hope you have a safe flight '
positive,'ebassman we got the pic send more send more '
positive,'ebassman well'
positive,'ebassman we re trying it s hard though thanks for the lift have a good night '
positive,'ebassman where u at on facebook i wanna send u the pic but dont know where '
negative,'ebassman wish i could stay up longer and play but nearly midnight here in uk knight knight x'
positive,'cprcheetah hi heather'
negative,'cprice i m actually skipping out on tonight you re on your own for the sign language but the slideshow is my handy work '
positive,'cpritch so glowing today then are we '
positive,'cprpoker nice have fun '
negative,'cpt oblivious sure they give you a link'
positive,'cptalbertwesker yeah but if i can get it for free maybe you ll have to look out for those ps s from now on '
positive,'cptcswife oh and simontay shares his pics on food too '
positive,'cptcswife thanks happy mother s day to you too '
positive,'cptcswife vintage clothes from usa check their website out i just walked in and am bowled over '
positive,'cptkenz let s go to karaoke'
positive,'cptmorgan k technical difficulties sorry '
positive,'cpullman hehehe thanks '
positive,'cpwilsoniii thanks very much '
positive,'cqnsfx hehe thanks '
negative,'cr sslist never ready'
negative,'cr sslist yea they really are '
positive,'cr tivecandy i know it s probably the only reason i m not calling him on it i ll suck it up he s otherwise great to work with '
negative,'cr vgrl hello so your in canada thats so cool'
positive,'cra g re old school palm pilot luxury that s a palm os device with a backlight'
positive,'cra g i may celebrate memorial day today rather than monday '
positive,'craaazymeaaah hmmm the one '
positive,'crablin more win and i think we ll be fine'
negative,'crablin ahh'
negative,'crabsoneyes popinas was too packed though we did debate it on the way home doubledinner '
positive,'crabstickz keep both legs bent and pull with your legs not your back youll avoid injury that way be safe '
positive,'crabstickz i agree '
positive,'crabstickz lols that wud be funni '
positive,'crabstickz thankyooouu for being subscribed to vfv o i was very excited when i found this out'
negative,'crabweasel i think kate was too corporate she could fit in any business sugar likes a maverick its how he worked and what he wants '
positive,'crack cocaine yeah but she s playing the younger mary '
positive,'crack jack i hope i stop being ill tomorrow'
positive,'crack morris lol i cannot wait for fighting'
positive,'crack t like i said fail '
positive,'crackbarbie this is my road kill http twitpic com m q '
positive,'crackberrykevin have fun '
positive,'crackberrykevin u shda just bought a new bag at the airport people traveling from india do it all the time '
negative,'crackedknuckles im sorry i wouldnt have done it if it wouldve come to this '
positive,'cracker ahahah lol yeah ok people reading sarah and sarah are not sluts ok we just sound like sluts'
positive,'crackercrumbie as long as u give give me ma chocolate warm milk in a bottle lmao'
positive,'ebassman yo dude if this is really you i challenge you to a dance off i will smoke you http bit ly hgzxc'
positive,'ebassman you need to hurry and get to cali '
negative,'ebay life less what a nice deal i just ate though '
positive,'ebayaussie i m gonna have lunch with my brother brb'
positive,'ebayinkblog thanks for the follow looking fwd to your updates i really'
positive,'ebaylon do i know you '
positive,'ebaystudentgirl indeed it does'
negative,'ebbathegreatest i cry at school and everyone looks at me weird i was like wtf u looking at go somewhere'
positive,'ebbathegreatest it s on drew s myspace he just put it up jus now '
negative,'ebbathegreatest oh yea byee '
positive,'ebbsbaby i know right well have fun ma '
positive,'ebbyzone thank you '
negative,'ebeck else ill do it tonight before we send the comp to best buy '
positive,'ebeck i know me too '
negative,'ebeckham where are you going without me '
negative,'ebeinke too bad that hulu isn t available here in germany sigh '
negative,'ebelle it was fun but i m absolutely miserable my check in lugguage is lost '
positive,'ebencom hey working on your style sheet should have it done relatively soon yeah '
positive,'ebeth this to shall pass comes to mind hang in there won t last forever hugs x'
positive,'ebeth can i fantasise a little about us dueting on that song '
