@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
negative,'up early for dentist appt'
negative,'upon further inspection'
positive,'ur ass is pippin'
negative,'urg life fall together please no phone'
negative,'vacation s over already back to work tomorrow but the next thing to look out to is nyc in september '
positive,'very very extraordinary http blip fm il '
positive,'very very very happy and slightly skinny xx'
negative,'waaaaahhh ohyeah i had something to do eeee haha'
positive,'wade quot grad hot bald quot quot your not gonna shave your head quot quot uh yeah i hot get babes quot hahahaha man love wade '
negative,'wanna take me to ontario mills '
negative,'want holidays now b'
negative,'want me to keep you company'
negative,'want to be in lovely london right now'
positive,'watching dora the explorer haha'
positive,'watching flight of the conchords happy times for this and tonight '
positive,'watching my best friends wedding '
positive,'watching the hills season finale lauren s last episode tear tear '
positive,'watching up'
negative,'way to bummed out '
positive,'way to copy me'
negative,'we are out from playoffs'
negative,'we are out'
negative,'we are out'
positive,'we can finally relax finals are over for all of us xd then comes summer vacay so excited '
negative,'we can t get the dog i m seriously sad'
negative,'we didn t go out '
positive,'we got nicky s wedding gift off their wedding list hihihi a coffeepot'
positive,'we know who thats for shhh '
negative,'we lost by so sad'
positive,'wearing my junkfoodtees to the party today i luv it sooooo much im wearing it excited via rach which tee '
negative,'weather in cochrane for saturday is chance of rain snow mix with a high of i just hope the roads stay ok '
negative,'weather wasnt good'
negative,'wel dago and i are gonna run to you as soon as we can '
positive,'welcome back here greekdude'
positive,'welcome to http twitter com katuuu'
positive,'well i m gonna go to bed now goodnight all my twitter critters especially you algebraoverdose see you tuesday '
negative,'well just pss in my cornflakes'
negative,'well this is my last tweet for hours byebye tweeters '
negative,'we re all sad lol besides tron he s a strong nigga'
negative,'we re done with gurren lagann'
negative,'what a bitchh '
positive,'what a great day night shaundara how loverly was it on a scale from quot it was a million gagillion quot yay'
negative,'what a night'
positive,'what a night lol'
negative,'what a terrible feeling '
negative,'what a waste of lives http tr im mlou'
negative,'what a weird day it has been yesterday'
negative,'what am i'
negative,'what did my mum buy here its like hour there'
negative,'what do i do '
positive,'what do you give to a project manager who has a headache advil pm '
negative,'what happened to that link on the side bar that says everybody how am i going to look at what random people just tweeted now '
negative,'what happened to the sun '
negative,'what happenedd to the feed andydick'
negative,'what is this now i get to run the forensics prevention program all by myself wow really '
negative,'what is wrong with me '
negative,'what shd i do'
negative,'what the hell'
negative,'what used to be the rainy day fund jar is now a golf tee holder i m hungry damn it '
negative,'whatever jess you miss me if not thats sad cause i miss you '
negative,'whats going on '
negative,'what s next '
positive,'whats up everyone doing'
