@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'deriajr maja djohansson a men älskar hennes lektioner ändå '
positive,'mozingaa starcraft på svenska gilla gärna d http t co nzvsmmkuo'
positive,'mozingaa starcraft på svenska gilla gärna d http t co nzvsmmkuo'
positive,'tchuka amarii lol better'
positive,'brendamaryanna rt jonasr power brendamaryanna esqueceu de mim okaay vlw '
negative,'razer i aer cat blackliteattack o'
positive,'bandar rt mrferass بت سعره للمانيو '
positive,'marilynexx rt makemestrong dd marilynexx ja tutaj chetna jestem d'
positive,'henkeekdal jsnygg malinbergqvist just det ja då var ju jag bjuden hälsade på bishops idag faktiskt förvarnade om tisdagen '
positive,'trademarkdj alerimm iveza stillwaiting p'
positive,'myssysa fabiozzo mein kind sagt das ständig ergo männer bleiben kind p'
positive,'nieszkas sinoes jo det är slut nu '
positive,'pandarrilla melissaadenike http t co sycv ptznf xd'
positive,'texoma rt pmalvarez happy birthday avatar texoma'
positive,'bontio karlesha brianaa chilling finna kill me some bitchs lol'
positive,'farmerhillsea twaa så stark så hon vill ha en bunt till att knacka in när hon ändå sitter där '
positive,'jvxta veronicasvard hur skall en tinga eget engagemang vs uppskattning gentemot personligt vs samhälleligt perspektiv '
positive,'hehesofia kasamatilda hahaha va min vikarie när jag var hade en '
negative,'jlingstrom mathildah ååh då kan jag inte '
positive,'fastboxer rt alperensamett barann biradirr http t co f naikr ba'
positive,'ditiserna ahah i like followtricks '
positive,'margarett de san valentin me gustaria un peluchee grande d'
positive,'kenkendoll ox jusscallmebrick damn now i need to go get some lol'
negative,'kendalljenrner mirrordeharry calla '
positive,'die katrin flipping bits sven kr filtercake danke euch dennoch '
positive,'jules gavalda skyrrozlive en mode puputte d'
positive,'jolandarestano albepetta masterchefit splatter '
positive,'julie foxette starrylilac its like magic '
negative,'ebbawh jonathanhubbe inte ens sett att du haft sån sa inte heller att det var fult bara det att jag såg en kille cykla hem idag med sån mössa'
negative,'anniewalk i miss andre '
positive,'kidrauhladoreu rt bandsandcatss kidrauhladoreu fback '
positive,'aland jannascheele jag använder gillar också pocket nicklas '
negative,'elmgrenrasmus jonnaelmgren aha samma här nämligen stel som fan i vänster baksida '
positive,'james sopp lol h talking over text lol'
positive,'emmakindstrand rt amagnhammar han hade roligast på kalaset http t co n knxoo df'
negative,'mhmdzizo rt mouhammedsamy ya haram http t co ypnkekts f'
positive,'esab mistress b trött ska sova nu ligger naken i söngen '
positive,'ollgbea standforziam sdv obg '
positive,'billywatkinson laurenpears so did i d'
positive,'sarakdahl sportmats ledig från pga sportlov så os hade inte kunnat vara bättre placerat '
positive,'kaylatbh anxiety attack lol'
negative,'mi chan lucrecia otl immer noch besser aks kristoff x sven d justsayin'
positive,'miguelcostaskat freddamn muito vulgar xd'
positive,'n ch ll jimbo detnigga shit hard af lol'
positive,'itsavrilpotter rt joe hart itsavrilpotter gracias y bienvenida '
positive,'nasrdin dchar silverligning '
positive,'swga hafiez fuady fllback brader '
positive,'lovatohartdd lernermec fback '
negative,'raoul mendes aladji tirera drams kendrick o'
negative,'skylar raee i just wanna be tan '
positive,'dafuqck lyndon jwz still fucking stupid xd'
positive,'fuckin eli got a hot pocket in my pocket lol'
positive,'ehsanfadakar gustavgelin januari då gick jag i trean '
positive,'twerkespinosa fxckingdallas jaa hahaha stockholmare märkte inte förän jag såg att du skrev va till ja bah är hon svenk eller nåt hahaha'
positive,'jordanlintern fed up '
positive,'mella keyla rt ciblackedan good morning '
positive,'valetrinity marsstorm xd'
negative,'frerardinlarry '
positive,'faridbarid ganas de verla '
positive,'beckmansasikter cat from hell han är extremt skicklig på att få katter att bli normala igen http t co c ahlgvz i'
positive,'lucypuddephatt no friends lol'
positive,'slpga http t co mlwcktglf '
positive,'akutstefan jensclaudius korrekt uppfattat tack för ditt stöd '
positive,'kristenmlynn alyxadandrade okay i will going at about '
positive,'perlala rt raymondx i m just bullshitting lol '
positive,'perlala rt raymondx i m just bullshitting lol '
positive,'farel farel good morning '
positive,'hannapbratt hanna jeg er veldig gla i deg säger killen som jag jobbar hos innan jag åker hem bra slut på arbetsdagen '
positive,'zirtiger lottaengren honung verkar ju ha viss evidens då iaf för barn http t co g zxsmr mg'
positive,'otadlig loansundman ambivalena japp vi dricker vin istället skål '
positive,'tatuumm lagi make merch by danska republik d http t co m utv p j'
positive,'olivia mahone starbuckgrandes me and my friends '
positive,'sarahyusufzai rt cell marmar flappy birds just makes me angry lol'
positive,'httpsbebur vanillacigars sorry i can t not '
positive,'karlapena i know that i m angel '
negative,'sanararestier '
positive,'realindha vinnygoma k viny follback dank d'
positive,'ari idiot rt rubiu blarg blargblabrlbabblbgrgar blaragrgarhg d http t co dntnio ma like y brlabralgbrt idiomapulpoftw'
positive,'apinkptjr missa follback jfb '
positive,'nerea granada mynameesfrank '
positive,'emmahaansson emma albinsson stackars dig lill fjortis '
positive,'emhallberg kajsascott mollydiaries han är söt d'
positive,'radioqrock barış manço little darlin we ll be kissing hq turkish rock mu http t co kicpyleljz ebru vari qrockstationlist'
positive,'faridvenna rt srikrnn follback mentions '
positive,'duckevara rt johanneskopf http t co pc dbgnsph'
positive,'duckevara rt johanneskopf http t co pc dbgnsph'
positive,'stunning marsblackmon lol shut up'
positive,'vickyclarke sallytaylor '
positive,'johanrhan rt oscaremilsson vunnit tre av fyra matcher i nattinnebandyn rätt najs '
positive,'ksmith kautionvinae lol i understand squad'
positive,'x rags riches x taylorkuteii lol bruhh ckhill i ain t tell ha frfr '
positive,'tt trivia mrgaryobe mrsalexbarlow lol happier '
positive,'golberg xcenaryderx k so mollz '
positive,'mel fxndx tvtelehit panda enfermedad en casa toprock '
positive,'krupadirection midnightmemoriestomorrow ahh soo excited dfjsklfjadsfklas jfkdalsjfadsklfjskad lfja i can t ahh d'
negative,'kidvoguerauhl yavqt huvudvärk och mår illa '
positive,'anteewalley macis kul att höra kompis '
positive,'ridhamacheda ameliafamursi follback '
positive,'sabrinakreuter tvtotal der karnevalsumzug made my day d'
positive,'noranmaghraby anas khaled ahuh da elly b olk leh p elmohem el a laa p http t co skt mcvvus'
positive,'castisam yo its amber i m never gonna get a girlfriend lol rft'
positive,'vavaepol morning friday '
positive,'mattheusdarocha rt arivanos mattheusdarocha mtoo fácil d'
positive,'mikynoelervin emlalalalauren nvm boo i m already hurr xd'
positive,'datdamn dada rt ch ck ya s lf brucelee i am lol '
negative,'nammoo rt noraajansson spotted nammoo talking to me about his life as famous tough life han orkar inte ens hälsa på alla på fest so man '
positive,'frekon rt lamichy frekon aww eso sii d '
negative,'prettyayosh mohammad alassd '
positive,'r ora rt koka yeen r ora i lt your avatar d'
positive,'deanses howlinski psych d'
positive,'infectme mystorysofar ik kan vanaf '
positive,'viri harry styles i m x ha '
positive,'aienfika rt teyhx aienfika hehe morning morning '
positive,'aysedaskaya history cömertlik '
positive,'namandaregita silviaadevii follback '
positive,'srringp förkorta kedjan mellan konsument och producent säger oskar i ringp '
